,open,high,low,close,volume
2000-01-04,2230.0,2261.0,2230.0,2247.0,21732.0
2000-01-05,2256.0,2257.0,2247.0,2250.0,35532.0
2000-01-06,2256.0,2259.0,2245.0,2248.0,38056.0
2000-01-07,2246.0,2257.0,2238.0,2256.0,58100.0
2000-01-10,,,,2256.0,
2000-01-11,2260.0,2292.0,2253.0,2290.0,106684.0
2000-01-12,2293.0,2297.0,2276.0,2277.0,102326.0
2000-01-13,2285.0,2293.0,2279.0,2284.0,78792.0
2000-01-14,2300.0,2311.0,2299.0,2307.0,105614.0
2000-01-17,2318.0,2325.0,2307.0,2308.0,64428.0
2000-01-18,2302.0,2320.0,2293.0,2305.0,97388.0
2000-01-19,2321.0,2333.0,2318.0,2328.0,110250.0
2000-01-20,2325.0,2332.0,2314.0,2317.0,59642.0
2000-01-21,2324.0,2342.0,2324.0,2340.0,102992.0
2000-01-24,2345.0,2395.0,2342.0,2390.0,139976.0
2000-01-25,2400.0,2400.0,2378.0,2379.0,68118.0
2000-01-26,2391.0,2411.0,2376.0,2384.0,114906.0
2000-01-27,2378.0,2388.0,2376.0,2380.0,43720.0
2000-01-28,2415.0,2442.0,2415.0,2442.0,94974.0
2000-01-31,,,,2442.0,
2000-02-01,,,,2442.0,
2000-02-02,,,,2442.0,
2000-02-14,2440.0,2478.0,2440.0,2475.0,96706.0
2000-02-15,2465.0,2468.0,2447.0,2454.0,77828.0
2000-02-16,2465.0,2468.0,2430.0,2437.0,89228.0
2000-02-17,2429.0,2458.0,2429.0,2458.0,61660.0
2000-02-18,2458.0,2463.0,2434.0,2435.0,70698.0
2000-02-21,2446.0,2483.0,2442.0,2472.0,125404.0
2000-02-22,2472.0,2491.0,2472.0,2480.0,86330.0
2000-02-23,2471.0,2471.0,2450.0,2458.0,88088.0
2000-02-24,2410.0,2425.0,2400.0,2400.0,113604.0
2000-02-25,2420.0,2429.0,2388.0,2389.0,97272.0
2000-02-28,2372.0,2386.0,2360.0,2382.0,85768.0
2000-02-29,2384.0,2385.0,2355.0,2371.0,89456.0
2000-03-01,2389.0,2389.0,2378.0,2381.0,47934.0
2000-03-02,2365.0,2393.0,2363.0,2385.0,54868.0
2000-03-03,2402.0,2409.0,2392.0,2409.0,59702.0
2000-03-06,2415.0,2415.0,2384.0,2385.0,67522.0
2000-03-07,2395.0,2411.0,2389.0,2397.0,80792.0
2000-03-08,2375.0,2390.0,2375.0,2387.0,36838.0
2000-03-09,2399.0,2401.0,2392.0,2397.0,29482.0
2000-03-10,2398.0,2398.0,2390.0,2393.0,15972.0
2000-03-13,2381.0,2399.0,2372.0,2397.0,57292.0
2000-03-14,2430.0,2431.0,2417.0,2428.0,103312.0
2000-03-15,2437.0,2454.0,2433.0,2437.0,93090.0
2000-03-16,2431.0,2465.0,2431.0,2465.0,101742.0
2000-03-17,2460.0,2481.0,2438.0,2465.0,147298.0
2000-03-20,2490.0,2495.0,2400.0,2438.0,132222.0
2000-03-21,2441.0,2452.0,2431.0,2434.0,70040.0
2000-03-22,2441.0,2449.0,2436.0,2443.0,34914.0
2000-03-23,2449.0,2451.0,2433.0,2435.0,46668.0
2000-03-24,2419.0,2431.0,2415.0,2424.0,90302.0
2000-03-27,2440.0,2447.0,2435.0,2441.0,54254.0
2000-03-28,2436.0,2438.0,2427.0,2429.0,30222.0
2000-03-29,2425.0,2429.0,2416.0,2425.0,31654.0
2000-03-30,2426.0,2426.0,2410.0,2411.0,44352.0
2000-03-31,2426.0,2435.0,2422.0,2425.0,41106.0
2000-04-03,2445.0,2473.0,2442.0,2470.0,123352.0
2000-04-04,2459.0,2467.0,2444.0,2447.0,66698.0
2000-04-05,2435.0,2448.0,2426.0,2446.0,55038.0
2000-04-06,2451.0,2453.0,2436.0,2438.0,28366.0
2000-04-07,2425.0,2425.0,2391.0,2407.0,82732.0
2000-04-10,2421.0,2421.0,2393.0,2402.0,74492.0
2000-04-11,2406.0,2408.0,2389.0,2391.0,45284.0
2000-04-12,2385.0,2394.0,2379.0,2392.0,49348.0
2000-04-13,2409.0,2412.0,2400.0,2401.0,40692.0
2000-04-14,2399.0,2425.0,2399.0,2410.0,44730.0
2000-04-17,2390.0,2398.0,2382.0,2396.0,28628.0
2000-04-18,2395.0,2404.0,2395.0,2403.0,11980.0
2000-04-19,2401.0,2406.0,2388.0,2391.0,24916.0
2000-04-20,,,,2391.0,
2000-04-21,2396.0,2399.0,2393.0,2399.0,15972.0
2000-04-24,2395.0,2404.0,2395.0,2399.0,9094.0
2000-04-25,2408.0,2411.0,2405.0,2408.0,17558.0
2000-04-26,2406.0,2420.0,2406.0,2415.0,21608.0
2000-04-27,2410.0,2414.0,2407.0,2410.0,11916.0
2000-04-28,2398.0,2410.0,2396.0,2409.0,16772.0
2000-05-08,2441.0,2445.0,2415.0,2430.0,50574.0
2000-05-09,2430.0,2434.0,2424.0,2433.0,13412.0
