,open,high,low,close,volume
2000-01-04,16560.0,16580.0,16530.0,16550.0,264.0
2000-01-05,16450.0,16500.0,16450.0,16450.0,1484.0
2000-01-06,16470.0,16520.0,16470.0,16500.0,256.0
2000-01-07,16480.0,16540.0,16470.0,16520.0,322.0
2000-01-10,,,,16520.0,
2000-01-11,16420.0,16470.0,16420.0,16440.0,648.0
2000-01-12,16440.0,16440.0,16410.0,16440.0,430.0
2000-01-13,16510.0,16510.0,16410.0,16410.0,402.0
2000-01-14,16380.0,16440.0,16380.0,16410.0,1416.0
2000-01-17,16390.0,16490.0,16390.0,16430.0,612.0
2000-01-18,16470.0,16590.0,16470.0,16540.0,1272.0
2000-01-19,16870.0,16930.0,16850.0,16860.0,1862.0
2000-01-20,16900.0,16920.0,16800.0,16850.0,720.0
2000-01-21,16780.0,16870.0,16780.0,16850.0,736.0
2000-01-24,16810.0,16870.0,16810.0,16850.0,654.0
2000-01-25,16770.0,16810.0,16750.0,16790.0,732.0
2000-01-26,16900.0,16900.0,16820.0,16860.0,274.0
2000-01-27,16800.0,17000.0,16800.0,16970.0,1240.0
2000-01-28,17000.0,17050.0,16920.0,17000.0,626.0
2000-01-31,17010.0,17010.0,16880.0,16940.0,564.0
2000-02-01,17090.0,17090.0,17000.0,17080.0,376.0
2000-02-02,17180.0,17210.0,17150.0,17200.0,1056.0
2000-02-14,17100.0,17170.0,17100.0,17100.0,266.0
2000-02-15,17080.0,17100.0,16980.0,16980.0,530.0
2000-02-16,16730.0,16850.0,16680.0,16690.0,996.0
2000-02-17,16680.0,16780.0,16670.0,16670.0,756.0
2000-02-18,16700.0,16770.0,16700.0,16760.0,186.0
2000-02-21,16760.0,16900.0,16760.0,16870.0,1398.0
2000-02-22,16800.0,16860.0,16800.0,16800.0,144.0
2000-02-23,16880.0,16880.0,16850.0,16860.0,244.0
2000-02-24,17190.0,17190.0,17110.0,17110.0,466.0
2000-02-25,17120.0,17120.0,17050.0,17090.0,210.0
2000-02-28,17040.0,17050.0,16960.0,17030.0,258.0
2000-02-29,16680.0,16880.0,16680.0,16880.0,684.0
2000-03-01,17000.0,17000.0,16850.0,16870.0,460.0
2000-03-02,16890.0,16930.0,16890.0,16900.0,74.0
2000-03-03,16900.0,16900.0,16870.0,16880.0,194.0
2000-03-06,16900.0,16900.0,16870.0,16870.0,50.0
2000-03-07,16860.0,16870.0,16850.0,16860.0,226.0
