,open,high,low,close,volume
2004-12-22,2630.0,2649.0,2598.0,2602.0,100100.0
2004-12-23,2601.0,2607.0,2587.0,2597.0,35732.0
2004-12-24,2605.0,2607.0,2595.0,2597.0,10740.0
2004-12-27,2600.0,2602.0,2581.0,2590.0,13200.0
2004-12-28,2604.0,2605.0,2586.0,2591.0,8126.0
2004-12-29,2583.0,2593.0,2566.0,2569.0,8584.0
2004-12-30,2580.0,2585.0,2570.0,2576.0,5074.0
2004-12-31,2581.0,2583.0,2578.0,2583.0,1372.0
2005-01-04,2570.0,2570.0,2533.0,2540.0,3838.0
2005-01-05,2520.0,2550.0,2515.0,2548.0,9560.0
2005-01-06,2544.0,2558.0,2538.0,2554.0,3694.0
2005-01-07,2560.0,2587.0,2560.0,2577.0,7732.0
2005-01-10,2584.0,2592.0,2567.0,2575.0,4962.0
2005-01-11,2600.0,2600.0,2585.0,2590.0,3130.0
2005-01-12,2585.0,2593.0,2582.0,2583.0,1660.0
2005-01-13,2571.0,2585.0,2570.0,2578.0,1108.0
2005-01-14,2580.0,2589.0,2561.0,2564.0,3090.0
2005-01-17,2545.0,2572.0,2542.0,2556.0,1936.0
2005-01-18,2552.0,2570.0,2540.0,2570.0,1834.0
2005-01-19,2558.0,2575.0,2555.0,2567.0,1200.0
2005-01-20,2570.0,2570.0,2553.0,2556.0,2660.0
2005-01-21,2558.0,2560.0,2545.0,2547.0,5494.0
2005-01-24,2542.0,2555.0,2530.0,2551.0,6876.0
2005-01-25,2552.0,2552.0,2543.0,2544.0,3822.0
2005-01-26,2553.0,2554.0,2547.0,2548.0,4456.0
2005-01-27,2545.0,2549.0,2536.0,2543.0,5704.0
2005-01-28,2540.0,2540.0,2518.0,2523.0,6140.0
2005-01-31,2524.0,2524.0,2487.0,2495.0,7432.0
2005-02-01,2508.0,2510.0,2496.0,2497.0,8072.0
2005-02-02,2487.0,2488.0,2470.0,2488.0,5780.0
2005-02-03,2489.0,2490.0,2482.0,2490.0,8238.0
2005-02-04,2480.0,2493.0,2480.0,2487.0,7016.0
2005-02-16,2538.0,2555.0,2510.0,2527.0,10842.0
2005-02-17,2526.0,2540.0,2525.0,2533.0,6384.0
2005-02-18,2553.0,2565.0,2545.0,2545.0,7498.0
2005-02-21,2550.0,2563.0,2530.0,2558.0,11186.0
2005-02-22,2560.0,2595.0,2550.0,2592.0,33272.0
2005-02-23,2616.0,2625.0,2601.0,2608.0,14922.0
2005-02-24,2618.0,2638.0,2610.0,2638.0,13866.0
2005-02-25,2615.0,2630.0,2611.0,2630.0,9132.0
2005-02-28,2700.0,2725.0,2700.0,2725.0,2942.0
2005-03-01,2720.0,2742.0,2720.0,2735.0,8950.0
2005-03-02,2735.0,2822.0,2720.0,2784.0,18162.0
2005-03-03,2798.0,2807.0,2778.0,2802.0,8154.0
2005-03-04,2806.0,2818.0,2771.0,2800.0,11994.0
2005-03-07,2816.0,2838.0,2812.0,2837.0,8860.0
2005-03-08,2802.0,2810.0,2770.0,2789.0,6094.0
2005-03-09,2900.0,2900.0,2802.0,2810.0,6628.0
2005-03-10,2819.0,2838.0,2803.0,2836.0,5250.0
2005-03-11,2855.0,2893.0,2855.0,2890.0,5562.0
2005-03-14,2950.0,2987.0,2940.0,2983.0,10220.0
2005-03-15,2968.0,3050.0,2960.0,3021.0,15348.0
2005-03-16,3040.0,3100.0,3040.0,3083.0,5272.0
2005-03-17,3032.0,3100.0,3032.0,3091.0,6178.0
2005-03-18,3085.0,3143.0,2962.0,2989.0,4658.0
2005-03-21,2960.0,2989.0,2952.0,2974.0,6826.0
2005-03-22,2889.0,2955.0,2889.0,2935.0,2938.0
2005-03-23,2935.0,2956.0,2905.0,2916.0,6658.0
2005-03-24,2918.0,2983.0,2918.0,2955.0,4046.0
2005-03-25,2990.0,3010.0,2973.0,3008.0,5120.0
2005-03-28,3001.0,3050.0,3001.0,3015.0,4728.0
2005-03-29,3003.0,3029.0,3003.0,3010.0,7248.0
2005-03-30,3006.0,3010.0,2971.0,2978.0,5012.0
2005-03-31,3050.0,3080.0,3014.0,3053.0,3386.0
2005-04-01,3011.0,3016.0,2970.0,2995.0,3700.0
2005-04-04,2994.0,3004.0,2880.0,2988.0,1832.0
2005-04-05,3000.0,3001.0,2982.0,2995.0,1204.0
2005-04-06,3000.0,3020.0,2987.0,3009.0,1066.0
2005-04-07,3035.0,3046.0,3031.0,3035.0,860.0
2005-04-08,3030.0,3047.0,3025.0,3033.0,1338.0
2005-04-11,3030.0,3047.0,2990.0,3005.0,174.0
2005-04-12,3074.0,3074.0,3025.0,3053.0,290.0
2005-04-13,3028.0,3035.0,3012.0,3020.0,374.0
2005-04-14,3025.0,3030.0,3025.0,3026.0,360.0
2005-04-15,3020.0,3031.0,3011.0,3018.0,662.0
2005-04-18,3020.0,3024.0,2980.0,2998.0,226.0
2005-04-19,3005.0,3028.0,2995.0,3028.0,80.0
2005-04-20,3100.0,3129.0,3075.0,3129.0,132.0
2005-04-21,3125.0,3140.0,3015.0,3066.0,202.0
2005-04-22,3048.0,3090.0,3048.0,3090.0,26.0
2005-04-25,3085.0,3098.0,3045.0,3094.0,26.0
2005-04-26,3092.0,3092.0,3082.0,3084.0,16.0
2005-04-27,3087.0,3087.0,3061.0,3075.0,124.0
2005-04-28,3099.0,3099.0,3047.0,3069.0,12.0
2005-04-29,3047.0,3068.0,3047.0,3068.0,20.0
2005-05-09,3070.0,3070.0,3065.0,3065.0,164.0
2005-05-10,3000.0,3069.0,3000.0,3060.0,146.0
2005-05-11,3058.0,3069.0,3030.0,3057.0,52.0
2005-05-12,3069.0,3069.0,3020.0,3066.0,84.0
2005-05-13,3011.0,3048.0,3001.0,3006.0,282.0
2005-05-16,3024.0,3024.0,2988.0,3000.0,38.0
2005-05-17,2999.0,3020.0,2992.0,2998.0,26.0
2005-05-18,2986.0,3020.0,2946.0,3020.0,402.0
2005-05-19,3021.0,3067.0,3021.0,3025.0,30.0
2005-05-20,3027.0,3027.0,3027.0,3027.0,2.0
2005-05-23,3055.0,3069.0,3045.0,3056.0,428.0
2005-05-24,3058.0,3060.0,3040.0,3042.0,126.0
2005-05-25,3050.0,3055.0,3035.0,3035.0,108.0
2005-05-26,3080.0,3085.0,3055.0,3066.0,914.0
2005-05-27,3083.0,3083.0,3068.0,3068.0,26.0
2005-05-30,3059.0,3064.0,3059.0,3064.0,20.0
2005-05-31,3084.0,3090.0,3060.0,3063.0,606.0
2005-06-01,3058.0,3058.0,3010.0,3035.0,40.0
2005-06-02,3045.0,3113.0,3006.0,3029.0,202.0
2005-06-03,2980.0,3008.0,2980.0,2990.0,78.0
2005-06-06,3060.0,3060.0,3000.0,3050.0,46.0
2005-06-07,3050.0,3050.0,3011.0,3015.0,14.0
2005-06-08,2979.0,3008.0,2979.0,3002.0,64.0
2005-06-09,2980.0,3000.0,2980.0,2999.0,18.0
2005-06-10,3003.0,3005.0,3000.0,3000.0,8.0
2005-06-13,2981.0,3002.0,2981.0,2998.0,86.0
2005-06-14,2987.0,2994.0,2987.0,2994.0,12.0
2005-06-15,3010.0,3010.0,3010.0,3010.0,2.0
2005-06-16,3045.0,3057.0,3030.0,3054.0,162.0
2005-06-17,3054.0,3132.0,3022.0,3035.0,116.0
2005-06-20,3088.0,3100.0,3070.0,3070.0,304.0
2005-06-21,3065.0,3065.0,3057.0,3057.0,36.0
2005-06-22,3064.0,3100.0,3064.0,3078.0,386.0
2005-06-23,3041.0,3041.0,3036.0,3036.0,4.0
2005-06-24,3050.0,3059.0,3050.0,3059.0,4.0
2005-06-27,2940.0,3045.0,2940.0,3033.0,806.0
2005-06-28,3019.0,3019.0,2895.0,2895.0,28.0
