,open,high,low,close,volume
2013-12-06,126.05,129.0,123.0,125.85,87078.0
2013-12-09,126.0,131.55,124.75,131.55,62682.0
2013-12-10,133.0,135.65,131.7,132.95,342330.0
2013-12-11,132.95,136.6,132.0,136.25,343232.0
2013-12-12,136.1,138.05,133.8,134.05,532196.0
2013-12-13,133.7,135.1,132.3,132.85,244810.0
2013-12-16,133.1,134.9,132.1,134.5,252466.0
2013-12-17,134.95,134.95,132.4,132.55,197926.0
2013-12-18,132.6,133.05,129.7,131.35,231182.0
2013-12-19,131.4,132.1,130.55,131.35,128568.0
2013-12-20,131.15,131.9,129.85,130.95,122328.0
2013-12-23,130.9,133.35,130.6,131.75,187814.0
2013-12-24,131.9,133.35,131.0,132.05,208442.0
2013-12-25,132.35,133.2,130.55,130.6,169752.0
2013-12-26,130.15,130.2,127.05,127.05,200080.0
2013-12-27,126.05,126.45,124.35,124.5,266966.0
2013-12-30,124.0,124.5,120.5,122.85,264712.0
2013-12-31,122.5,123.75,121.7,122.85,131290.0
2014-01-02,123.0,123.5,121.35,121.55,98992.0
2014-01-03,120.95,122.65,120.1,122.5,125444.0
2014-01-06,122.35,122.45,117.4,120.35,324644.0
2014-01-07,120.95,122.35,120.15,121.1,235264.0
2014-01-08,121.0,121.1,118.7,120.6,189634.0
2014-01-09,120.7,124.6,120.05,123.65,319882.0
2014-01-10,122.9,125.1,122.6,124.15,204376.0
2014-01-13,124.6,124.85,123.4,123.8,131256.0
2014-01-14,124.05,125.4,122.3,125.25,232054.0
2014-01-15,125.05,125.7,124.2,124.5,203034.0
2014-01-16,124.75,124.75,121.55,122.3,308076.0
2014-01-17,122.05,125.0,122.05,124.8,212216.0
2014-01-20,124.85,128.45,124.8,125.85,224422.0
2014-01-21,125.5,126.45,124.25,124.85,179466.0
2014-01-22,125.0,127.6,123.65,123.9,334758.0
2014-01-23,124.0,127.1,124.0,126.95,266270.0
2014-01-24,126.75,127.95,126.15,127.9,177710.0
2014-01-27,127.5,128.35,126.85,127.95,172736.0
2014-01-28,127.65,127.95,125.2,127.85,277350.0
2014-01-29,128.0,130.8,127.8,130.6,239924.0
2014-01-30,130.55,132.05,129.85,131.8,153258.0
2014-02-07,131.4,131.7,129.9,130.85,69834.0
2014-02-10,130.5,132.45,130.35,132.0,134870.0
2014-02-11,131.8,132.0,130.5,131.1,124310.0
2014-02-12,131.35,132.15,130.0,131.35,131058.0
2014-02-13,131.3,131.6,128.55,129.4,200088.0
2014-02-14,129.5,130.2,128.7,129.4,130922.0
2014-02-17,129.45,133.8,128.95,133.5,218748.0
2014-02-18,133.25,133.5,130.25,130.9,273180.0
2014-02-19,131.2,131.4,126.45,127.15,330974.0
2014-02-20,127.5,128.45,126.65,127.8,179314.0
2014-02-21,128.0,128.65,127.2,128.1,163654.0
2014-02-24,128.2,128.25,123.65,126.1,207990.0
2014-02-25,126.4,127.25,125.75,126.1,130024.0
2014-02-26,126.0,127.05,125.2,126.75,126076.0
2014-02-27,126.7,127.55,124.2,124.55,204148.0
2014-02-28,124.6,125.45,124.0,124.55,120906.0
2014-03-03,124.4,126.3,124.15,126.2,135144.0
2014-03-04,126.2,129.7,125.55,128.6,204436.0
2014-03-05,128.9,129.9,128.7,129.75,162108.0
2014-03-06,129.85,130.65,128.65,129.45,153154.0
2014-03-07,129.75,131.25,129.15,130.85,192922.0
2014-03-10,129.7,130.6,125.3,128.7,338294.0
2014-03-11,128.7,133.25,128.6,131.65,259908.0
2014-03-12,130.9,133.0,130.0,131.8,198234.0
2014-03-13,132.0,134.5,131.3,133.6,193628.0
2014-03-14,133.45,134.4,131.2,131.3,219184.0
2014-03-17,129.45,130.3,126.05,126.05,51998.0
2014-03-18,124.65,127.1,124.65,126.55,168876.0
2014-03-19,126.6,127.4,126.1,126.55,93076.0
2014-03-20,127.15,127.4,125.8,126.9,84978.0
2014-03-21,126.8,131.65,126.55,129.65,256480.0
2014-03-24,129.85,131.8,129.65,131.75,125062.0
2014-03-25,131.75,132.4,128.05,128.1,242334.0
2014-03-26,128.0,131.4,127.7,130.7,145832.0
2014-03-27,130.5,131.0,129.6,130.25,117282.0
2014-03-28,130.75,132.1,130.35,131.95,97944.0
2014-03-31,132.05,133.55,131.3,132.8,121780.0
2014-04-01,132.95,136.3,132.5,135.5,214536.0
2014-04-02,135.7,137.3,133.85,135.45,332518.0
2014-04-03,135.2,137.5,134.85,137.5,195604.0
2014-04-04,138.0,141.4,138.0,141.0,328534.0
2014-04-08,141.0,144.1,139.35,143.75,282220.0
2014-04-09,143.7,146.05,141.8,144.3,540242.0
2014-04-10,144.3,145.5,143.05,144.1,264954.0
2014-04-11,143.75,146.05,142.6,145.95,315730.0
2014-04-14,147.0,149.5,146.0,148.6,499036.0
2014-04-15,148.45,150.8,147.65,150.8,302516.0
2014-04-16,150.65,155.8,149.8,155.15,330214.0
2014-04-17,155.35,156.5,147.2,148.65,632000.0
2014-04-18,136.9,140.65,136.4,138.95,487972.0
2014-04-21,138.85,139.45,136.2,137.4,197080.0
2014-04-22,137.3,138.15,135.4,137.2,286542.0
2014-04-23,137.5,140.4,137.35,140.35,306846.0
2014-04-24,140.6,141.25,139.0,139.4,214342.0
2014-04-25,139.5,139.75,138.15,139.4,141446.0
2014-04-28,139.5,140.6,137.7,138.05,162458.0
2014-04-29,137.95,140.65,137.5,140.6,202220.0
2014-04-30,140.9,143.2,140.2,141.8,337652.0
2014-05-05,141.6,143.9,141.05,143.85,255960.0
2014-05-06,143.6,145.45,143.45,145.3,278870.0
2014-05-07,144.95,145.95,141.9,142.6,364836.0
2014-05-08,142.6,143.65,141.35,143.3,357074.0
2014-05-09,143.5,143.85,139.95,140.35,362356.0
2014-05-12,140.4,141.55,139.7,140.95,235086.0
2014-05-13,141.0,141.4,138.15,138.45,290308.0
2014-05-14,138.5,139.75,137.75,138.05,255448.0
2014-05-15,138.4,139.2,137.0,137.2,279856.0
2014-05-16,137.05,137.85,136.05,137.25,252780.0
2014-05-19,137.4,140.05,136.85,137.55,312344.0
2014-05-20,137.4,137.7,134.8,135.35,261140.0
2014-05-21,135.5,136.95,134.95,135.35,186130.0
2014-05-22,135.5,136.8,134.8,136.05,176118.0
2014-05-23,136.1,139.0,135.55,138.8,319120.0
2014-05-26,138.95,140.5,138.55,139.8,238166.0
2014-05-27,139.5,139.9,135.85,136.25,247824.0
2014-05-28,136.0,137.1,135.6,136.5,165992.0
2014-05-29,136.3,137.35,135.65,136.25,182172.0
2014-05-30,136.35,136.55,132.3,133.25,271024.0
2014-06-03,133.3,134.1,132.55,132.85,122736.0
2014-06-04,132.8,134.0,132.0,132.4,164858.0
2014-06-05,132.5,134.9,132.2,134.6,192464.0
