,open,high,low,close,volume
2013-10-09,4598.0,4658.0,4470.0,4476.0,318682.0
2013-10-10,4460.0,4522.0,4452.0,4502.0,204880.0
2013-10-11,4510.0,4524.0,4456.0,4466.0,180100.0
2013-10-14,4476.0,4490.0,4434.0,4444.0,148998.0
2013-10-15,4448.0,4494.0,4436.0,4442.0,201544.0
2013-10-16,4428.0,4484.0,4428.0,4432.0,206374.0
2013-10-17,4448.0,4460.0,4408.0,4410.0,142864.0
2013-10-18,4412.0,4430.0,4402.0,4404.0,88740.0
2013-10-21,4410.0,4466.0,4406.0,4452.0,154962.0
2013-10-22,4444.0,4454.0,4428.0,4440.0,57890.0
2013-10-23,4432.0,4444.0,4408.0,4436.0,85280.0
2013-10-24,4434.0,4482.0,4426.0,4458.0,161110.0
2013-10-25,4460.0,4464.0,4406.0,4406.0,115570.0
2013-10-28,4410.0,4412.0,4250.0,4268.0,355282.0
2013-10-29,4266.0,4288.0,4248.0,4270.0,231734.0
2013-10-30,4270.0,4328.0,4228.0,4316.0,391474.0
2013-10-31,4308.0,4324.0,4288.0,4292.0,128838.0
2013-11-01,4288.0,4340.0,4256.0,4310.0,191472.0
2013-11-04,4280.0,4336.0,4276.0,4314.0,93718.0
2013-11-05,4310.0,4332.0,4264.0,4308.0,125920.0
2013-11-06,4300.0,4316.0,4290.0,4308.0,71154.0
2013-11-07,4312.0,4324.0,4268.0,4274.0,113300.0
2013-11-08,4272.0,4284.0,4252.0,4260.0,103258.0
2013-11-11,4262.0,4286.0,4254.0,4278.0,61468.0
2013-11-12,4272.0,4308.0,4268.0,4304.0,88114.0
2013-11-13,4280.0,4290.0,4262.0,4286.0,65264.0
2013-11-14,4298.0,4302.0,4264.0,4266.0,51534.0
2013-11-15,4266.0,4284.0,4246.0,4270.0,105770.0
2013-11-18,4278.0,4314.0,4272.0,4292.0,49598.0
2013-11-19,4280.0,4306.0,4264.0,4296.0,72202.0
2013-11-20,4296.0,4326.0,4296.0,4310.0,75654.0
2013-11-21,4306.0,4312.0,4288.0,4298.0,33340.0
2013-11-22,4312.0,4350.0,4308.0,4338.0,75342.0
2013-11-25,4336.0,4368.0,4316.0,4356.0,84024.0
2013-11-26,4360.0,4444.0,4350.0,4370.0,221656.0
2013-11-27,4366.0,4384.0,4332.0,4336.0,76758.0
2013-11-28,4330.0,4358.0,4318.0,4346.0,47474.0
2013-11-29,4352.0,4366.0,4332.0,4352.0,41974.0
2013-12-02,4362.0,4372.0,4340.0,4354.0,46012.0
2013-12-03,4360.0,4410.0,4352.0,4382.0,81870.0
2013-12-04,4408.0,4412.0,4378.0,4388.0,93100.0
2013-12-05,4398.0,4406.0,4372.0,4376.0,57462.0
2013-12-06,4382.0,4430.0,4360.0,4424.0,135882.0
2013-12-09,4426.0,4442.0,4376.0,4396.0,119214.0
2013-12-10,4398.0,4408.0,4380.0,4388.0,50566.0
2013-12-11,4390.0,4404.0,4380.0,4390.0,33290.0
2013-12-12,4398.0,4420.0,4372.0,4388.0,79410.0
