,open,high,low,close,volume
2004-09-22,1230.0,1235.0,1190.0,1191.0,155816.0
2004-09-23,1181.0,1183.0,1172.0,1176.0,74392.0
2004-09-24,1165.0,1185.0,1165.0,1179.0,58734.0
2004-09-27,1191.0,1192.0,1159.0,1159.0,81988.0
2004-09-28,1159.0,1171.0,1159.0,1165.0,53362.0
2004-09-29,1166.0,1169.0,1151.0,1155.0,50882.0
2004-09-30,1148.0,1152.0,1126.0,1127.0,53978.0
2004-10-08,1129.0,1151.0,1116.0,1145.0,62188.0
2004-10-11,1143.0,1157.0,1133.0,1147.0,51366.0
2004-10-12,1151.0,1163.0,1134.0,1151.0,97504.0
2004-10-13,1143.0,1154.0,1141.0,1144.0,85708.0
2004-10-14,1149.0,1155.0,1143.0,1152.0,80842.0
2004-10-15,1148.0,1152.0,1136.0,1139.0,86992.0
2004-10-18,1143.0,1143.0,1133.0,1137.0,60138.0
2004-10-19,1134.0,1151.0,1134.0,1141.0,76096.0
2004-10-20,1150.0,1158.0,1145.0,1157.0,99332.0
2004-10-21,1155.0,1155.0,1146.0,1149.0,64806.0
2004-10-22,1147.0,1148.0,1136.0,1138.0,73920.0
2004-10-25,1138.0,1147.0,1133.0,1142.0,59804.0
2004-10-26,1151.0,1151.0,1142.0,1144.0,29364.0
2004-10-27,1146.0,1148.0,1143.0,1146.0,27406.0
2004-10-28,1142.0,1149.0,1139.0,1148.0,48988.0
2004-10-29,1142.0,1148.0,1140.0,1142.0,36248.0
2004-11-01,1138.0,1141.0,1125.0,1132.0,113612.0
2004-11-02,1128.0,1138.0,1127.0,1137.0,74928.0
2004-11-03,1136.0,1138.0,1130.0,1138.0,75476.0
2004-11-04,1139.0,1139.0,1133.0,1137.0,57848.0
2004-11-05,1133.0,1152.0,1132.0,1143.0,138916.0
2004-11-08,1145.0,1147.0,1141.0,1141.0,50486.0
2004-11-09,1141.0,1145.0,1138.0,1141.0,72388.0
2004-11-10,1142.0,1142.0,1137.0,1140.0,80638.0
2004-11-11,1140.0,1143.0,1137.0,1138.0,60714.0
2004-11-12,1138.0,1140.0,1131.0,1134.0,80296.0
2004-11-15,1138.0,1151.0,1137.0,1145.0,125754.0
2004-11-16,1149.0,1155.0,1144.0,1146.0,96832.0
2004-11-17,1148.0,1150.0,1143.0,1148.0,61258.0
2004-11-18,1153.0,1158.0,1150.0,1155.0,103892.0
2004-11-19,1152.0,1154.0,1147.0,1153.0,64938.0
2004-11-22,1146.0,1149.0,1145.0,1147.0,68646.0
2004-11-23,1146.0,1151.0,1146.0,1148.0,99548.0
