,open,high,low,close,volume
2014-12-19,2800.0,2834.0,2784.0,2793.0,29124.0
2014-12-22,2795.0,2800.0,2727.0,2738.0,26170.0
2014-12-23,2736.0,2760.0,2715.0,2740.0,18726.0
2014-12-24,2747.0,2760.0,2741.0,2752.0,8284.0
2014-12-25,2750.0,2750.0,2665.0,2727.0,20260.0
2014-12-26,2727.0,2738.0,2718.0,2721.0,9158.0
2014-12-29,2722.0,2737.0,2720.0,2731.0,5406.0
2014-12-30,2727.0,2733.0,2710.0,2721.0,9056.0
2014-12-31,2728.0,2728.0,2708.0,2713.0,5280.0
2015-01-05,2718.0,2718.0,2678.0,2684.0,13408.0
2015-01-06,2689.0,2697.0,2624.0,2630.0,28882.0
2015-01-07,2640.0,2651.0,2625.0,2643.0,16506.0
2015-01-08,2640.0,2657.0,2636.0,2652.0,10858.0
2015-01-09,2652.0,2662.0,2637.0,2648.0,12278.0
2015-01-12,2649.0,2660.0,2648.0,2658.0,8452.0
2015-01-13,2658.0,2661.0,2638.0,2658.0,10230.0
2015-01-14,2646.0,2665.0,2646.0,2647.0,8676.0
2015-01-15,2645.0,2663.0,2640.0,2662.0,7404.0
2015-01-16,2660.0,2693.0,2655.0,2684.0,11940.0
2015-01-19,2690.0,2714.0,2680.0,2701.0,9284.0
2015-01-20,2700.0,2708.0,2694.0,2702.0,4142.0
2015-01-21,2704.0,2723.0,2702.0,2711.0,7186.0
2015-01-22,2713.0,2714.0,2672.0,2694.0,10236.0
2015-01-23,2690.0,2703.0,2681.0,2686.0,4912.0
2015-01-26,2695.0,2703.0,2660.0,2694.0,5054.0
2015-01-27,2695.0,2736.0,2693.0,2728.0,12686.0
2015-01-28,2725.0,2763.0,2704.0,2759.0,13162.0
2015-01-29,2760.0,2828.0,2750.0,2780.0,23132.0
2015-01-30,2780.0,2795.0,2766.0,2778.0,14918.0
2015-02-02,2781.0,2812.0,2765.0,2796.0,11744.0
2015-02-03,2795.0,2806.0,2782.0,2792.0,9956.0
2015-02-04,2801.0,2817.0,2785.0,2797.0,11042.0
2015-02-05,2800.0,2858.0,2792.0,2814.0,55740.0
2015-02-06,2821.0,2839.0,2815.0,2839.0,13580.0
2015-02-09,2842.0,2873.0,2833.0,2862.0,42018.0
2015-02-10,2868.0,2880.0,2854.0,2879.0,35920.0
2015-02-11,2875.0,2878.0,2858.0,2862.0,21656.0
2015-02-12,2862.0,2867.0,2830.0,2840.0,30088.0
2015-02-13,2840.0,2872.0,2837.0,2856.0,21888.0
2015-02-16,2858.0,2860.0,2845.0,2858.0,8348.0
2015-02-17,2855.0,2855.0,2817.0,2825.0,13600.0
2015-02-25,2824.0,2843.0,2802.0,2810.0,10708.0
2015-02-26,2809.0,2838.0,2806.0,2828.0,14028.0
2015-02-27,2828.0,2865.0,2827.0,2856.0,16064.0
2015-03-02,2856.0,2875.0,2856.0,2861.0,9402.0
2015-03-03,2859.0,2860.0,2818.0,2842.0,11430.0
2015-03-04,2842.0,2873.0,2835.0,2871.0,19288.0
2015-03-05,2864.0,2869.0,2843.0,2848.0,18946.0
2015-03-06,2845.0,2863.0,2834.0,2838.0,10942.0
2015-03-09,2836.0,2865.0,2834.0,2863.0,17332.0
2015-03-10,2862.0,2935.0,2861.0,2914.0,97354.0
2015-03-11,2913.0,2975.0,2913.0,2959.0,121256.0
2015-03-12,2966.0,2966.0,2930.0,2957.0,66786.0
2015-03-13,2958.0,2995.0,2943.0,2973.0,77968.0
2015-03-16,2969.0,3006.0,2962.0,2988.0,98416.0
2015-03-17,2989.0,2998.0,2975.0,2993.0,38734.0
2015-03-18,2997.0,2997.0,2952.0,2960.0,48746.0
2015-03-19,2969.0,2973.0,2942.0,2952.0,36680.0
2015-03-20,2951.0,2987.0,2946.0,2963.0,47472.0
2015-03-23,2981.0,2990.0,2961.0,2975.0,18256.0
2015-03-24,2985.0,3060.0,2979.0,3036.0,72272.0
2015-03-25,3040.0,3050.0,3007.0,3025.0,36818.0
2015-03-26,3025.0,3047.0,3011.0,3037.0,25556.0
2015-03-27,3041.0,3089.0,3020.0,3073.0,86776.0
2015-03-30,3079.0,3087.0,3045.0,3080.0,27382.0
2015-03-31,3079.0,3100.0,3063.0,3071.0,33536.0
2015-04-01,3065.0,3069.0,2980.0,3010.0,63596.0
2015-04-02,3012.0,3032.0,2988.0,3000.0,21272.0
2015-04-03,3013.0,3014.0,2996.0,3009.0,20966.0
2015-04-07,3014.0,3014.0,2976.0,3000.0,24478.0
2015-04-08,3000.0,3013.0,2952.0,2964.0,63290.0
2015-04-09,2965.0,2970.0,2948.0,2963.0,32340.0
2015-04-10,2961.0,3004.0,2960.0,2997.0,44112.0
2015-04-13,2984.0,3043.0,2984.0,3032.0,76314.0
2015-04-14,3035.0,3038.0,2989.0,2998.0,45220.0
2015-04-15,2999.0,3001.0,2914.0,2936.0,88170.0
2015-04-16,2947.0,2958.0,2926.0,2942.0,37092.0
2015-04-17,2945.0,2971.0,2937.0,2968.0,33852.0
2015-04-20,2971.0,2983.0,2937.0,2948.0,31106.0
2015-04-21,2950.0,2963.0,2928.0,2946.0,31260.0
2015-04-22,2942.0,2961.0,2938.0,2956.0,20688.0
2015-04-23,2953.0,2973.0,2953.0,2956.0,21454.0
2015-04-24,2963.0,2967.0,2922.0,2953.0,42390.0
2015-04-27,2945.0,2956.0,2938.0,2951.0,14366.0
2015-04-28,2952.0,2983.0,2942.0,2952.0,45442.0
2015-04-29,2955.0,2955.0,2930.0,2947.0,25622.0
2015-04-30,2949.0,2979.0,2948.0,2975.0,28902.0
2015-05-04,2966.0,3016.0,2966.0,2995.0,47982.0
2015-05-05,2998.0,3002.0,2983.0,2998.0,21168.0
2015-05-06,3001.0,3001.0,2989.0,2997.0,15402.0
2015-05-07,2995.0,3032.0,2983.0,3009.0,67812.0
2015-05-08,3000.0,3007.0,2988.0,2995.0,23924.0
2015-05-11,3000.0,3014.0,2986.0,2992.0,17034.0
2015-05-12,2989.0,3010.0,2983.0,3009.0,18532.0
2015-05-13,3002.0,3025.0,3002.0,3016.0,22320.0
2015-05-14,3016.0,3027.0,3005.0,3025.0,25634.0
2015-05-15,3030.0,3039.0,3020.0,3024.0,24632.0
2015-05-18,3026.0,3026.0,3009.0,3013.0,13512.0
2015-05-19,3015.0,3022.0,3005.0,3017.0,14586.0
2015-05-20,3011.0,3025.0,2997.0,3008.0,27680.0
2015-05-21,3011.0,3016.0,3001.0,3011.0,12350.0
2015-05-22,3011.0,3013.0,2995.0,3004.0,14832.0
2015-05-25,2997.0,3000.0,2961.0,2962.0,26002.0
2015-05-26,2966.0,2978.0,2930.0,2933.0,31174.0
2015-05-27,2928.0,2942.0,2890.0,2894.0,27890.0
2015-05-28,2912.0,2918.0,2892.0,2911.0,24832.0
2015-05-29,2912.0,2931.0,2907.0,2922.0,15792.0
2015-06-01,2930.0,2948.0,2930.0,2931.0,11798.0
2015-06-02,2928.0,2946.0,2922.0,2945.0,7616.0
2015-06-03,2946.0,2946.0,2920.0,2925.0,10942.0
2015-06-04,2920.0,2927.0,2877.0,2909.0,31070.0
2015-06-05,2910.0,2913.0,2873.0,2874.0,15198.0
2015-06-08,2862.0,2882.0,2817.0,2876.0,46204.0
2015-06-09,2880.0,2890.0,2866.0,2879.0,12972.0
2015-06-10,2885.0,2888.0,2852.0,2871.0,20344.0
2015-06-11,2867.0,2888.0,2867.0,2880.0,11806.0
2015-06-12,2877.0,2877.0,2846.0,2872.0,17136.0
2015-06-15,2840.0,2863.0,2813.0,2836.0,24688.0
2015-06-16,2840.0,2879.0,2828.0,2872.0,16854.0
2015-06-17,2874.0,2887.0,2865.0,2871.0,12160.0
2015-06-18,2870.0,2898.0,2869.0,2883.0,11930.0
2015-06-19,2883.0,2894.0,2867.0,2877.0,9794.0
2015-06-23,2885.0,2920.0,2866.0,2874.0,13790.0
2015-06-24,2872.0,2879.0,2851.0,2872.0,18352.0
2015-06-25,2872.0,2877.0,2852.0,2853.0,10748.0
2015-06-26,2860.0,2866.0,2846.0,2862.0,12668.0
2015-06-29,2871.0,2876.0,2839.0,2839.0,12822.0
2015-06-30,2845.0,2845.0,2820.0,2834.0,9882.0
2015-07-01,2848.0,2889.0,2845.0,2858.0,10032.0
2015-07-02,2860.0,2860.0,2821.0,2839.0,5954.0
2015-07-03,2844.0,2857.0,2839.0,2854.0,7222.0
2015-07-06,2852.0,2869.0,2848.0,2857.0,9878.0
2015-07-07,2858.0,2875.0,2851.0,2856.0,11536.0
2015-07-08,2818.0,2860.0,2756.0,2814.0,111586.0
2015-07-09,2849.0,2891.0,2842.0,2879.0,49548.0
2015-07-10,2870.0,2895.0,2858.0,2860.0,21554.0
2015-07-13,2860.0,2913.0,2847.0,2851.0,18820.0
2015-07-14,2870.0,2873.0,2850.0,2852.0,6572.0
2015-07-15,2848.0,2859.0,2841.0,2852.0,3930.0
2015-07-16,2858.0,2890.0,2850.0,2887.0,14868.0
2015-07-17,2887.0,2900.0,2872.0,2892.0,11596.0
2015-07-20,2890.0,2890.0,2822.0,2840.0,11518.0
2015-07-21,2840.0,2847.0,2831.0,2843.0,7586.0
2015-07-22,2841.0,2853.0,2836.0,2846.0,6164.0
2015-07-23,2849.0,2851.0,2838.0,2841.0,4436.0
2015-07-24,2840.0,2844.0,2818.0,2834.0,6172.0
2015-07-27,2835.0,2835.0,2775.0,2777.0,9206.0
2015-07-28,2443.0,2453.0,2425.0,2438.0,10194.0
2015-07-29,2439.0,2454.0,2439.0,2448.0,5058.0
2015-07-30,2450.0,2457.0,2428.0,2428.0,7418.0
2015-07-31,2433.0,2448.0,2430.0,2441.0,8214.0
2015-08-03,2435.0,2436.0,2392.0,2409.0,20690.0
2015-08-04,2410.0,2429.0,2387.0,2394.0,16192.0
2015-08-05,2402.0,2409.0,2380.0,2403.0,14308.0
2015-08-06,2408.0,2411.0,2389.0,2393.0,7088.0
2015-08-07,2400.0,2400.0,2371.0,2374.0,9034.0
2015-08-10,2373.0,2390.0,2338.0,2350.0,29562.0
2015-08-11,2358.0,2381.0,2358.0,2361.0,20562.0
2015-08-12,2355.0,2366.0,2344.0,2352.0,17340.0
2015-08-13,2340.0,2410.0,2334.0,2405.0,48152.0
2015-08-14,2404.0,2437.0,2402.0,2415.0,33966.0
2015-08-17,2419.0,2436.0,2404.0,2430.0,16734.0
2015-08-18,2427.0,2448.0,2407.0,2420.0,13478.0
2015-08-19,2428.0,2428.0,2395.0,2402.0,18974.0
2015-08-20,2401.0,2413.0,2375.0,2379.0,17438.0
2015-08-21,2381.0,2391.0,2363.0,2372.0,13322.0
2015-08-24,2365.0,2372.0,2345.0,2367.0,25742.0
2015-08-25,2370.0,2415.0,2370.0,2395.0,30620.0
2015-08-26,2400.0,2405.0,2384.0,2390.0,16864.0
2015-08-27,2393.0,2395.0,2361.0,2375.0,28318.0
2015-08-28,2389.0,2407.0,2374.0,2375.0,27300.0
2015-08-31,2378.0,2378.0,2303.0,2309.0,35024.0
2015-09-01,2318.0,2340.0,2292.0,2312.0,37382.0
2015-09-02,2313.0,2313.0,2289.0,2308.0,33166.0
2015-09-07,2301.0,2321.0,2284.0,2291.0,37204.0
2015-09-08,2295.0,2324.0,2295.0,2323.0,22160.0
2015-09-09,2337.0,2343.0,2299.0,2301.0,39758.0
2015-09-10,2300.0,2312.0,2264.0,2301.0,81900.0
2015-09-11,2305.0,2323.0,2301.0,2304.0,34206.0
2015-09-14,2309.0,2316.0,2278.0,2282.0,44248.0
2015-09-15,2289.0,2292.0,2269.0,2282.0,35166.0
2015-09-16,2289.0,2308.0,2283.0,2302.0,51320.0
2015-09-17,2308.0,2310.0,2280.0,2289.0,35002.0
2015-09-18,2290.0,2295.0,2244.0,2252.0,99692.0
2015-09-21,2300.0,2304.0,2261.0,2267.0,78894.0
2015-09-22,2269.0,2273.0,2233.0,2239.0,76178.0
2015-09-23,2228.0,2240.0,2216.0,2234.0,73938.0
2015-09-24,2239.0,2249.0,2229.0,2234.0,29916.0
2015-09-25,2232.0,2245.0,2224.0,2228.0,30298.0
2015-09-28,2227.0,2235.0,2219.0,2229.0,25588.0
2015-09-29,2227.0,2227.0,2188.0,2192.0,47366.0
2015-09-30,2190.0,2198.0,2143.0,2145.0,63752.0
2015-10-08,2145.0,2145.0,2037.0,2041.0,168204.0
2015-10-09,2042.0,2090.0,2037.0,2065.0,170228.0
2015-10-12,2070.0,2086.0,2037.0,2048.0,104436.0
2015-10-13,2052.0,2052.0,1983.0,1999.0,273952.0
2015-10-14,1980.0,2009.0,1966.0,1979.0,307042.0
2015-10-15,1979.0,2000.0,1971.0,1980.0,193130.0
2015-10-16,1988.0,1989.0,1961.0,1981.0,219190.0
2015-10-19,1980.0,1984.0,1946.0,1948.0,224298.0
2015-10-20,1950.0,1965.0,1941.0,1953.0,178186.0
2015-10-21,1953.0,1973.0,1946.0,1952.0,138044.0
2015-10-22,1958.0,1964.0,1903.0,1914.0,413896.0
2015-10-23,1910.0,1926.0,1890.0,1919.0,297504.0
2015-10-26,1918.0,1963.0,1916.0,1947.0,390200.0
2015-10-27,1947.0,1992.0,1940.0,1985.0,360684.0
2015-10-28,1985.0,1985.0,1943.0,1944.0,295810.0
2015-10-29,1960.0,1973.0,1949.0,1963.0,97990.0
2015-10-30,1964.0,1971.0,1948.0,1952.0,81968.0
2015-11-02,1970.0,1971.0,1956.0,1966.0,61116.0
2015-11-03,1963.0,2003.0,1960.0,1987.0,189172.0
2015-11-04,1991.0,2034.0,1989.0,2025.0,211174.0
2015-11-05,2029.0,2045.0,2022.0,2039.0,172764.0
2015-11-06,2034.0,2074.0,1991.0,2070.0,211760.0
2015-11-09,2066.0,2123.0,2057.0,2094.0,492038.0
2015-11-10,2090.0,2093.0,2015.0,2044.0,500188.0
2015-11-11,2040.0,2049.0,2022.0,2045.0,269316.0
2015-11-12,2040.0,2116.0,2025.0,2116.0,818774.0
2015-11-13,2120.0,2147.0,2107.0,2137.0,603126.0
2015-11-16,2138.0,2155.0,2100.0,2123.0,714682.0
2015-11-17,2127.0,2127.0,2088.0,2118.0,754336.0
2015-11-18,2118.0,2139.0,2097.0,2115.0,832008.0
2015-11-19,2113.0,2115.0,2059.0,2084.0,885264.0
2015-11-20,2090.0,2126.0,2057.0,2096.0,1114406.0
2015-11-23,2106.0,2134.0,2089.0,2120.0,901642.0
2015-11-24,2124.0,2193.0,2123.0,2135.0,1386866.0
2015-11-25,2140.0,2169.0,2111.0,2168.0,1092756.0
2015-11-26,2177.0,2186.0,2154.0,2155.0,743270.0
2015-11-27,2153.0,2203.0,2148.0,2203.0,903890.0
2015-11-30,2198.0,2211.0,2176.0,2190.0,697734.0
2015-12-01,2197.0,2205.0,2155.0,2160.0,721158.0
2015-12-02,2166.0,2175.0,2153.0,2157.0,574792.0
2015-12-03,2154.0,2177.0,2142.0,2166.0,530784.0
2015-12-04,2168.0,2171.0,2107.0,2108.0,1067972.0
2015-12-07,2105.0,2116.0,2065.0,2074.0,967676.0
2015-12-08,2064.0,2078.0,2036.0,2063.0,692026.0
