,open,high,low,close,volume
2000-01-04,18840.0,18880.0,18810.0,18830.0,4222.0
2000-01-05,18890.0,18950.0,18840.0,18840.0,15348.0
2000-01-06,18940.0,18990.0,18940.0,18960.0,8490.0
2000-01-07,18940.0,19000.0,18930.0,18990.0,3808.0
2000-01-10,,,,18990.0,
2000-01-11,18900.0,18940.0,18870.0,18930.0,5550.0
2000-01-12,18970.0,18970.0,18910.0,18910.0,2730.0
2000-01-13,18980.0,19170.0,18980.0,19110.0,14090.0
2000-01-14,19060.0,19150.0,19060.0,19140.0,5628.0
2000-01-17,19190.0,19220.0,19140.0,19200.0,8060.0
2000-01-18,19240.0,19350.0,19230.0,19340.0,10618.0
2000-01-19,19360.0,19430.0,19300.0,19300.0,10372.0
2000-01-20,19430.0,19430.0,19290.0,19320.0,11736.0
2000-01-21,19280.0,19310.0,19260.0,19300.0,4604.0
2000-01-24,19270.0,19340.0,19270.0,19340.0,3260.0
2000-01-25,19200.0,19230.0,19150.0,19220.0,6900.0
2000-01-26,19180.0,19180.0,19100.0,19180.0,5580.0
2000-01-27,19150.0,19260.0,19140.0,19230.0,3052.0
2000-01-28,19500.0,19500.0,19440.0,19470.0,6010.0
2000-01-31,19390.0,19390.0,19280.0,19310.0,11862.0
2000-02-01,19420.0,19430.0,19380.0,19390.0,5560.0
2000-02-02,19360.0,19420.0,19360.0,19380.0,5070.0
2000-02-14,19480.0,19560.0,19460.0,19540.0,13628.0
2000-02-15,19500.0,19540.0,19470.0,19480.0,8788.0
2000-02-16,19210.0,19320.0,19180.0,19190.0,14498.0
2000-02-17,19220.0,19260.0,19180.0,19200.0,5982.0
2000-02-18,19290.0,19300.0,19270.0,19280.0,4042.0
2000-02-21,19210.0,19250.0,19200.0,19220.0,3716.0
2000-02-22,19100.0,19110.0,19020.0,19030.0,8994.0
2000-02-23,19130.0,19170.0,19120.0,19150.0,5046.0
2000-02-24,19270.0,19300.0,19250.0,19260.0,5256.0
2000-02-25,19180.0,19250.0,19180.0,19250.0,3294.0
2000-02-28,19010.0,19060.0,18960.0,19050.0,8154.0
2000-02-29,18510.0,18520.0,18430.0,18490.0,17816.0
2000-03-01,18460.0,18570.0,18450.0,18480.0,5330.0
2000-03-02,18760.0,18760.0,18700.0,18720.0,8830.0
2000-03-03,18720.0,18740.0,18690.0,18710.0,6524.0
2000-03-06,18750.0,18760.0,18700.0,18700.0,7036.0
2000-03-07,18740.0,18750.0,18650.0,18680.0,7080.0
2000-03-08,18550.0,18550.0,18220.0,18230.0,21048.0
2000-03-09,18230.0,18310.0,18200.0,18290.0,7558.0
2000-03-10,18370.0,18510.0,18370.0,18500.0,11182.0
2000-03-13,18360.0,18380.0,18300.0,18330.0,6578.0
2000-03-14,18330.0,18360.0,18240.0,18290.0,6598.0
2000-03-15,18430.0,18510.0,18430.0,18460.0,8000.0
2000-03-16,18560.0,18630.0,18560.0,18610.0,6498.0
2000-03-17,18750.0,18780.0,18670.0,18670.0,7736.0
2000-03-20,18650.0,18710.0,18650.0,18670.0,4178.0
2000-03-21,18550.0,18580.0,18500.0,18560.0,6022.0
2000-03-22,18740.0,18740.0,18690.0,18700.0,4550.0
2000-03-23,18660.0,18660.0,18530.0,18550.0,4314.0
2000-03-24,18570.0,18610.0,18560.0,18580.0,2598.0
2000-03-27,18450.0,18520.0,18430.0,18520.0,3442.0
2000-03-28,18400.0,18450.0,18390.0,18450.0,5866.0
2000-03-29,18400.0,18520.0,18400.0,18510.0,1996.0
2000-03-30,18530.0,18550.0,18470.0,18470.0,2098.0
2000-03-31,18520.0,18520.0,18460.0,18490.0,1864.0
2000-04-03,18400.0,18490.0,18380.0,18480.0,4244.0
2000-04-04,18440.0,18450.0,18390.0,18400.0,3552.0
2000-04-05,18350.0,18350.0,18050.0,18090.0,9486.0
2000-04-06,18270.0,18310.0,18160.0,18170.0,8904.0
2000-04-07,18170.0,18170.0,17720.0,17860.0,23078.0
2000-04-10,17870.0,17950.0,17860.0,17950.0,9364.0
2000-04-11,18010.0,18010.0,17950.0,17980.0,9312.0
