,open,high,low,close,volume
2017-08-18,22995.0,23330.0,22900.0,23050.0,78284.0
2017-08-21,23005.0,23080.0,22910.0,22985.0,25088.0
2017-08-22,23005.0,23095.0,22985.0,23080.0,13782.0
2017-08-23,23080.0,23155.0,23045.0,23070.0,9078.0
2017-08-24,23070.0,23120.0,23010.0,23050.0,4510.0
2017-08-25,23040.0,23095.0,23030.0,23050.0,3012.0
2017-08-28,23055.0,23100.0,23000.0,23075.0,3914.0
2017-08-29,23100.0,23135.0,23035.0,23050.0,2572.0
2017-08-30,23025.0,23085.0,23005.0,23020.0,1842.0
2017-08-31,23030.0,23080.0,23020.0,23025.0,1784.0
2017-09-01,23020.0,23095.0,23020.0,23030.0,2186.0
2017-09-04,23055.0,23650.0,23040.0,23400.0,14420.0
2017-09-05,23425.0,23575.0,23300.0,23495.0,5994.0
2017-09-06,23535.0,23585.0,23330.0,23345.0,6078.0
2017-09-07,23365.0,23410.0,23215.0,23295.0,4074.0
2017-09-08,23325.0,23340.0,23020.0,23080.0,5524.0
2017-09-11,23105.0,24075.0,22530.0,23210.0,15894.0
2017-09-12,23165.0,23290.0,23130.0,23225.0,2178.0
2017-09-13,23190.0,23285.0,23050.0,23155.0,3018.0
2017-09-14,23125.0,23210.0,23080.0,23085.0,1432.0
2017-09-15,23075.0,23120.0,23020.0,23050.0,1498.0
2017-09-18,23030.0,23095.0,22880.0,23080.0,1904.0
2017-09-19,23160.0,23200.0,23035.0,23095.0,1962.0
2017-09-20,23085.0,23390.0,23070.0,23385.0,3342.0
2017-09-21,23390.0,23390.0,23210.0,23210.0,1426.0
2017-09-22,23235.0,23280.0,23125.0,23155.0,1880.0
2017-09-25,23145.0,23245.0,23135.0,23235.0,974.0
2017-09-26,23255.0,23370.0,23205.0,23320.0,1508.0
2017-09-27,23300.0,23310.0,23085.0,23105.0,1778.0
2017-09-28,23080.0,23145.0,22860.0,22900.0,1928.0
2017-09-29,22845.0,23010.0,22845.0,22920.0,1072.0
2017-10-09,23055.0,23055.0,22860.0,22960.0,582.0
2017-10-10,22980.0,22995.0,22920.0,22935.0,658.0
2017-10-11,22995.0,23000.0,22900.0,22910.0,604.0
2017-10-12,22900.0,22965.0,22860.0,22925.0,1104.0
2017-10-13,22940.0,23010.0,22910.0,22940.0,826.0
2017-10-16,23000.0,23110.0,22925.0,23060.0,980.0
2017-10-17,23005.0,23070.0,22990.0,23000.0,404.0
2017-10-18,22990.0,23080.0,22990.0,23015.0,332.0
2017-10-19,23035.0,23035.0,22840.0,22945.0,532.0
2017-10-20,22905.0,22930.0,22805.0,22865.0,854.0
2017-10-23,22845.0,22920.0,22775.0,22870.0,654.0
2017-10-24,22895.0,22975.0,22895.0,22895.0,504.0
2017-10-25,22920.0,22950.0,22900.0,22950.0,254.0
2017-10-26,22930.0,22990.0,22900.0,22930.0,200.0
2017-10-27,22940.0,22940.0,22840.0,22855.0,228.0
2017-10-30,22885.0,22980.0,22825.0,22885.0,262.0
2017-10-31,22915.0,22950.0,22860.0,22950.0,274.0
2017-11-01,22995.0,23045.0,22880.0,22975.0,426.0
2017-11-02,22900.0,23030.0,22890.0,23015.0,302.0
2017-11-03,23040.0,23080.0,22970.0,23060.0,450.0
2017-11-06,23070.0,23100.0,23025.0,23095.0,322.0
2017-11-07,23060.0,23160.0,23045.0,23120.0,430.0
2017-11-08,23165.0,23165.0,23040.0,23060.0,262.0
2017-11-09,23075.0,23080.0,23005.0,23055.0,136.0
2017-11-10,23080.0,23095.0,23035.0,23055.0,86.0
2017-11-13,23015.0,23270.0,22905.0,23140.0,290.0
2017-11-14,23160.0,23160.0,23075.0,23100.0,192.0
2017-11-15,23050.0,23080.0,22970.0,23000.0,194.0
2017-11-16,23040.0,23060.0,22965.0,23040.0,160.0
2017-11-17,23030.0,23050.0,23005.0,23005.0,90.0
2017-11-20,23005.0,23035.0,22925.0,22965.0,154.0
2017-11-21,22905.0,22965.0,22905.0,22905.0,136.0
2017-11-22,22890.0,22980.0,22880.0,22880.0,130.0
2017-11-23,22900.0,23000.0,22880.0,22915.0,216.0
2017-11-24,22915.0,22985.0,22840.0,22930.0,76.0
2017-11-27,22910.0,23015.0,22910.0,22980.0,104.0
2017-11-28,23025.0,23185.0,22920.0,23175.0,520.0
2017-11-29,23210.0,23240.0,23085.0,23100.0,226.0
2017-11-30,23100.0,23255.0,23100.0,23215.0,166.0
2017-12-01,23005.0,24660.0,23005.0,23575.0,682.0
2017-12-04,23445.0,23750.0,23390.0,23715.0,84.0
2017-12-05,23710.0,23710.0,23435.0,23570.0,106.0
2017-12-06,23680.0,23680.0,23410.0,23530.0,22.0
2017-12-07,23485.0,23500.0,23485.0,23485.0,18.0
2017-12-08,23350.0,23520.0,23350.0,23470.0,44.0
2017-12-11,23450.0,23450.0,23450.0,23450.0,4.0
2017-12-12,,,,,0.0
2017-12-13,23495.0,23500.0,23495.0,23500.0,10.0
2017-12-14,23120.0,23480.0,23120.0,23480.0,10.0
2017-12-15,,,,,0.0
2017-12-18,23355.0,23450.0,23355.0,23450.0,4.0
2017-12-19,,,,,0.0
2017-12-20,,,,,0.0
2017-12-21,,,,,0.0
2017-12-22,23235.0,23235.0,23230.0,23230.0,4.0
2017-12-25,,,,,0.0
2017-12-26,22995.0,22995.0,22995.0,22995.0,4.0
2017-12-27,,,,,0.0
2017-12-28,23235.0,23235.0,23235.0,23235.0,2.0
2017-12-29,23235.0,23235.0,23235.0,23235.0,6.0
