,open,high,low,close,volume
2013-12-06,74.8,74.95,71.8,72.05,102076.0
2013-12-09,71.5,76.05,71.4,74.15,381842.0
2013-12-10,73.95,74.85,72.3,72.6,429364.0
2013-12-11,72.6,73.5,72.35,73.4,257088.0
2013-12-12,73.5,75.8,73.3,75.35,407892.0
2013-12-13,75.15,75.85,73.8,74.8,461736.0
2013-12-16,74.9,75.65,73.6,74.7,273528.0
2013-12-17,74.9,75.35,74.2,74.2,200904.0
2013-12-18,74.0,74.4,72.95,73.6,186512.0
2013-12-19,73.6,73.85,72.75,72.95,128378.0
2013-12-20,72.95,73.65,72.6,73.3,100588.0
2013-12-23,73.1,75.7,72.85,74.8,352236.0
2013-12-24,75.0,75.35,74.25,74.55,211864.0
2013-12-25,74.55,75.1,74.05,74.2,143258.0
2013-12-26,74.25,74.3,71.7,71.7,267836.0
2013-12-27,71.5,73.05,71.4,72.5,289764.0
2013-12-30,72.1,72.3,69.35,70.9,366680.0
2013-12-31,70.7,70.85,69.6,69.85,185018.0
2014-01-02,69.8,70.05,69.05,69.4,128012.0
2014-01-03,69.3,69.95,68.8,69.55,145246.0
2014-01-06,69.45,69.55,66.65,66.75,348528.0
2014-01-07,66.75,67.25,66.1,66.85,264794.0
2014-01-08,66.5,66.8,65.2,65.75,208354.0
2014-01-09,65.25,68.4,65.2,66.6,531612.0
2014-01-10,66.35,67.4,66.1,66.95,200074.0
2014-01-13,67.05,67.35,66.1,66.65,134468.0
2014-01-14,66.75,68.1,66.3,67.8,203896.0
2014-01-15,67.7,67.95,67.0,67.25,134192.0
2014-01-16,67.35,67.35,64.75,64.75,338580.0
2014-01-17,64.7,65.4,64.5,65.15,196258.0
2014-01-20,65.2,66.7,65.0,65.7,211614.0
2014-01-21,65.65,65.7,64.9,65.1,145718.0
2014-01-22,64.95,66.1,64.8,65.15,193288.0
2014-01-23,64.95,65.95,64.85,65.8,247574.0
2014-01-24,65.65,66.45,65.55,65.75,169772.0
2014-01-27,65.9,65.9,64.85,65.2,154176.0
2014-01-28,65.1,65.5,62.7,63.9,350774.0
2014-01-29,63.85,65.5,63.2,65.4,311328.0
2014-01-30,65.5,65.65,64.35,64.8,148892.0
2014-02-07,64.8,66.0,64.8,65.1,110984.0
2014-02-10,65.05,65.7,64.45,65.65,175582.0
2014-02-11,65.8,66.8,65.45,65.55,412296.0
2014-02-12,65.55,65.7,64.2,65.2,226758.0
2014-02-13,65.15,65.85,64.85,65.3,238134.0
2014-02-14,65.4,65.7,65.1,65.4,160102.0
2014-02-17,65.6,67.25,65.55,66.5,490334.0
2014-02-18,66.45,67.1,65.0,65.4,505878.0
2014-02-19,65.45,65.65,64.0,64.55,585322.0
2014-02-20,64.65,65.05,64.35,64.75,287558.0
2014-02-21,64.7,64.95,64.45,64.8,203328.0
2014-02-24,64.85,64.9,63.1,64.55,364030.0
2014-02-25,64.5,65.1,64.15,64.2,209260.0
2014-02-26,64.2,64.6,63.4,64.15,206914.0
2014-02-27,64.1,64.4,62.4,62.7,452786.0
2014-02-28,62.7,63.1,61.9,62.0,317300.0
2014-03-03,62.0,62.35,61.55,62.0,196958.0
2014-03-04,62.0,63.1,61.35,62.4,286654.0
2014-03-05,62.55,63.35,62.4,62.8,286348.0
2014-03-06,62.75,63.35,62.3,62.5,275706.0
2014-03-07,62.65,63.7,62.35,63.35,397782.0
2014-03-10,63.0,63.75,60.45,62.25,513542.0
