,open,high,low,close,volume
2004-08-25,2175.0,2222.0,2151.0,2184.0,76412.0
2004-08-26,2184.0,2187.0,2155.0,2168.0,65350.0
2004-08-27,2160.0,2166.0,2140.0,2148.0,60688.0
2004-08-30,2152.0,2158.0,2143.0,2147.0,23898.0
2004-08-31,2136.0,2138.0,2119.0,2123.0,38162.0
2004-09-01,2125.0,2140.0,2112.0,2134.0,45888.0
2004-09-02,2152.0,2157.0,2142.0,2144.0,48276.0
2004-09-03,2150.0,2153.0,2133.0,2134.0,19604.0
2004-09-06,2133.0,2136.0,2119.0,2122.0,17516.0
2004-09-07,2114.0,2122.0,2098.0,2099.0,29542.0
2004-09-08,2100.0,2112.0,2088.0,2107.0,33360.0
2004-09-09,2104.0,2105.0,2080.0,2090.0,33406.0
2004-09-10,2117.0,2122.0,2106.0,2112.0,26554.0
2004-09-13,2092.0,2101.0,2083.0,2099.0,17388.0
2004-09-14,2104.0,2105.0,2095.0,2099.0,13596.0
2004-09-15,2109.0,2110.0,2093.0,2094.0,16042.0
2004-09-16,2090.0,2097.0,2086.0,2094.0,16534.0
2004-09-17,2096.0,2100.0,2092.0,2094.0,6882.0
2004-09-20,2110.0,2110.0,2098.0,2106.0,7606.0
2004-09-21,2110.0,2114.0,2098.0,2098.0,6872.0
2004-09-22,2106.0,2142.0,2105.0,2124.0,26474.0
2004-09-23,2136.0,2138.0,2116.0,2120.0,9458.0
2004-09-24,2127.0,2133.0,2114.0,2115.0,8762.0
2004-09-27,2125.0,2138.0,2121.0,2128.0,11956.0
2004-09-28,2138.0,2150.0,2133.0,2139.0,21210.0
2004-09-29,2139.0,2142.0,2132.0,2135.0,10348.0
2004-09-30,2122.0,2128.0,2115.0,2119.0,10502.0
2004-10-08,2150.0,2226.0,2150.0,2226.0,71342.0
2004-10-11,2250.0,2345.0,2250.0,2322.0,111864.0
2004-10-12,2345.0,2350.0,2204.0,2270.0,299696.0
2004-10-13,2254.0,2273.0,2224.0,2236.0,163924.0
2004-10-14,2255.0,2280.0,2190.0,2235.0,297986.0
2004-10-15,2275.0,2285.0,2242.0,2250.0,216928.0
2004-10-18,2255.0,2288.0,2246.0,2269.0,165426.0
2004-10-19,2220.0,2225.0,2168.0,2177.0,226196.0
2004-10-20,2185.0,2194.0,2161.0,2179.0,147952.0
2004-10-21,2248.0,2250.0,2223.0,2230.0,175218.0
2004-10-22,2235.0,2237.0,2215.0,2223.0,96272.0
2004-10-25,2241.0,2283.0,2235.0,2280.0,175522.0
2004-10-26,2241.0,2245.0,2212.0,2215.0,148770.0
2004-10-27,2251.0,2259.0,2235.0,2235.0,130402.0
2004-10-28,2132.0,2163.0,2132.0,2160.0,201070.0
2004-10-29,2130.0,2167.0,2130.0,2166.0,159402.0
2004-11-01,2198.0,2199.0,2179.0,2183.0,97752.0
2004-11-02,2150.0,2177.0,2148.0,2177.0,107850.0
2004-11-03,2171.0,2263.0,2163.0,2239.0,296312.0
2004-11-04,2238.0,2257.0,2214.0,2217.0,244954.0
2004-11-05,2188.0,2208.0,2182.0,2199.0,141412.0
2004-11-08,2203.0,2217.0,2194.0,2197.0,105904.0
2004-11-09,2200.0,2210.0,2186.0,2191.0,99482.0
2004-11-10,2162.0,2175.0,2160.0,2171.0,59598.0
2004-11-11,2195.0,2199.0,2170.0,2175.0,46718.0
2004-11-12,2169.0,2178.0,2151.0,2177.0,40746.0
2004-11-15,2166.0,2175.0,2156.0,2158.0,21474.0
2004-11-16,2155.0,2165.0,2141.0,2160.0,21750.0
2004-11-17,2145.0,2156.0,2145.0,2146.0,15544.0
2004-11-18,2162.0,2166.0,2153.0,2154.0,13738.0
2004-11-19,2143.0,2152.0,2136.0,2139.0,7464.0
2004-11-22,2171.0,2171.0,2157.0,2166.0,13240.0
2004-11-23,2151.0,2157.0,2148.0,2152.0,16100.0
2004-11-24,2157.0,2165.0,2149.0,2157.0,11206.0
2004-11-25,2165.0,2184.0,2160.0,2179.0,24918.0
2004-11-26,2179.0,2187.0,2176.0,2181.0,12570.0
2004-11-29,2180.0,2180.0,2163.0,2169.0,8630.0
2004-11-30,2175.0,2184.0,2171.0,2174.0,8880.0
2004-12-01,2165.0,2165.0,2145.0,2153.0,12374.0
2004-12-02,2100.0,2109.0,2086.0,2100.0,41590.0
2004-12-03,2074.0,2075.0,2062.0,2073.0,26970.0
2004-12-06,2075.0,2085.0,2072.0,2084.0,25200.0
2004-12-07,2084.0,2090.0,2078.0,2089.0,15842.0
2004-12-08,2070.0,2091.0,2068.0,2088.0,16592.0
2004-12-09,2092.0,2098.0,2075.0,2085.0,25126.0
2004-12-10,2090.0,2092.0,2075.0,2078.0,12848.0
2004-12-13,2069.0,2075.0,2066.0,2071.0,12896.0
2004-12-14,2080.0,2083.0,2074.0,2076.0,7096.0
2004-12-15,2082.0,2082.0,2066.0,2075.0,11206.0
2004-12-16,2098.0,2122.0,2090.0,2116.0,34836.0
2004-12-17,2112.0,2115.0,2091.0,2098.0,16966.0
2004-12-20,2125.0,2130.0,2107.0,2110.0,15478.0
2004-12-21,2101.0,2106.0,2095.0,2095.0,5714.0
2004-12-22,2095.0,2100.0,2080.0,2086.0,6742.0
2004-12-23,2070.0,2076.0,2066.0,2068.0,9256.0
2004-12-24,2066.0,2068.0,2048.0,2054.0,10484.0
2004-12-27,2048.0,2049.0,2006.0,2011.0,29282.0
2004-12-28,1980.0,2000.0,1973.0,2000.0,25098.0
2004-12-29,2003.0,2011.0,1996.0,2002.0,8798.0
2004-12-30,2020.0,2020.0,2002.0,2003.0,12258.0
2004-12-31,2005.0,2010.0,2001.0,2009.0,5728.0
2005-01-04,2000.0,2002.0,1979.0,1983.0,10124.0
2005-01-05,1995.0,2015.0,1991.0,2007.0,28536.0
2005-01-06,2000.0,2000.0,1988.0,1989.0,13644.0
2005-01-07,2020.0,2020.0,1999.0,2002.0,14540.0
2005-01-10,2007.0,2019.0,2005.0,2014.0,18996.0
2005-01-11,2008.0,2012.0,2002.0,2004.0,11006.0
2005-01-12,2015.0,2018.0,2005.0,2017.0,9608.0
2005-01-13,2020.0,2030.0,2017.0,2023.0,21372.0
2005-01-14,2032.0,2039.0,2027.0,2027.0,16240.0
2005-01-17,2032.0,2032.0,2002.0,2015.0,9854.0
2005-01-18,2023.0,2044.0,2017.0,2042.0,16892.0
2005-01-19,2034.0,2034.0,2022.0,2030.0,7054.0
2005-01-20,2011.0,2018.0,2005.0,2007.0,4286.0
2005-01-21,2010.0,2016.0,2005.0,2013.0,2254.0
2005-01-24,2022.0,2035.0,2022.0,2025.0,12840.0
2005-01-25,2020.0,2021.0,2010.0,2018.0,1954.0
2005-01-26,2022.0,2027.0,2013.0,2020.0,3178.0
2005-01-27,2020.0,2032.0,2015.0,2031.0,3830.0
2005-01-28,2026.0,2035.0,2023.0,2028.0,1596.0
