,open,high,low,close,volume
2013-10-18,978.0,984.0,962.0,977.0,300818.0
2013-10-21,976.0,977.0,960.0,969.0,95432.0
2013-10-22,963.0,966.0,948.0,948.0,91296.0
2013-10-23,949.0,953.0,936.0,939.0,116490.0
2013-10-24,938.0,939.0,916.0,926.0,169028.0
2013-10-25,928.0,936.0,917.0,918.0,104060.0
2013-10-28,920.0,928.0,917.0,923.0,83790.0
2013-10-29,924.0,925.0,913.0,921.0,105876.0
2013-10-30,919.0,930.0,916.0,924.0,118272.0
2013-10-31,925.0,927.0,920.0,922.0,74672.0
2013-11-01,921.0,954.0,921.0,942.0,321242.0
2013-11-04,943.0,957.0,942.0,950.0,175080.0
2013-11-05,948.0,954.0,943.0,946.0,108384.0
2013-11-06,949.0,951.0,942.0,944.0,69362.0
2013-11-07,945.0,947.0,939.0,945.0,91676.0
2013-11-08,947.0,948.0,936.0,939.0,66340.0
2013-11-11,940.0,944.0,934.0,942.0,57564.0
2013-11-12,940.0,944.0,936.0,943.0,45594.0
2013-11-13,941.0,952.0,940.0,943.0,96484.0
2013-11-14,940.0,944.0,937.0,937.0,55752.0
2013-11-15,939.0,942.0,930.0,931.0,76014.0
2013-11-18,931.0,935.0,925.0,932.0,52704.0
2013-11-19,931.0,943.0,930.0,942.0,60164.0
2013-11-20,943.0,946.0,940.0,942.0,43452.0
2013-11-21,942.0,943.0,932.0,932.0,41322.0
2013-11-22,934.0,935.0,929.0,931.0,52592.0
2013-11-25,933.0,936.0,928.0,933.0,38196.0
2013-11-26,934.0,943.0,934.0,941.0,72650.0
2013-11-27,940.0,942.0,933.0,936.0,30614.0
2013-11-28,933.0,940.0,933.0,939.0,27220.0
2013-11-29,939.0,945.0,939.0,939.0,33364.0
2013-12-02,940.0,941.0,934.0,936.0,41520.0
2013-12-03,938.0,941.0,936.0,939.0,35426.0
2013-12-04,942.0,955.0,941.0,952.0,94420.0
2013-12-05,953.0,956.0,944.0,945.0,52990.0
2013-12-06,944.0,945.0,938.0,941.0,40044.0
2013-12-09,941.0,946.0,940.0,945.0,19390.0
2013-12-10,946.0,947.0,942.0,942.0,16900.0
2013-12-11,942.0,942.0,934.0,937.0,38984.0
2013-12-12,936.0,938.0,930.0,930.0,35494.0
2013-12-13,927.0,927.0,905.0,914.0,91394.0
2013-12-16,913.0,923.0,912.0,918.0,39670.0
2013-12-17,918.0,920.0,908.0,910.0,24582.0
2013-12-18,908.0,913.0,902.0,906.0,71224.0
2013-12-19,909.0,913.0,907.0,908.0,30298.0
2013-12-20,909.0,913.0,901.0,905.0,34754.0
2013-12-23,904.0,905.0,885.0,893.0,128512.0
2013-12-24,892.0,907.0,892.0,900.0,95624.0
2013-12-25,903.0,904.0,898.0,903.0,48792.0
2013-12-26,903.0,904.0,885.0,896.0,84590.0
2013-12-27,898.0,910.0,896.0,907.0,87282.0
2013-12-30,908.0,920.0,908.0,911.0,85206.0
2013-12-31,908.0,914.0,899.0,911.0,72580.0
2014-01-02,912.0,912.0,899.0,907.0,56510.0
2014-01-03,904.0,905.0,887.0,902.0,132754.0
2014-01-06,900.0,900.0,888.0,893.0,108602.0
2014-01-07,892.0,899.0,887.0,896.0,86452.0
2014-01-08,895.0,897.0,884.0,892.0,101252.0
2014-01-09,891.0,899.0,884.0,888.0,102048.0
2014-01-10,885.0,886.0,870.0,881.0,180252.0
2014-01-13,879.0,880.0,868.0,871.0,108274.0
2014-01-14,875.0,881.0,866.0,880.0,94136.0
2014-01-15,880.0,882.0,875.0,879.0,68854.0
2014-01-16,880.0,885.0,875.0,879.0,66036.0
2014-01-17,876.0,878.0,870.0,876.0,84072.0
