,open,high,low,close,volume
2011-04-15,2300.0,2300.0,2225.0,2247.0,57134.0
2011-04-18,2233.0,2388.0,2233.0,2381.0,132702.0
2011-04-19,2375.0,2384.0,2320.0,2336.0,204462.0
2011-04-20,2350.0,2395.0,2328.0,2343.0,175506.0
2011-04-21,2353.0,2363.0,2323.0,2335.0,97576.0
2011-04-22,2336.0,2351.0,2297.0,2330.0,128218.0
2011-04-25,2340.0,2359.0,2317.0,2329.0,64954.0
2011-04-26,2315.0,2329.0,2303.0,2322.0,44336.0
2011-04-27,2332.0,2339.0,2315.0,2320.0,32038.0
2011-04-28,2330.0,2347.0,2326.0,2337.0,26286.0
2011-04-29,2337.0,2343.0,2323.0,2329.0,17654.0
2011-05-03,2330.0,2354.0,2326.0,2344.0,26594.0
2011-05-04,2341.0,2346.0,2320.0,2329.0,14518.0
2011-05-05,2309.0,2319.0,2293.0,2308.0,13896.0
2011-05-06,2255.0,2289.0,2255.0,2271.0,14736.0
2011-05-09,2280.0,2284.0,2273.0,2280.0,7240.0
2011-05-10,2285.0,2288.0,2275.0,2287.0,7890.0
2011-05-11,2293.0,2338.0,2286.0,2314.0,30078.0
2011-05-12,2290.0,2352.0,2288.0,2344.0,61826.0
2011-05-13,2360.0,2444.0,2353.0,2419.0,134808.0
2011-05-16,2415.0,2423.0,2396.0,2407.0,57056.0
2011-05-17,2414.0,2417.0,2371.0,2391.0,57660.0
2011-05-18,2400.0,2423.0,2370.0,2372.0,70386.0
2011-05-19,2394.0,2394.0,2363.0,2367.0,47602.0
2011-05-20,2364.0,2392.0,2362.0,2376.0,37048.0
2011-05-23,2388.0,2389.0,2350.0,2357.0,18982.0
2011-05-24,2356.0,2380.0,2345.0,2380.0,30504.0
2011-05-25,2382.0,2385.0,2366.0,2375.0,18206.0
2011-05-26,2385.0,2398.0,2377.0,2378.0,19554.0
2011-05-27,2379.0,2380.0,2351.0,2371.0,21708.0
2011-05-30,2370.0,2382.0,2360.0,2365.0,16418.0
2011-05-31,2370.0,2378.0,2361.0,2364.0,15208.0
2011-06-01,2370.0,2375.0,2357.0,2359.0,13608.0
2011-06-02,2351.0,2363.0,2337.0,2339.0,18632.0
2011-06-03,2340.0,2344.0,2320.0,2326.0,16864.0
2011-06-07,2321.0,2341.0,2312.0,2331.0,15600.0
2011-06-08,2338.0,2338.0,2320.0,2326.0,7924.0
2011-06-09,2330.0,2333.0,2318.0,2318.0,8022.0
2011-06-10,2324.0,2324.0,2306.0,2311.0,12900.0
2011-06-13,2306.0,2321.0,2295.0,2320.0,9360.0
2011-06-14,2313.0,2353.0,2313.0,2334.0,42350.0
2011-06-15,2339.0,2342.0,2321.0,2323.0,9736.0
2011-06-16,2315.0,2321.0,2299.0,2307.0,9420.0
2011-06-17,2310.0,2320.0,2304.0,2307.0,6440.0
2011-06-20,2306.0,2310.0,2280.0,2281.0,8336.0
2011-06-21,2288.0,2300.0,2270.0,2295.0,10346.0
2011-06-22,2290.0,2296.0,2283.0,2288.0,6136.0
2011-06-23,2287.0,2322.0,2280.0,2318.0,23256.0
2011-06-24,2318.0,2323.0,2300.0,2302.0,13368.0
2011-06-27,2296.0,2318.0,2291.0,2308.0,12430.0
