,open,high,low,close,volume
2007-07-31,12780.0,12900.0,12435.0,12580.0,21556.0
2007-08-01,12650.0,12650.0,12390.0,12450.0,4728.0
2007-08-02,12410.0,12490.0,12300.0,12460.0,5116.0
2007-08-03,12440.0,12560.0,12410.0,12495.0,4810.0
2007-08-06,12420.0,12670.0,12420.0,12550.0,6480.0
2007-08-07,12455.0,12570.0,12440.0,12515.0,3044.0
2007-08-08,12540.0,12640.0,12540.0,12580.0,2124.0
2007-08-09,12575.0,12795.0,12560.0,12770.0,4630.0
2007-08-10,12710.0,12850.0,12620.0,12700.0,8224.0
2007-08-13,12745.0,12780.0,12660.0,12685.0,2740.0
2007-08-14,12665.0,12680.0,12525.0,12530.0,3132.0
2007-08-15,12530.0,12600.0,12520.0,12565.0,2166.0
2007-08-16,12595.0,12620.0,12510.0,12515.0,2528.0
2007-08-17,12480.0,12555.0,12320.0,12495.0,3214.0
2007-08-20,12520.0,12580.0,12505.0,12555.0,2410.0
2007-08-21,12530.0,12550.0,12500.0,12530.0,1396.0
2007-08-22,12495.0,12550.0,12485.0,12545.0,1132.0
2007-08-23,12600.0,12600.0,12535.0,12545.0,1230.0
2007-08-24,12520.0,12560.0,12510.0,12515.0,886.0
2007-08-27,12525.0,12525.0,12450.0,12455.0,1808.0
2007-08-28,12455.0,12475.0,12415.0,12445.0,1054.0
2007-08-29,12440.0,12440.0,12370.0,12390.0,1640.0
2007-08-30,12480.0,12480.0,12345.0,12360.0,2076.0
2007-08-31,12390.0,12390.0,12250.0,12300.0,2210.0
2007-09-03,12315.0,12380.0,12290.0,12360.0,1432.0
2007-09-04,12360.0,12390.0,12325.0,12340.0,1698.0
2007-09-05,12305.0,12340.0,12275.0,12320.0,1242.0
2007-09-06,12310.0,12425.0,12310.0,12390.0,1842.0
2007-09-07,12405.0,12455.0,12375.0,12405.0,1714.0
2007-09-10,12410.0,12435.0,12330.0,12375.0,1308.0
2007-09-11,12370.0,12420.0,12360.0,12370.0,1102.0
2007-09-12,12370.0,12405.0,12330.0,12370.0,956.0
2007-09-13,12410.0,12410.0,12370.0,12370.0,998.0
2007-09-14,12350.0,12385.0,12350.0,12365.0,848.0
2007-09-17,12280.0,12360.0,12280.0,12355.0,1036.0
2007-09-18,12370.0,12390.0,12365.0,12375.0,1028.0
2007-09-19,12590.0,12620.0,12570.0,12600.0,5834.0
2007-09-20,12595.0,12600.0,12510.0,12590.0,9494.0
2007-09-21,12610.0,12615.0,12560.0,12580.0,5954.0
2007-09-24,12595.0,12600.0,12515.0,12530.0,5190.0
2007-09-25,12500.0,12525.0,12465.0,12500.0,4356.0
2007-09-26,12495.0,12515.0,12460.0,12490.0,4924.0
2007-09-27,12520.0,12520.0,12470.0,12480.0,5062.0
2007-09-28,12500.0,12520.0,12485.0,12520.0,3720.0
2007-10-08,12520.0,12600.0,12500.0,12550.0,5346.0
2007-10-09,12500.0,12545.0,12485.0,12515.0,4252.0
2007-10-10,12530.0,12580.0,12505.0,12555.0,4242.0
2007-10-11,12595.0,12595.0,12555.0,12585.0,6432.0
2007-10-12,12600.0,12740.0,12595.0,12625.0,12472.0
2007-10-15,12650.0,12685.0,12620.0,12670.0,8636.0
2007-10-16,12700.0,12760.0,12680.0,12720.0,10532.0
2007-10-17,12725.0,12780.0,12670.0,12675.0,8736.0
2007-10-18,12635.0,12675.0,12630.0,12660.0,6272.0
2007-10-19,12700.0,12700.0,12665.0,12680.0,6664.0
