,open,high,low,close,volume
2014-07-08,2760.0,2816.0,2760.0,2813.0,25016.0
2014-07-09,2820.0,2824.0,2799.0,2804.0,9050.0
2014-07-10,2805.0,2810.0,2795.0,2804.0,2190.0
2014-07-11,2805.0,2845.0,2804.0,2828.0,4068.0
2014-07-14,2828.0,2839.0,2818.0,2830.0,1684.0
2014-07-15,2833.0,2837.0,2826.0,2831.0,1362.0
2014-07-16,2833.0,2833.0,2816.0,2828.0,982.0
2014-07-17,2823.0,2824.0,2806.0,2815.0,1066.0
2014-07-18,2811.0,2824.0,2806.0,2816.0,1312.0
2014-07-21,2808.0,2822.0,2808.0,2819.0,468.0
2014-07-22,2817.0,2829.0,2815.0,2823.0,736.0
2014-07-23,2823.0,2825.0,2815.0,2820.0,522.0
2014-07-24,2822.0,2845.0,2820.0,2839.0,2248.0
2014-07-25,2836.0,2874.0,2835.0,2872.0,3078.0
2014-07-28,2865.0,2878.0,2857.0,2878.0,2592.0
2014-07-29,2880.0,2904.0,2875.0,2887.0,5172.0
2014-07-30,2886.0,2890.0,2876.0,2881.0,2152.0
2014-07-31,2880.0,2885.0,2867.0,2872.0,2264.0
2014-08-01,2875.0,2875.0,2861.0,2864.0,1212.0
2014-08-04,2868.0,2878.0,2851.0,2855.0,1524.0
2014-08-05,2857.0,2859.0,2845.0,2846.0,1030.0
2014-08-06,2848.0,2855.0,2843.0,2850.0,1364.0
2014-08-07,2852.0,2858.0,2835.0,2840.0,1410.0
2014-08-08,2841.0,2851.0,2836.0,2846.0,1196.0
2014-08-11,2850.0,2875.0,2843.0,2855.0,1078.0
2014-08-12,2856.0,2867.0,2851.0,2857.0,1482.0
2014-08-13,2858.0,2875.0,2857.0,2863.0,1174.0
2014-08-14,2859.0,2859.0,2842.0,2851.0,1228.0
2014-08-15,2852.0,2861.0,2843.0,2857.0,1072.0
2014-08-18,2879.0,2881.0,2848.0,2848.0,526.0
2014-08-19,2842.0,2850.0,2826.0,2836.0,610.0
2014-08-20,2840.0,2860.0,2837.0,2845.0,640.0
