,open,high,low,close,volume
2000-07-17,2160.0,2160.0,1996.0,1996.0,372.0
2000-07-18,2013.0,2146.0,2013.0,2038.0,1084.0
2000-07-19,2040.0,2040.0,2011.0,2012.0,136.0
2000-07-20,2021.0,2026.0,2006.0,2016.0,60.0
2000-07-21,1990.0,1998.0,1970.0,1970.0,204.0
2000-07-24,1970.0,1977.0,1930.0,1976.0,118.0
2000-07-25,1938.0,1998.0,1937.0,1998.0,124.0
2000-07-26,1990.0,1990.0,1940.0,1950.0,62.0
2000-07-27,1987.0,1987.0,1935.0,1948.0,66.0
2000-07-28,1924.0,1950.0,1922.0,1926.0,158.0
2000-07-31,1950.0,1958.0,1940.0,1948.0,708.0
2000-08-01,,,,1945.0,
2000-08-02,1959.0,1966.0,1900.0,1905.0,438.0
2000-08-03,1900.0,1900.0,1871.0,1895.0,420.0
2000-08-04,1865.0,1895.0,1861.0,1870.0,648.0
2000-08-07,1980.0,1980.0,1976.0,1976.0,4000.0
2000-08-08,1978.0,1978.0,1940.0,1978.0,4004.0
2000-08-09,1978.0,1997.0,1905.0,1991.0,4012.0
2000-08-10,1980.0,1981.0,1920.0,1920.0,1422.0
2000-08-11,,,,1964.0,
2000-08-14,,,,1964.0,
2000-08-15,1988.0,1988.0,1911.0,1911.0,8.0
2000-08-16,,,,1952.0,
2000-08-17,1989.0,1989.0,1929.0,1950.0,2802.0
2000-08-18,1942.0,1965.0,1942.0,1965.0,2802.0
2000-08-21,1960.0,1970.0,1947.0,1969.0,2802.0
2000-08-22,1947.0,1950.0,1938.0,1949.0,2040.0
2000-08-23,1960.0,1960.0,1868.0,1960.0,2084.0
2000-08-24,1950.0,1959.0,1899.0,1940.0,1812.0
2000-08-25,1940.0,1949.0,1878.0,1920.0,2478.0
2000-08-28,1920.0,1970.0,1920.0,1968.0,6592.0
2000-08-29,1960.0,1970.0,1960.0,1969.0,7004.0
2000-08-30,1965.0,1970.0,1951.0,1970.0,6602.0
2000-08-31,1950.0,1995.0,1930.0,1995.0,2016.0
2000-09-01,,,,1950.0,
2000-09-04,2028.0,2028.0,2028.0,2028.0,44.0
2000-09-05,1933.0,1933.0,1933.0,1933.0,4.0
2000-09-06,1950.0,1950.0,1885.0,1950.0,6012.0
2000-09-07,1989.0,1989.0,1905.0,1905.0,2004.0
2000-09-08,,,,1988.0,
2000-09-11,,,,1988.0,
2000-09-12,1920.0,1920.0,1920.0,1920.0,4.0
2000-09-13,1845.0,1845.0,1845.0,1845.0,4.0
2000-09-14,1788.0,1918.0,1788.0,1918.0,12.0
2000-09-15,1931.0,1931.0,1931.0,1931.0,20.0
2000-09-18,1945.0,1980.0,1941.0,1960.0,4026.0
2000-09-19,1880.0,1880.0,1880.0,1880.0,2000.0
2000-09-20,1955.0,1955.0,1955.0,1955.0,40.0
2000-09-21,1993.0,2033.0,1993.0,2010.0,56.0
2000-09-22,2000.0,2000.0,2000.0,2000.0,2000.0
2000-09-25,,,,2000.0,
2000-09-26,2079.0,2079.0,2079.0,2079.0,56.0
2000-09-27,2162.0,2162.0,2081.0,2081.0,40.0
2000-09-28,,,,2123.0,
2000-09-29,2059.0,2078.0,2045.0,2050.0,98.0
2000-10-09,,,,2054.0,
2000-10-10,2012.0,2012.0,2012.0,2012.0,2.0
2000-10-11,,,,2012.0,
2000-10-12,1982.0,1990.0,1982.0,1990.0,202.0
2000-10-13,,,,1989.0,
2000-10-16,1911.0,1911.0,1911.0,1911.0,2.0
2000-10-17,,,,1911.0,
2000-10-18,,,,1911.0,
2000-10-19,2006.0,2006.0,2006.0,2006.0,2.0
2000-10-20,2020.0,2020.0,2020.0,2020.0,10.0
2000-10-23,,,,2020.0,
2000-10-24,,,,2020.0,
2000-10-25,,,,2020.0,
2000-10-26,1942.0,2000.0,1942.0,2000.0,22.0
2000-10-27,1990.0,1990.0,1921.0,1971.0,30.0
2000-10-30,2038.0,2038.0,2038.0,2038.0,20.0
2000-10-31,1958.0,2010.0,1958.0,2005.0,4002.0
2000-11-01,1991.0,2039.0,1990.0,2039.0,124.0
2000-11-02,2078.0,2078.0,2078.0,2078.0,6.0
2000-11-03,,,,2078.0,
2000-11-06,,,,2078.0,
2000-11-07,2022.0,2022.0,2022.0,2022.0,2.0
2000-11-08,1980.0,2100.0,1980.0,2100.0,4.0
2000-11-09,,,,2040.0,
2000-11-10,2120.0,2120.0,2120.0,2120.0,2.0
2000-11-13,2200.0,2200.0,2200.0,2200.0,2.0
2000-11-14,,,,2200.0,
2000-11-15,,,,2200.0,
2000-11-16,2230.0,2230.0,2230.0,2230.0,2.0
2000-11-17,,,,2230.0,
2000-11-20,2141.0,2141.0,2141.0,2141.0,10.0
2000-11-21,2220.0,2220.0,2080.0,2200.0,30.0
2000-11-22,,,,2166.0,
2000-11-23,,,,2166.0,
2000-11-24,2248.0,2248.0,2090.0,2120.0,458.0
2000-11-27,,,,2154.0,
2000-11-28,,,,2154.0,
2000-11-29,2190.0,2192.0,2185.0,2185.0,234.0
2000-11-30,2188.0,2188.0,2188.0,2188.0,10.0
2000-12-01,2151.0,2157.0,2145.0,2151.0,1046.0
2000-12-04,2148.0,2151.0,2147.0,2148.0,1024.0
2000-12-05,2147.0,2150.0,2146.0,2147.0,1022.0
2000-12-06,2148.0,2167.0,2148.0,2167.0,1208.0
2000-12-07,2162.0,2163.0,2160.0,2162.0,1006.0
2000-12-08,2162.0,2162.0,2152.0,2152.0,1008.0
2000-12-11,2155.0,2175.0,2153.0,2172.0,1008.0
2000-12-12,2171.0,2175.0,2165.0,2174.0,1006.0
2000-12-13,2173.0,2190.0,2162.0,2164.0,1210.0
2000-12-14,2165.0,2165.0,2152.0,2152.0,1002.0
2000-12-15,2155.0,2155.0,2135.0,2135.0,1012.0
2000-12-18,2138.0,2150.0,2137.0,2144.0,1006.0
2000-12-19,2155.0,2156.0,2143.0,2144.0,1004.0
2000-12-20,2159.0,2159.0,2143.0,2151.0,1008.0
2000-12-21,2145.0,2147.0,2143.0,2144.0,1030.0
2000-12-22,2140.0,2150.0,2140.0,2150.0,1012.0
2000-12-25,2150.0,2157.0,2140.0,2145.0,1026.0
2000-12-26,2145.0,2149.0,2143.0,2149.0,1000.0
2000-12-27,2148.0,2148.0,2133.0,2134.0,1232.0
2000-12-28,2138.0,2138.0,2130.0,2131.0,1010.0
2000-12-29,2135.0,2136.0,2125.0,2130.0,1088.0
2001-01-02,2125.0,2130.0,2125.0,2129.0,1004.0
2001-01-03,2125.0,2128.0,2123.0,2126.0,1078.0
2001-01-04,2125.0,2125.0,2113.0,2115.0,1010.0
2001-01-05,2115.0,2115.0,2095.0,2098.0,1012.0
2001-01-08,2095.0,2099.0,2030.0,2030.0,1064.0
2001-01-09,2030.0,2049.0,2030.0,2040.0,1052.0
2001-01-10,2050.0,2066.0,2045.0,2066.0,1022.0
2001-01-11,2055.0,2062.0,2045.0,2055.0,1028.0
2001-01-12,2055.0,2055.0,1984.0,1991.0,1128.0
2001-01-15,1995.0,1997.0,1985.0,1988.0,1010.0
2001-01-16,1990.0,2004.0,1988.0,2004.0,1030.0
2001-01-17,2010.0,2011.0,2009.0,2010.0,1004.0
2001-01-18,2009.0,2011.0,1998.0,2004.0,1072.0
2001-01-19,1900.0,1900.0,1895.0,1895.0,1060.0
2001-01-31,,,,1895.0,
2001-02-01,,,,1895.0,
2001-02-02,,,,1895.0,
2001-02-05,1892.0,1892.0,1870.0,1870.0,1024.0
2001-02-06,1860.0,1861.0,1860.0,1860.0,1000.0
2001-02-07,1860.0,1862.0,1856.0,1856.0,1024.0
2001-02-08,1850.0,1855.0,1850.0,1855.0,1000.0
2001-02-09,1848.0,1862.0,1846.0,1846.0,1020.0
2001-02-12,1840.0,1843.0,1825.0,1825.0,1004.0
2001-02-13,1825.0,1830.0,1820.0,1826.0,1044.0
2001-02-14,1829.0,1834.0,1826.0,1826.0,1012.0
2001-02-15,1820.0,1824.0,1810.0,1815.0,1004.0
2001-02-16,1810.0,1812.0,1803.0,1806.0,1008.0
2001-02-19,1808.0,1811.0,1806.0,1806.0,1018.0
2001-02-20,1800.0,1811.0,1800.0,1810.0,1008.0
2001-02-21,1810.0,1810.0,1760.0,1760.0,1012.0
2001-02-22,1755.0,1755.0,1736.0,1736.0,1004.0
2001-02-23,1735.0,1746.0,1735.0,1746.0,1008.0
2001-02-26,1720.0,1720.0,1700.0,1700.0,1002.0
2001-02-27,1700.0,1720.0,1700.0,1716.0,1004.0
2001-02-28,1716.0,1735.0,1715.0,1732.0,1006.0
2001-03-01,1735.0,1736.0,1723.0,1730.0,1430.0
2001-03-02,1725.0,1796.0,1723.0,1776.0,1602.0
2001-03-05,1776.0,1776.0,1736.0,1749.0,1202.0
2001-03-06,1756.0,1771.0,1756.0,1756.0,1016.0
2001-03-07,1790.0,1820.0,1701.0,1776.0,1180.0
2001-03-08,1740.0,1800.0,1740.0,1758.0,1028.0
2001-03-09,1760.0,1762.0,1690.0,1750.0,1006.0
2001-03-12,1750.0,1752.0,1746.0,1746.0,1010.0
2001-03-13,1740.0,1750.0,1689.0,1740.0,1012.0
2001-03-14,1740.0,1742.0,1736.0,1740.0,1016.0
2001-03-15,1683.0,1706.0,1683.0,1700.0,1026.0
2001-03-16,1715.0,1718.0,1705.0,1709.0,1002.0
2001-03-19,1705.0,1710.0,1696.0,1710.0,1404.0
2001-03-20,1710.0,1723.0,1710.0,1720.0,1408.0
2001-03-21,1725.0,1726.0,1722.0,1725.0,1488.0
2001-03-22,1710.0,1728.0,1710.0,1726.0,1588.0
2001-03-23,1705.0,1708.0,1705.0,1708.0,1408.0
2001-03-26,1706.0,1709.0,1705.0,1709.0,1408.0
2001-03-27,1716.0,1718.0,1710.0,1716.0,1402.0
2001-03-28,1716.0,1716.0,1660.0,1700.0,1464.0
2001-03-29,1695.0,1700.0,1684.0,1684.0,1450.0
2001-03-30,1690.0,1690.0,1660.0,1680.0,1608.0
2001-04-02,1678.0,1678.0,1668.0,1670.0,1402.0
2001-04-03,1680.0,1680.0,1670.0,1670.0,1688.0
2001-04-04,1670.0,1673.0,1666.0,1670.0,1518.0
2001-04-05,1680.0,1686.0,1675.0,1680.0,1518.0
2001-04-06,1676.0,1691.0,1673.0,1682.0,1418.0
2001-04-09,1678.0,1681.0,1675.0,1678.0,1406.0
2001-04-10,1678.0,1678.0,1676.0,1676.0,1408.0
2001-04-11,1660.0,1666.0,1645.0,1650.0,1432.0
2001-04-12,1642.0,1646.0,1623.0,1628.0,1472.0
2001-04-13,1630.0,1636.0,1591.0,1608.0,1512.0
2001-04-16,1610.0,1610.0,1596.0,1600.0,1428.0
2001-04-17,1600.0,1601.0,1576.0,1576.0,1418.0
2001-04-18,1550.0,1562.0,1548.0,1562.0,1450.0
2001-04-19,1565.0,1610.0,1556.0,1586.0,1468.0
2001-04-20,1550.0,1586.0,1550.0,1586.0,1410.0
2001-04-23,1580.0,1585.0,1574.0,1582.0,1138.0
2001-04-24,1580.0,1580.0,1572.0,1572.0,1092.0
2001-04-25,1565.0,1568.0,1551.0,1553.0,1072.0
2001-04-26,1545.0,1624.0,1545.0,1620.0,1114.0
2001-04-27,1540.0,1613.0,1540.0,1560.0,1124.0
2001-04-30,1565.0,1591.0,1562.0,1591.0,1140.0
2001-05-08,1610.0,1610.0,1511.0,1511.0,1074.0
2001-05-09,1590.0,1604.0,1590.0,1595.0,1192.0
2001-05-10,1600.0,1600.0,1588.0,1588.0,1068.0
2001-05-11,1580.0,1588.0,1580.0,1584.0,1120.0
2001-05-14,1575.0,1603.0,1575.0,1592.0,1038.0
2001-05-15,1615.0,1616.0,1600.0,1612.0,1068.0
2001-05-16,1595.0,1619.0,1595.0,1619.0,1030.0
2001-05-17,1600.0,1620.0,1600.0,1612.0,1020.0
2001-05-18,1615.0,1624.0,1613.0,1622.0,1082.0
2001-05-21,1615.0,1618.0,1610.0,1610.0,1074.0
2001-05-22,1600.0,1610.0,1600.0,1610.0,1078.0
2001-05-23,1616.0,1620.0,1611.0,1620.0,1050.0
2001-05-24,1615.0,1620.0,1615.0,1616.0,1088.0
2001-05-25,1625.0,1630.0,1623.0,1624.0,1068.0
2001-05-28,1625.0,1625.0,1612.0,1616.0,1058.0
2001-05-29,1615.0,1616.0,1611.0,1612.0,1068.0
2001-05-30,1612.0,1616.0,1602.0,1612.0,1068.0
2001-05-31,1615.0,1618.0,1612.0,1613.0,1068.0
2001-06-01,1615.0,1653.0,1615.0,1653.0,1032.0
2001-06-04,1650.0,1660.0,1650.0,1659.0,1058.0
2001-06-05,1665.0,1703.0,1662.0,1697.0,1082.0
2001-06-06,1688.0,1688.0,1680.0,1682.0,1038.0
2001-06-07,1728.0,1751.0,1728.0,1751.0,504.0
2001-06-08,1760.0,1760.0,1725.0,1730.0,1046.0
2001-06-11,1730.0,1746.0,1720.0,1726.0,1084.0
2001-06-12,1735.0,1735.0,1698.0,1700.0,1032.0
2001-06-13,1715.0,1715.0,1705.0,1710.0,1026.0
2001-06-14,1712.0,1712.0,1705.0,1706.0,1022.0
2001-06-15,1705.0,1716.0,1698.0,1698.0,1050.0
2001-06-18,1679.0,1700.0,1679.0,1692.0,1208.0
2001-06-19,1701.0,1712.0,1701.0,1712.0,1102.0
2001-06-20,1710.0,1713.0,1710.0,1711.0,1060.0
2001-06-21,1700.0,1702.0,1698.0,1702.0,1010.0
2001-06-22,1697.0,1727.0,1696.0,1705.0,1056.0
2001-06-25,1702.0,1702.0,1697.0,1698.0,1062.0
2001-06-26,1705.0,1705.0,1699.0,1703.0,1018.0
2001-06-27,1710.0,1711.0,1707.0,1708.0,1098.0
2001-06-28,1708.0,1710.0,1704.0,1704.0,1086.0
2001-06-29,1702.0,1703.0,1699.0,1700.0,1064.0
2001-07-02,1751.0,1751.0,1658.0,1751.0,826.0
2001-07-03,1750.0,1752.0,1730.0,1735.0,1536.0
2001-07-04,1730.0,1736.0,1730.0,1735.0,1510.0
2001-07-05,1730.0,1788.0,1730.0,1744.0,730.0
2001-07-06,1810.0,1815.0,1800.0,1800.0,84.0
2001-07-09,1865.0,1865.0,1810.0,1810.0,36.0
2001-07-10,1820.0,1851.0,1820.0,1826.0,100.0
2001-07-11,1781.0,1850.0,1781.0,1850.0,80.0
2001-07-12,1780.0,1839.0,1770.0,1839.0,298.0
2001-07-13,1815.0,1856.0,1815.0,1856.0,62.0
2001-07-16,1840.0,1878.0,1840.0,1850.0,852.0
2001-07-17,1830.0,1850.0,1830.0,1850.0,40.0
2001-07-18,1840.0,1840.0,1831.0,1831.0,50.0
2001-07-19,1825.0,1825.0,1820.0,1820.0,50.0
2001-07-20,1830.0,1835.0,1830.0,1835.0,200.0
2001-07-23,1815.0,1886.0,1810.0,1830.0,254.0
2001-07-24,1830.0,1830.0,1815.0,1815.0,230.0
2001-07-25,1820.0,1820.0,1813.0,1813.0,200.0
2001-07-26,1818.0,1818.0,1810.0,1810.0,202.0
2001-07-27,1820.0,1825.0,1818.0,1825.0,140.0
2001-07-30,1800.0,1815.0,1799.0,1810.0,230.0
2001-07-31,1810.0,1825.0,1808.0,1820.0,1214.0
2001-08-01,1816.0,1819.0,1812.0,1817.0,3106.0
2001-08-02,1811.0,1834.0,1811.0,1833.0,3402.0
2001-08-03,1826.0,1830.0,1826.0,1830.0,3438.0
2001-08-06,1826.0,1829.0,1824.0,1824.0,3594.0
2001-08-07,1828.0,1829.0,1812.0,1820.0,3658.0
2001-08-08,1821.0,1822.0,1790.0,1790.0,3844.0
2001-08-09,1795.0,1798.0,1782.0,1782.0,3990.0
2001-08-10,1790.0,1790.0,1777.0,1790.0,3790.0
2001-08-13,1783.0,1783.0,1729.0,1735.0,3834.0
2001-08-14,1750.0,1750.0,1731.0,1737.0,3916.0
2001-08-15,1750.0,1750.0,1718.0,1721.0,3972.0
2001-08-16,1730.0,1731.0,1720.0,1725.0,3864.0
2001-08-17,1735.0,1770.0,1685.0,1750.0,4242.0
2001-08-20,1746.0,1746.0,1725.0,1730.0,4070.0
2001-08-21,1730.0,1733.0,1711.0,1725.0,3622.0
2001-08-22,1724.0,1730.0,1715.0,1715.0,3944.0
2001-08-23,1719.0,1730.0,1710.0,1730.0,3660.0
2001-08-24,1724.0,1731.0,1715.0,1718.0,3888.0
2001-08-27,1714.0,1720.0,1700.0,1705.0,3980.0
2001-08-28,1730.0,1730.0,1695.0,1698.0,3698.0
2001-08-29,1694.0,1694.0,1655.0,1663.0,4256.0
2001-08-30,1665.0,1680.0,1650.0,1675.0,3802.0
2001-08-31,1680.0,1682.0,1660.0,1675.0,4102.0
2001-09-03,1672.0,1680.0,1655.0,1662.0,4224.0
2001-09-04,1635.0,1654.0,1635.0,1648.0,4248.0
2001-09-05,1650.0,1658.0,1642.0,1653.0,3740.0
2001-09-06,1645.0,1660.0,1645.0,1660.0,3746.0
2001-09-07,1650.0,1666.0,1650.0,1662.0,3712.0
2001-09-10,1661.0,1701.0,1661.0,1700.0,4312.0
2001-09-11,1680.0,1727.0,1680.0,1727.0,1238.0
2001-09-12,1730.0,1766.0,1730.0,1751.0,3116.0
2001-09-13,1750.0,1760.0,1705.0,1711.0,4272.0
2001-09-14,1750.0,1750.0,1706.0,1732.0,3904.0
2001-09-17,1721.0,1730.0,1720.0,1727.0,5612.0
2001-09-18,1720.0,1728.0,1716.0,1722.0,7910.0
