,open,high,low,close,volume
2011-10-28,3199.0,3220.0,3130.0,3139.0,40508.0
2011-10-31,3136.0,3198.0,3110.0,3134.0,34928.0
2011-11-01,3140.0,3154.0,3125.0,3131.0,13354.0
2011-11-02,3112.0,3128.0,3095.0,3123.0,7712.0
2011-11-03,3120.0,3122.0,3107.0,3114.0,3308.0
2011-11-04,3126.0,3145.0,3122.0,3139.0,5856.0
2011-11-07,3139.0,3142.0,3121.0,3126.0,1748.0
2011-11-08,3130.0,3134.0,3114.0,3118.0,1648.0
2011-11-09,3125.0,3128.0,3008.0,3019.0,22388.0
2011-11-10,2975.0,2975.0,2920.0,2920.0,12856.0
2011-11-11,2930.0,3007.0,2900.0,2976.0,23654.0
2011-11-14,3001.0,3009.0,2920.0,2932.0,33130.0
2011-11-15,2900.0,2949.0,2890.0,2931.0,23396.0
2011-11-16,2939.0,2944.0,2903.0,2903.0,11726.0
2011-11-17,2912.0,2912.0,2855.0,2871.0,32724.0
2011-11-18,2831.0,2877.0,2831.0,2869.0,12978.0
2011-11-21,2852.0,2879.0,2852.0,2860.0,9488.0
2011-11-22,2850.0,2859.0,2833.0,2839.0,8160.0
2011-11-23,2841.0,2850.0,2801.0,2809.0,7758.0
2011-11-24,2798.0,2810.0,2769.0,2784.0,11144.0
2011-11-25,2776.0,2795.0,2753.0,2755.0,10664.0
2011-11-28,2757.0,2776.0,2721.0,2743.0,28622.0
2011-11-29,2744.0,2766.0,2722.0,2754.0,35106.0
2011-11-30,2758.0,2788.0,2751.0,2758.0,34350.0
2011-12-01,2821.0,2850.0,2782.0,2793.0,19554.0
2011-12-02,2788.0,2799.0,2762.0,2784.0,16514.0
2011-12-05,2786.0,2804.0,2784.0,2798.0,9732.0
2011-12-06,2792.0,2796.0,2782.0,2794.0,6292.0
2011-12-07,2798.0,2804.0,2793.0,2801.0,3054.0
2011-12-08,2796.0,2796.0,2779.0,2789.0,4442.0
2011-12-09,2782.0,2785.0,2775.0,2776.0,3928.0
2011-12-12,2777.0,2780.0,2736.0,2739.0,6106.0
2011-12-13,2728.0,2735.0,2713.0,2714.0,8626.0
2011-12-14,2706.0,2724.0,2705.0,2713.0,4952.0
2011-12-15,2685.0,2689.0,2661.0,2665.0,8222.0
2011-12-16,2670.0,2696.0,2668.0,2692.0,8570.0
2011-12-19,2689.0,2689.0,2668.0,2681.0,6132.0
2011-12-20,2685.0,2687.0,2671.0,2677.0,4726.0
2011-12-21,2690.0,2703.0,2685.0,2686.0,7626.0
2011-12-22,2690.0,2691.0,2678.0,2690.0,4498.0
2011-12-23,2692.0,2702.0,2687.0,2699.0,5286.0
2011-12-26,2701.0,2707.0,2668.0,2668.0,4916.0
2011-12-27,2670.0,2679.0,2665.0,2674.0,3692.0
2011-12-28,2683.0,2726.0,2677.0,2720.0,11986.0
2011-12-29,2708.0,2718.0,2701.0,2710.0,3146.0
2011-12-30,2720.0,2734.0,2719.0,2731.0,3556.0
2012-01-04,2755.0,2758.0,2738.0,2738.0,2760.0
2012-01-05,2739.0,2773.0,2739.0,2770.0,4628.0
2012-01-06,2763.0,2852.0,2762.0,2831.0,35166.0
2012-01-09,2828.0,2848.0,2821.0,2838.0,11682.0
2012-01-10,2836.0,2858.0,2814.0,2835.0,16818.0
2012-01-11,2823.0,2855.0,2823.0,2847.0,18910.0
2012-01-12,2845.0,2863.0,2826.0,2841.0,12214.0
2012-01-13,2832.0,2848.0,2822.0,2825.0,9898.0
2012-01-16,2815.0,2843.0,2811.0,2836.0,6610.0
2012-01-17,2838.0,2881.0,2836.0,2867.0,10748.0
2012-01-18,2866.0,2895.0,2866.0,2877.0,9298.0
2012-01-19,2887.0,2945.0,2880.0,2945.0,16100.0
2012-01-20,2948.0,2965.0,2933.0,2964.0,6704.0
2012-01-30,2960.0,2995.0,2951.0,2982.0,8048.0
2012-01-31,2987.0,3015.0,2980.0,3008.0,22302.0
2012-02-01,2998.0,3008.0,2993.0,2996.0,9898.0
2012-02-02,2998.0,3008.0,2971.0,2981.0,15402.0
2012-02-03,2979.0,2984.0,2953.0,2970.0,12492.0
2012-02-06,2987.0,3033.0,2980.0,3021.0,21232.0
2012-02-07,3018.0,3036.0,2996.0,3006.0,12984.0
2012-02-08,3028.0,3032.0,3009.0,3022.0,11996.0
2012-02-09,3012.0,3015.0,2929.0,2939.0,35710.0
2012-02-10,2947.0,2950.0,2911.0,2932.0,24620.0
2012-02-13,2933.0,2950.0,2932.0,2934.0,13202.0
2012-02-14,2937.0,2937.0,2884.0,2887.0,24302.0
2012-02-15,2889.0,2923.0,2875.0,2898.0,32378.0
2012-02-16,2893.0,2932.0,2878.0,2927.0,58942.0
2012-02-17,2937.0,2947.0,2916.0,2929.0,40704.0
2012-02-20,2970.0,2970.0,2911.0,2918.0,31578.0
2012-02-21,2914.0,2938.0,2914.0,2933.0,17148.0
2012-02-22,2937.0,2951.0,2930.0,2948.0,18394.0
2012-02-23,2945.0,2953.0,2935.0,2941.0,13026.0
2012-02-24,2946.0,2950.0,2908.0,2919.0,20310.0
2012-02-27,2929.0,2933.0,2903.0,2905.0,24114.0
2012-02-28,2900.0,2930.0,2890.0,2922.0,26916.0
2012-02-29,2922.0,2977.0,2918.0,2976.0,40922.0
2012-03-01,2967.0,2988.0,2962.0,2972.0,34588.0
2012-03-02,2984.0,3029.0,2980.0,3022.0,42910.0
2012-03-05,3021.0,3040.0,3006.0,3016.0,30298.0
2012-03-06,3025.0,3025.0,2980.0,2982.0,25096.0
2012-03-07,2963.0,2976.0,2943.0,2945.0,21122.0
2012-03-08,2951.0,2970.0,2940.0,2949.0,22904.0
2012-03-09,2955.0,3010.0,2955.0,3004.0,34078.0
2012-03-12,3010.0,3016.0,2976.0,2996.0,38292.0
2012-03-13,3000.0,3035.0,2987.0,3023.0,41442.0
2012-03-14,3030.0,3060.0,2992.0,2996.0,63716.0
2012-03-15,2995.0,3003.0,2972.0,2979.0,37680.0
2012-03-16,2976.0,2990.0,2941.0,2958.0,33854.0
2012-03-19,2957.0,2979.0,2947.0,2961.0,24534.0
2012-03-20,2971.0,3014.0,2954.0,2998.0,69600.0
2012-03-21,2992.0,3017.0,2990.0,2997.0,50782.0
2012-03-22,3000.0,3006.0,2945.0,2953.0,53176.0
2012-03-23,2950.0,2965.0,2932.0,2963.0,28034.0
2012-03-26,2973.0,3001.0,2965.0,2987.0,29628.0
2012-03-27,3000.0,3000.0,2965.0,2985.0,30730.0
2012-03-28,2979.0,3000.0,2953.0,2966.0,35554.0
2012-03-29,2960.0,2990.0,2952.0,2964.0,39000.0
2012-03-30,2963.0,2974.0,2945.0,2949.0,19262.0
2012-04-05,2939.0,2948.0,2930.0,2940.0,16836.0
2012-04-06,2941.0,2955.0,2941.0,2953.0,11850.0
2012-04-09,2950.0,2962.0,2935.0,2939.0,13540.0
2012-04-10,2943.0,2944.0,2923.0,2933.0,5460.0
2012-04-11,3025.0,3034.0,3010.0,3028.0,11010.0
2012-04-12,3032.0,3092.0,3032.0,3084.0,46320.0
2012-04-13,3100.0,3102.0,3077.0,3080.0,31398.0
2012-04-16,3066.0,3105.0,3060.0,3094.0,56444.0
2012-04-17,3096.0,3104.0,3078.0,3085.0,25636.0
2012-04-18,3098.0,3112.0,3073.0,3101.0,44534.0
2012-04-19,3090.0,3115.0,3086.0,3099.0,44996.0
2012-04-20,3101.0,3115.0,3090.0,3101.0,36326.0
2012-04-23,3101.0,3106.0,3082.0,3084.0,27812.0
2012-04-24,3090.0,3104.0,3080.0,3098.0,41252.0
2012-04-25,3100.0,3133.0,3092.0,3094.0,47970.0
2012-04-26,3094.0,3105.0,3088.0,3098.0,21832.0
2012-04-27,3104.0,3104.0,3088.0,3098.0,16470.0
2012-05-02,3107.0,3155.0,3100.0,3154.0,58036.0
2012-05-03,3150.0,3159.0,3133.0,3139.0,41160.0
2012-05-04,3135.0,3142.0,3108.0,3120.0,43174.0
2012-05-07,3090.0,3092.0,3070.0,3074.0,28902.0
2012-05-08,3079.0,3092.0,3071.0,3079.0,22476.0
2012-05-09,3071.0,3076.0,3040.0,3052.0,29698.0
2012-05-10,3055.0,3059.0,3041.0,3055.0,14206.0
2012-05-11,3048.0,3152.0,3021.0,3025.0,42128.0
2012-05-14,3034.0,3037.0,2927.0,2927.0,33466.0
2012-05-15,2887.0,2907.0,2841.0,2898.0,36858.0
2012-05-16,2878.0,2890.0,2860.0,2864.0,20308.0
2012-05-17,2883.0,2896.0,2816.0,2871.0,60518.0
2012-05-18,2852.0,2872.0,2830.0,2861.0,34222.0
2012-05-21,2875.0,2897.0,2859.0,2892.0,23914.0
2012-05-22,2897.0,2908.0,2880.0,2885.0,18074.0
2012-05-23,2850.0,2864.0,2829.0,2855.0,28492.0
2012-05-24,2852.0,2875.0,2837.0,2871.0,22606.0
2012-05-25,2871.0,2877.0,2856.0,2871.0,12756.0
2012-05-28,2884.0,2902.0,2875.0,2899.0,12830.0
2012-05-29,2880.0,2908.0,2878.0,2903.0,11084.0
2012-05-30,2888.0,2895.0,2857.0,2861.0,18498.0
2012-05-31,2830.0,2860.0,2826.0,2852.0,12834.0
2012-06-01,2836.0,2844.0,2818.0,2820.0,16530.0
2012-06-04,2788.0,2792.0,2717.0,2718.0,32962.0
2012-06-05,2749.0,2800.0,2741.0,2786.0,25952.0
2012-06-06,2788.0,2815.0,2778.0,2787.0,20836.0
2012-06-07,2815.0,2819.0,2764.0,2773.0,23732.0
2012-06-08,2770.0,2770.0,2733.0,2745.0,22988.0
2012-06-11,2788.0,2805.0,2722.0,2762.0,72184.0
2012-06-12,2721.0,2751.0,2721.0,2739.0,33576.0
2012-06-13,2741.0,2744.0,2695.0,2702.0,40854.0
2012-06-14,2687.0,2715.0,2655.0,2676.0,54168.0
2012-06-15,2688.0,2710.0,2673.0,2708.0,41076.0
2012-06-18,2722.0,2747.0,2719.0,2726.0,23336.0
2012-06-19,2717.0,2743.0,2711.0,2731.0,26918.0
2012-06-20,2746.0,2780.0,2741.0,2776.0,19908.0
2012-06-21,2740.0,2762.0,2735.0,2754.0,25144.0
2012-06-25,2740.0,2775.0,2740.0,2757.0,24740.0
2012-06-26,2762.0,2770.0,2711.0,2714.0,40114.0
2012-06-27,2710.0,2719.0,2694.0,2704.0,29920.0
2012-06-28,2720.0,2726.0,2697.0,2718.0,27076.0
2012-06-29,2706.0,2746.0,2683.0,2741.0,44464.0
2012-07-02,2799.0,2818.0,2746.0,2799.0,61884.0
2012-07-03,2793.0,2839.0,2790.0,2828.0,46604.0
2012-07-04,2850.0,2877.0,2838.0,2842.0,36994.0
2012-07-05,2832.0,2863.0,2832.0,2855.0,24146.0
2012-07-06,2849.0,2862.0,2836.0,2841.0,20948.0
2012-07-09,2820.0,2836.0,2818.0,2826.0,14674.0
2012-07-10,2825.0,2834.0,2808.0,2808.0,16016.0
2012-07-11,2801.0,2805.0,2776.0,2785.0,19692.0
2012-07-12,2789.0,2805.0,2775.0,2787.0,21890.0
2012-07-13,2783.0,2824.0,2778.0,2823.0,33968.0
2012-07-16,2821.0,2839.0,2809.0,2814.0,16888.0
2012-07-17,2829.0,2865.0,2812.0,2823.0,31812.0
2012-07-18,2819.0,2835.0,2797.0,2805.0,17796.0
2012-07-19,2814.0,2830.0,2808.0,2823.0,13926.0
2012-07-20,2832.0,2838.0,2733.0,2757.0,47988.0
2012-07-23,2742.0,2769.0,2709.0,2754.0,30846.0
2012-07-24,2740.0,2758.0,2728.0,2756.0,18492.0
2012-07-25,2750.0,2777.0,2740.0,2743.0,18808.0
2012-07-26,2755.0,2780.0,2711.0,2773.0,40444.0
2012-07-27,2785.0,2824.0,2764.0,2824.0,28156.0
2012-07-30,2826.0,2840.0,2807.0,2837.0,20466.0
2012-07-31,2831.0,2849.0,2820.0,2837.0,18602.0
2012-08-01,2820.0,2839.0,2818.0,2827.0,9392.0
2012-08-02,2823.0,2863.0,2822.0,2848.0,17404.0
2012-08-03,2828.0,2850.0,2828.0,2843.0,6986.0
2012-08-06,2855.0,2873.0,2855.0,2872.0,5842.0
2012-08-07,2866.0,2895.0,2866.0,2895.0,4720.0
2012-08-08,2839.0,2865.0,2822.0,2828.0,23526.0
2012-08-09,2835.0,2843.0,2808.0,2828.0,27578.0
2012-08-10,2830.0,2833.0,2781.0,2785.0,34542.0
2012-08-13,2785.0,2795.0,2770.0,2771.0,16572.0
2012-08-14,2769.0,2783.0,2702.0,2775.0,46194.0
2012-08-15,2770.0,2779.0,2738.0,2742.0,39334.0
2012-08-16,2750.0,2754.0,2711.0,2728.0,41042.0
2012-08-17,2740.0,2755.0,2734.0,2749.0,20572.0
2012-08-20,2756.0,2757.0,2720.0,2729.0,20924.0
2012-08-21,2725.0,2730.0,2683.0,2710.0,44304.0
2012-08-22,2710.0,2723.0,2686.0,2713.0,31558.0
2012-08-23,2716.0,2737.0,2713.0,2737.0,27918.0
2012-08-24,2729.0,2729.0,2683.0,2689.0,34094.0
2012-08-27,2695.0,2730.0,2691.0,2724.0,35444.0
2012-08-28,2709.0,2748.0,2706.0,2738.0,48524.0
2012-08-29,2733.0,2739.0,2635.0,2691.0,127380.0
2012-08-30,2690.0,2693.0,2603.0,2635.0,107904.0
2012-08-31,2628.0,2659.0,2622.0,2647.0,40160.0
2012-09-03,2653.0,2677.0,2648.0,2671.0,30082.0
2012-09-04,2677.0,2685.0,2606.0,2621.0,73406.0
2012-09-05,2611.0,2614.0,2532.0,2553.0,128824.0
2012-09-06,2568.0,2650.0,2565.0,2635.0,122186.0
2012-09-07,2625.0,2706.0,2613.0,2684.0,111890.0
2012-09-10,2692.0,2727.0,2671.0,2717.0,72648.0
2012-09-11,2706.0,2719.0,2681.0,2708.0,61588.0
2012-09-12,2712.0,2745.0,2706.0,2730.0,74740.0
2012-09-13,2733.0,2733.0,2689.0,2702.0,59026.0
2012-09-14,2752.0,2814.0,2752.0,2814.0,57544.0
2012-09-17,2817.0,2842.0,2788.0,2824.0,59938.0
2012-09-18,2791.0,2830.0,2784.0,2813.0,44588.0
2012-09-19,2811.0,2843.0,2803.0,2820.0,63278.0
2012-09-20,2790.0,2809.0,2775.0,2787.0,46850.0
2012-09-21,2800.0,2804.0,2772.0,2791.0,37080.0
2012-09-24,2776.0,2785.0,2753.0,2777.0,29396.0
2012-09-25,2782.0,2821.0,2772.0,2802.0,45956.0
2012-09-26,2788.0,2807.0,2769.0,2777.0,27218.0
2012-09-27,2767.0,2799.0,2756.0,2777.0,19932.0
2012-09-28,2790.0,2815.0,2787.0,2812.0,18376.0
2012-10-08,2803.0,2824.0,2788.0,2790.0,14590.0
2012-10-09,2803.0,2803.0,2699.0,2769.0,52728.0
2012-10-10,2763.0,2868.0,2763.0,2831.0,85122.0
2012-10-11,2831.0,2859.0,2815.0,2834.0,47006.0
2012-10-12,2846.0,2890.0,2843.0,2864.0,73952.0
2012-10-15,2838.0,2855.0,2791.0,2811.0,50064.0
2012-10-16,2819.0,2827.0,2788.0,2812.0,36782.0
2012-10-17,2816.0,2848.0,2812.0,2834.0,39448.0
2012-10-18,2839.0,2857.0,2830.0,2849.0,37872.0
2012-10-19,2845.0,2852.0,2805.0,2810.0,37858.0
2012-10-22,2792.0,2819.0,2782.0,2815.0,27610.0
2012-10-23,2810.0,2843.0,2805.0,2812.0,51274.0
2012-10-24,2798.0,2820.0,2778.0,2819.0,48618.0
2012-10-25,2818.0,2831.0,2798.0,2814.0,39176.0
2012-10-26,2806.0,2830.0,2798.0,2813.0,35308.0
2012-10-29,2820.0,2829.0,2775.0,2799.0,50000.0
2012-10-30,2794.0,2833.0,2783.0,2824.0,68784.0
2012-10-31,2829.0,2835.0,2815.0,2826.0,29932.0
2012-11-01,2822.0,2845.0,2820.0,2832.0,38612.0
2012-11-02,2830.0,2836.0,2812.0,2823.0,23226.0
2012-11-05,2801.0,2815.0,2788.0,2799.0,22280.0
2012-11-06,2800.0,2810.0,2777.0,2797.0,29486.0
2012-11-07,2807.0,2817.0,2793.0,2802.0,20250.0
2012-11-08,2782.0,2798.0,2780.0,2793.0,11140.0
2012-11-09,2793.0,2805.0,2770.0,2775.0,21132.0
2012-11-12,2770.0,2770.0,2730.0,2731.0,29552.0
2012-11-13,2728.0,2731.0,2690.0,2703.0,43510.0
2012-11-14,2706.0,2728.0,2690.0,2710.0,28672.0
