,open,high,low,close,volume
2015-03-27,101870.0,102710.0,100650.0,101080.0,28860.0
2015-03-30,99010.0,100000.0,96820.0,98430.0,66684.0
2015-03-31,98000.0,98200.0,93840.0,95040.0,105600.0
2015-04-01,93940.0,94130.0,91270.0,92500.0,158952.0
2015-04-02,92870.0,96600.0,92550.0,96160.0,202848.0
2015-04-03,96000.0,97800.0,95660.0,97300.0,150282.0
2015-04-07,97500.0,97980.0,95950.0,96420.0,75688.0
2015-04-08,94500.0,95630.0,93300.0,93950.0,183088.0
2015-04-09,94450.0,95260.0,93880.0,94300.0,160974.0
2015-04-10,94500.0,94970.0,93180.0,94540.0,137722.0
2015-04-13,94280.0,95670.0,93700.0,95230.0,180214.0
2015-04-14,94780.0,95070.0,92810.0,93100.0,199150.0
2015-04-15,92700.0,95000.0,92640.0,94730.0,220106.0
2015-04-16,94610.0,95900.0,94260.0,95400.0,195920.0
2015-04-17,96280.0,96660.0,95010.0,95850.0,168702.0
2015-04-20,95980.0,96550.0,95200.0,95410.0,148104.0
2015-04-21,95330.0,96800.0,94900.0,95880.0,140930.0
2015-04-22,95910.0,96720.0,95750.0,96330.0,123902.0
2015-04-23,96120.0,96500.0,95600.0,95860.0,101066.0
2015-04-24,95840.0,97900.0,95700.0,97830.0,118180.0
2015-04-27,98000.0,101490.0,97990.0,101490.0,241904.0
2015-04-28,102490.0,104530.0,101420.0,102650.0,285722.0
2015-04-29,102350.0,104400.0,100500.0,101020.0,317634.0
2015-04-30,101190.0,106980.0,101160.0,106010.0,552750.0
2015-05-04,106010.0,108900.0,105450.0,107580.0,278844.0
2015-05-05,107850.0,109230.0,106160.0,107960.0,518266.0
2015-05-06,110000.0,113380.0,109690.0,113380.0,609024.0
2015-05-07,114580.0,115300.0,111050.0,112500.0,969052.0
2015-05-08,113700.0,114100.0,110000.0,112300.0,878416.0
2015-05-11,111810.0,114430.0,111060.0,113880.0,728054.0
2015-05-12,113300.0,115060.0,111270.0,111600.0,871696.0
2015-05-13,112280.0,113650.0,110780.0,111750.0,752614.0
2015-05-14,112100.0,112100.0,107060.0,109400.0,760542.0
2015-05-15,108980.0,110960.0,108540.0,110210.0,609290.0
2015-05-18,109390.0,109690.0,108200.0,108610.0,544094.0
2015-05-19,108300.0,108890.0,106160.0,106430.0,467078.0
2015-05-20,105500.0,105990.0,102340.0,102340.0,318956.0
2015-05-21,100490.0,102550.0,100170.0,101070.0,480198.0
2015-05-22,100960.0,103370.0,96710.0,100070.0,741862.0
2015-05-25,98900.0,100580.0,98110.0,99480.0,610232.0
2015-05-26,99670.0,101900.0,99660.0,100010.0,550278.0
2015-05-27,99990.0,101180.0,99200.0,100670.0,406048.0
2015-05-28,97780.0,100100.0,97740.0,99470.0,211690.0
2015-05-29,99140.0,99670.0,96250.0,97600.0,196314.0
2015-06-01,97500.0,97800.0,96360.0,96810.0,171826.0
2015-06-02,97190.0,100500.0,97020.0,100280.0,428588.0
2015-06-03,100380.0,101100.0,99040.0,99060.0,409252.0
2015-06-04,99200.0,99940.0,97690.0,98530.0,373158.0
2015-06-05,98650.0,99480.0,98060.0,98390.0,349670.0
2015-06-08,98750.0,100600.0,98330.0,100570.0,493720.0
2015-06-09,100850.0,102180.0,100660.0,100910.0,602556.0
2015-06-10,101360.0,101770.0,100570.0,101330.0,398440.0
2015-06-11,101850.0,102200.0,101300.0,101500.0,323762.0
2015-06-12,101600.0,101640.0,97800.0,98070.0,485268.0
2015-06-15,98400.0,98880.0,97400.0,97580.0,314750.0
2015-06-16,97400.0,98050.0,95340.0,95700.0,386062.0
2015-06-17,96000.0,96360.0,94700.0,95280.0,399972.0
2015-06-18,96300.0,96810.0,95830.0,96300.0,327414.0
2015-06-19,96020.0,96180.0,94440.0,94610.0,314640.0
2015-06-23,94280.0,95330.0,94100.0,95050.0,157974.0
2015-06-24,95510.0,96700.0,95350.0,96390.0,335618.0
2015-06-25,96010.0,96220.0,94800.0,94850.0,333244.0
2015-06-26,94760.0,95170.0,93020.0,93850.0,506474.0
2015-06-29,93650.0,93680.0,89510.0,90360.0,618386.0
2015-06-30,88880.0,89410.0,87330.0,87330.0,479454.0
2015-07-01,87330.0,89980.0,86680.0,88360.0,711488.0
2015-07-02,88000.0,89880.0,87570.0,89450.0,651868.0
2015-07-03,89850.0,90670.0,88080.0,89240.0,530356.0
2015-07-06,89100.0,89340.0,85260.0,85530.0,497774.0
2015-07-07,85750.0,87360.0,84050.0,84220.0,563222.0
2015-07-08,82400.0,82400.0,81630.0,81630.0,25018.0
2015-07-09,75230.0,86050.0,75230.0,83600.0,1040716.0
