,open,high,low,close,volume
2007-06-08,10380.0,10500.0,8932.0,8940.0,119364.0
2007-06-11,8910.0,8988.0,8768.0,8768.0,50066.0
2007-06-12,8716.0,8750.0,8582.0,8666.0,85460.0
2007-06-13,8700.0,8770.0,8450.0,8502.0,130864.0
2007-06-14,8580.0,8618.0,8512.0,8566.0,107510.0
2007-06-15,8600.0,8646.0,8558.0,8612.0,69794.0
2007-06-18,8748.0,8768.0,8670.0,8748.0,50606.0
2007-06-19,8702.0,8708.0,8618.0,8652.0,36790.0
2007-06-20,8516.0,8604.0,8516.0,8592.0,19162.0
2007-06-21,8592.0,8628.0,8572.0,8586.0,9266.0
2007-06-22,8538.0,8568.0,8520.0,8562.0,10642.0
2007-06-25,8526.0,8586.0,8520.0,8576.0,11320.0
2007-06-26,8580.0,8598.0,8504.0,8524.0,14186.0
2007-06-27,8532.0,8548.0,8342.0,8416.0,44758.0
2007-06-28,8406.0,8466.0,8406.0,8458.0,17314.0
2007-06-29,8510.0,8592.0,8462.0,8578.0,21842.0
2007-07-02,8700.0,8886.0,8576.0,8774.0,49022.0
2007-07-03,8770.0,8770.0,8720.0,8726.0,13666.0
2007-07-04,8672.0,8770.0,8650.0,8762.0,15392.0
2007-07-05,8768.0,8820.0,8738.0,8748.0,19030.0
2007-07-06,8740.0,8836.0,8730.0,8832.0,18358.0
2007-07-09,8828.0,8868.0,8790.0,8804.0,15710.0
2007-07-10,8832.0,8838.0,8736.0,8750.0,9652.0
2007-07-11,8800.0,8850.0,8772.0,8836.0,11604.0
2007-07-12,8830.0,8912.0,8824.0,8896.0,16224.0
2007-07-13,8910.0,8944.0,8854.0,8872.0,9078.0
2007-07-16,8790.0,8822.0,8760.0,8816.0,5428.0
2007-07-17,8700.0,8832.0,8700.0,8822.0,5236.0
2007-07-18,8800.0,8876.0,8800.0,8870.0,3700.0
2007-07-19,8870.0,8900.0,8834.0,8842.0,2994.0
2007-07-20,8850.0,8898.0,8842.0,8870.0,4076.0
2007-07-23,8820.0,8890.0,8820.0,8860.0,2270.0
2007-07-24,8852.0,8870.0,8840.0,8862.0,1178.0
2007-07-25,8870.0,8890.0,8862.0,8886.0,1086.0
2007-07-26,8898.0,8900.0,8874.0,8900.0,1412.0
2007-07-27,8890.0,9074.0,8888.0,9020.0,9970.0
2007-07-30,9040.0,9248.0,9040.0,9206.0,13580.0
2007-07-31,9250.0,9268.0,9166.0,9188.0,8992.0
2007-08-01,9254.0,9254.0,9122.0,9150.0,3132.0
2007-08-02,9154.0,9218.0,9140.0,9174.0,2094.0
2007-08-03,9166.0,9194.0,9132.0,9140.0,2850.0
2007-08-06,9100.0,9178.0,9100.0,9132.0,3120.0
2007-08-07,9104.0,9158.0,9102.0,9126.0,990.0
2007-08-08,9148.0,9220.0,9148.0,9170.0,2982.0
2007-08-09,9248.0,9248.0,9136.0,9180.0,4096.0
2007-08-10,9060.0,9180.0,9058.0,9180.0,1284.0
2007-08-13,9150.0,9220.0,9150.0,9220.0,874.0
2007-08-14,9210.0,9250.0,9200.0,9212.0,314.0
2007-08-15,9190.0,9210.0,9180.0,9190.0,400.0
2007-08-16,9212.0,9228.0,9102.0,9124.0,3938.0
