,open,high,low,close,volume
2012-01-17,2219.0,2219.0,2219.0,2219.0,2.0
2012-01-18,,,,,0.0
2012-01-19,,,,,0.0
2012-01-20,2218.0,2218.0,2204.0,2204.0,6.0
2012-01-30,2220.0,2220.0,2200.0,2219.0,8.0
2012-01-31,2206.0,2210.0,2198.0,2200.0,48.0
2012-02-01,2207.0,2207.0,2200.0,2204.0,36.0
2012-02-02,2198.0,2202.0,2198.0,2202.0,4.0
2012-02-03,2200.0,2211.0,2200.0,2206.0,26.0
2012-02-06,2222.0,2225.0,2208.0,2220.0,96.0
2012-02-07,2223.0,2223.0,2204.0,2208.0,52.0
2012-02-08,2216.0,2216.0,2206.0,2215.0,48.0
2012-02-09,2213.0,2213.0,2205.0,2205.0,62.0
2012-02-10,2200.0,2207.0,2200.0,2200.0,28.0
2012-02-13,2206.0,2208.0,2206.0,2208.0,4.0
2012-02-14,2203.0,2208.0,2201.0,2206.0,26.0
2012-02-15,2201.0,2201.0,2191.0,2199.0,14.0
2012-02-16,2203.0,2203.0,2196.0,2200.0,6.0
2012-02-17,2201.0,2204.0,2200.0,2200.0,22.0
2012-02-20,2209.0,2209.0,2200.0,2203.0,36.0
2012-02-21,2204.0,2204.0,2201.0,2201.0,12.0
2012-02-22,2203.0,2206.0,2202.0,2204.0,18.0
2012-02-23,2203.0,2203.0,2201.0,2201.0,22.0
2012-02-24,2202.0,2202.0,2201.0,2201.0,4.0
2012-02-27,2200.0,2202.0,2200.0,2201.0,14.0
2012-02-28,2200.0,2203.0,2200.0,2201.0,134.0
2012-02-29,2202.0,2238.0,2202.0,2238.0,396.0
2012-03-01,2218.0,2229.0,2213.0,2223.0,120.0
2012-03-02,2228.0,2242.0,2221.0,2242.0,312.0
2012-03-05,2249.0,2252.0,2240.0,2240.0,112.0
2012-03-06,2241.0,2249.0,2236.0,2241.0,94.0
2012-03-07,2235.0,2235.0,2226.0,2229.0,44.0
2012-03-08,2236.0,2236.0,2213.0,2221.0,196.0
2012-03-09,2221.0,2238.0,2221.0,2238.0,72.0
2012-03-12,2237.0,2268.0,2140.0,2233.0,218.0
2012-03-13,2240.0,2252.0,2240.0,2252.0,98.0
2012-03-14,2248.0,2248.0,2233.0,2233.0,98.0
2012-03-15,2233.0,2240.0,2226.0,2240.0,80.0
2012-03-16,2249.0,2250.0,2244.0,2249.0,76.0
2012-03-19,2260.0,2296.0,2248.0,2264.0,228.0
2012-03-20,2257.0,2258.0,2250.0,2253.0,56.0
2012-03-21,2258.0,2258.0,2258.0,2258.0,6.0
