,open,high,low,close,volume
2009-04-20,2050.0,2071.0,2030.0,2038.0,65970.0
2009-04-21,2028.0,2068.0,2011.0,2045.0,129300.0
2009-04-22,2051.0,2058.0,2035.0,2043.0,42174.0
2009-04-23,2045.0,2053.0,2038.0,2049.0,22176.0
2009-04-24,2048.0,2048.0,2038.0,2042.0,10992.0
2009-04-27,2040.0,2040.0,2020.0,2034.0,14394.0
2009-04-28,2035.0,2036.0,2025.0,2033.0,6874.0
2009-04-29,2034.0,2035.0,2030.0,2033.0,3320.0
2009-04-30,2035.0,2038.0,2032.0,2038.0,7332.0
2009-05-04,2045.0,2049.0,2040.0,2048.0,11322.0
2009-05-05,2049.0,2050.0,2037.0,2037.0,9674.0
2009-05-06,2038.0,2039.0,2032.0,2035.0,5188.0
2009-05-07,2037.0,2044.0,2035.0,2040.0,6798.0
2009-05-08,2040.0,2042.0,2032.0,2040.0,4940.0
2009-05-11,2040.0,2040.0,2035.0,2038.0,2294.0
2009-05-12,2038.0,2041.0,2033.0,2041.0,12514.0
2009-05-13,2041.0,2042.0,2035.0,2037.0,7372.0
2009-05-14,2035.0,2040.0,2035.0,2039.0,4942.0
2009-05-15,2039.0,2041.0,2036.0,2038.0,6306.0
2009-05-18,2035.0,2040.0,2034.0,2038.0,8350.0
2009-05-19,2040.0,2040.0,2036.0,2039.0,1890.0
2009-05-20,2038.0,2040.0,2036.0,2037.0,3740.0
2009-05-21,2036.0,2038.0,2035.0,2036.0,2714.0
2009-05-22,2035.0,2037.0,2034.0,2036.0,1254.0
2009-05-25,2036.0,2038.0,2033.0,2036.0,4782.0
2009-05-26,2035.0,2035.0,2030.0,2031.0,1802.0
2009-05-27,2033.0,2033.0,2025.0,2027.0,1642.0
2009-06-01,2028.0,2032.0,2027.0,2029.0,3654.0
2009-06-02,2032.0,2034.0,2028.0,2032.0,6308.0
2009-06-03,2030.0,2033.0,2028.0,2031.0,3020.0
2009-06-04,2029.0,2031.0,2028.0,2030.0,1396.0
2009-06-05,2031.0,2033.0,2029.0,2030.0,8052.0
2009-06-08,2029.0,2033.0,2027.0,2031.0,3528.0
2009-06-09,2033.0,2091.0,2031.0,2075.0,48634.0
2009-06-10,2085.0,2098.0,2065.0,2071.0,17188.0
2009-06-11,2071.0,2079.0,2054.0,2059.0,13522.0
2009-06-12,2066.0,2066.0,2050.0,2053.0,7608.0
2009-06-15,2048.0,2063.0,2048.0,2055.0,10854.0
2009-06-16,2049.0,2055.0,2046.0,2048.0,5868.0
2009-06-17,2045.0,2055.0,2045.0,2052.0,8228.0
2009-06-18,2055.0,2065.0,2050.0,2055.0,9882.0
2009-06-19,2052.0,2061.0,2052.0,2056.0,5136.0
2009-06-22,2055.0,2056.0,2046.0,2048.0,6582.0
2009-06-23,2048.0,2048.0,2041.0,2045.0,5466.0
2009-06-24,2047.0,2064.0,2047.0,2063.0,12342.0
2009-06-25,2062.0,2062.0,2055.0,2056.0,4652.0
2009-06-26,2057.0,2070.0,2055.0,2069.0,10952.0
2009-06-29,2069.0,2075.0,2060.0,2062.0,6158.0
2009-06-30,2064.0,2072.0,2063.0,2066.0,5288.0
2009-07-01,2065.0,2085.0,2064.0,2079.0,14904.0
2009-07-02,2076.0,2085.0,2067.0,2067.0,6092.0
2009-07-03,2068.0,2072.0,2062.0,2067.0,4348.0
2009-07-06,2073.0,2085.0,2066.0,2069.0,5210.0
2009-07-07,2072.0,2075.0,2068.0,2070.0,2206.0
2009-07-08,2065.0,2067.0,2054.0,2055.0,6116.0
2009-07-09,2056.0,2061.0,2051.0,2053.0,3794.0
2009-07-10,2055.0,2057.0,2052.0,2054.0,3030.0
2009-07-13,2060.0,2061.0,2047.0,2047.0,3216.0
2009-07-14,2051.0,2055.0,2046.0,2053.0,2870.0
2009-07-15,2052.0,2054.0,2048.0,2051.0,4090.0
2009-07-16,2052.0,2054.0,2030.0,2039.0,5498.0
2009-07-17,2035.0,2038.0,2030.0,2036.0,3402.0
2009-07-20,2038.0,2040.0,2035.0,2040.0,3376.0
2009-07-21,2039.0,2040.0,2033.0,2034.0,2716.0
2009-07-22,2034.0,2034.0,2024.0,2028.0,5306.0
2009-07-23,2030.0,2040.0,2026.0,2040.0,4072.0
2009-07-24,2042.0,2044.0,2028.0,2033.0,2506.0
2009-07-27,2036.0,2036.0,2025.0,2028.0,3798.0
2009-07-28,2030.0,2033.0,2027.0,2030.0,2196.0
2009-07-29,2029.0,2034.0,2025.0,2032.0,3412.0
2009-07-30,2032.0,2036.0,2029.0,2035.0,2290.0
2009-07-31,2035.0,2040.0,2033.0,2037.0,5642.0
2009-08-03,2040.0,2055.0,2034.0,2049.0,9240.0
2009-08-04,2045.0,2049.0,2032.0,2035.0,3606.0
2009-08-05,2036.0,2038.0,2008.0,2012.0,6044.0
2009-08-06,2005.0,2012.0,2000.0,2003.0,4476.0
2009-08-07,2005.0,2005.0,1965.0,1967.0,3696.0
2009-08-10,2065.0,2082.0,2065.0,2080.0,11138.0
2009-08-11,2076.0,2084.0,2045.0,2075.0,11602.0
2009-08-12,2070.0,2085.0,2070.0,2075.0,10886.0
2009-08-13,2078.0,2119.0,2073.0,2110.0,37332.0
2009-08-14,2110.0,2140.0,2100.0,2120.0,65182.0
2009-08-17,2106.0,2154.0,2096.0,2124.0,95566.0
2009-08-18,2131.0,2140.0,2109.0,2115.0,38908.0
2009-08-19,2117.0,2120.0,2069.0,2077.0,38618.0
2009-08-20,2082.0,2084.0,2056.0,2075.0,23818.0
2009-08-21,2072.0,2082.0,2066.0,2072.0,22142.0
2009-08-24,2081.0,2114.0,2077.0,2099.0,56448.0
2009-08-25,2101.0,2109.0,2091.0,2098.0,33582.0
2009-08-26,2096.0,2102.0,2091.0,2093.0,16162.0
2009-08-27,2092.0,2098.0,2084.0,2092.0,22210.0
2009-08-28,2096.0,2108.0,2091.0,2096.0,34264.0
2009-08-31,2100.0,2134.0,2087.0,2129.0,152268.0
2009-09-01,2125.0,2139.0,2107.0,2112.0,85488.0
2009-09-02,2100.0,2106.0,2080.0,2084.0,45438.0
2009-09-03,2087.0,2092.0,2082.0,2089.0,17532.0
2009-09-04,2086.0,2088.0,2064.0,2079.0,31938.0
2009-09-07,2077.0,2090.0,2073.0,2084.0,20126.0
2009-09-08,2082.0,2084.0,2069.0,2077.0,15278.0
2009-09-09,2080.0,2088.0,2070.0,2075.0,22426.0
2009-09-10,2078.0,2080.0,2071.0,2076.0,13566.0
2009-09-11,2077.0,2078.0,2068.0,2068.0,15400.0
2009-09-14,2060.0,2073.0,2049.0,2068.0,18384.0
2009-09-15,2067.0,2074.0,2064.0,2070.0,10276.0
2009-09-16,2080.0,2082.0,2067.0,2068.0,12202.0
2009-09-17,2064.0,2071.0,2062.0,2070.0,12488.0
2009-09-18,2066.0,2072.0,2063.0,2064.0,8672.0
2009-09-21,2061.0,2066.0,2057.0,2059.0,8020.0
2009-09-22,2057.0,2060.0,2051.0,2055.0,8920.0
2009-09-23,2058.0,2058.0,2042.0,2045.0,12800.0
2009-09-24,2045.0,2045.0,2020.0,2024.0,19984.0
2009-09-25,2024.0,2028.0,2005.0,2008.0,23082.0
2009-09-28,2010.0,2010.0,1987.0,1992.0,19878.0
2009-09-29,1992.0,1999.0,1986.0,1994.0,14596.0
2009-09-30,1991.0,1995.0,1985.0,1992.0,12302.0
2009-10-09,2008.0,2008.0,1991.0,1992.0,8804.0
2009-10-12,1994.0,2011.0,1993.0,2007.0,22428.0
2009-10-13,2009.0,2019.0,2007.0,2017.0,20454.0
2009-10-14,2019.0,2019.0,2007.0,2012.0,12282.0
2009-10-15,2011.0,2016.0,2006.0,2011.0,18002.0
2009-10-16,2012.0,2015.0,2008.0,2014.0,8364.0
2009-10-19,2015.0,2023.0,2014.0,2021.0,18066.0
2009-10-20,2024.0,2024.0,2012.0,2015.0,12560.0
2009-10-21,2014.0,2018.0,2006.0,2010.0,7254.0
2009-10-22,2013.0,2014.0,2007.0,2010.0,7990.0
2009-10-23,2011.0,2015.0,2006.0,2012.0,9786.0
2009-10-26,2011.0,2015.0,2011.0,2013.0,4710.0
2009-10-27,2009.0,2011.0,2002.0,2002.0,7340.0
2009-10-28,2001.0,2006.0,1994.0,1995.0,11060.0
2009-10-29,1995.0,2005.0,1992.0,2002.0,13836.0
2009-10-30,2005.0,2006.0,1997.0,2000.0,6004.0
2009-11-02,1996.0,2005.0,1995.0,2005.0,8494.0
2009-11-03,2008.0,2011.0,2002.0,2005.0,5804.0
2009-11-04,2007.0,2010.0,1998.0,2000.0,5226.0
