,open,high,low,close,volume
2012-12-28,5320.0,5320.0,5155.0,5269.0,124086.0
2012-12-31,5274.0,5386.0,5233.0,5273.0,145038.0
2013-01-04,5273.0,5357.0,5256.0,5346.0,83848.0
2013-01-07,5333.0,5530.0,5333.0,5440.0,205756.0
2013-01-08,5460.0,5465.0,5380.0,5413.0,96738.0
2013-01-09,5422.0,5497.0,5422.0,5440.0,100380.0
2013-01-10,5460.0,5478.0,5425.0,5447.0,54266.0
2013-01-11,5460.0,5520.0,5426.0,5432.0,91932.0
2013-01-14,5447.0,5485.0,5404.0,5465.0,76848.0
2013-01-15,5483.0,5551.0,5427.0,5432.0,142592.0
2013-01-16,5431.0,5465.0,5411.0,5444.0,62770.0
2013-01-17,5462.0,5465.0,5410.0,5417.0,41752.0
2013-01-18,5424.0,5478.0,5420.0,5434.0,64614.0
2013-01-21,5444.0,5465.0,5416.0,5430.0,41540.0
2013-01-22,5423.0,5443.0,5405.0,5428.0,22418.0
2013-01-23,5440.0,5510.0,5417.0,5470.0,181816.0
2013-01-24,5470.0,5479.0,5318.0,5351.0,152728.0
2013-01-25,5368.0,5388.0,5348.0,5380.0,66802.0
2013-01-28,5385.0,5412.0,5366.0,5388.0,25804.0
2013-01-29,5382.0,5396.0,5356.0,5381.0,18820.0
2013-01-30,5384.0,5418.0,5369.0,5405.0,18566.0
2013-01-31,5427.0,5427.0,5401.0,5426.0,10950.0
2013-02-01,5426.0,5439.0,5390.0,5418.0,17856.0
2013-02-04,5420.0,5470.0,5416.0,5434.0,18392.0
2013-02-05,5431.0,5457.0,5407.0,5413.0,19468.0
2013-02-06,5421.0,5427.0,5401.0,5402.0,9298.0
2013-02-07,5404.0,5444.0,5383.0,5396.0,17536.0
2013-02-08,5399.0,5419.0,5393.0,5402.0,5814.0
2013-02-18,5360.0,5399.0,5360.0,5383.0,4656.0
2013-02-19,5411.0,5471.0,5407.0,5424.0,27170.0
2013-02-20,5447.0,5450.0,5416.0,5424.0,17728.0
2013-02-21,5420.0,5462.0,5380.0,5421.0,48002.0
2013-02-22,5430.0,5518.0,5387.0,5441.0,89008.0
2013-02-25,5391.0,5417.0,5260.0,5379.0,46098.0
2013-02-26,5370.0,5398.0,5356.0,5364.0,19106.0
2013-02-27,5380.0,5387.0,5286.0,5330.0,55880.0
2013-02-28,5350.0,5354.0,5295.0,5305.0,24122.0
2013-03-01,5310.0,5317.0,5284.0,5302.0,17324.0
2013-03-04,5300.0,5319.0,5288.0,5310.0,13834.0
2013-03-05,5315.0,5348.0,5305.0,5309.0,10230.0
2013-03-06,5306.0,5317.0,5286.0,5292.0,11356.0
2013-03-07,5295.0,5300.0,5270.0,5274.0,10856.0
2013-03-08,5280.0,5335.0,5276.0,5306.0,26302.0
2013-03-11,5315.0,5315.0,5280.0,5280.0,8102.0
2013-03-12,5272.0,5318.0,5272.0,5308.0,14704.0
2013-03-13,5310.0,5325.0,5268.0,5293.0,19954.0
2013-03-14,5290.0,5311.0,5275.0,5306.0,9462.0
2013-03-15,5317.0,5320.0,5299.0,5301.0,9318.0
2013-03-18,5291.0,5306.0,5276.0,5292.0,7934.0
2013-03-19,5299.0,5299.0,5284.0,5286.0,2280.0
2013-03-20,5282.0,5292.0,5282.0,5290.0,3456.0
2013-03-21,5297.0,5315.0,5292.0,5304.0,7610.0
2013-03-22,5306.0,5308.0,5281.0,5285.0,4862.0
