,open,high,low,close,volume
2000-01-04,9470.0,9490.0,9465.0,9490.0,466.0
2000-01-05,9465.0,9600.0,9465.0,9530.0,574.0
2000-01-06,9540.0,9565.0,9505.0,9560.0,296.0
2000-01-07,9485.0,9665.0,9485.0,9635.0,996.0
2000-01-10,,,,9635.0,
2000-01-11,9610.0,9750.0,9600.0,9670.0,1454.0
2000-01-12,9680.0,9715.0,9670.0,9680.0,910.0
2000-01-13,9675.0,9810.0,9675.0,9800.0,1350.0
2000-01-14,9800.0,9905.0,9790.0,9875.0,1626.0
2000-01-17,9875.0,9940.0,9795.0,9830.0,1262.0
2000-01-18,9830.0,9855.0,9800.0,9805.0,910.0
2000-01-19,9790.0,10030.0,9790.0,9980.0,1960.0
2000-01-20,9990.0,10020.0,9910.0,9970.0,988.0
2000-01-21,9985.0,9995.0,9930.0,9950.0,596.0
2000-01-24,9925.0,9930.0,9715.0,9760.0,2388.0
2000-01-25,9750.0,9785.0,9630.0,9645.0,1420.0
2000-01-26,9605.0,9675.0,9570.0,9635.0,1142.0
2000-01-27,9605.0,9740.0,9605.0,9725.0,790.0
2000-01-28,9735.0,9790.0,9715.0,9740.0,598.0
2000-01-31,9725.0,9780.0,9620.0,9775.0,556.0
2000-02-01,9780.0,9870.0,9775.0,9865.0,816.0
2000-02-02,9810.0,9820.0,9715.0,9715.0,1148.0
2000-02-14,9700.0,10010.0,9700.0,10000.0,1000.0
2000-02-15,9990.0,9995.0,9920.0,9950.0,578.0
2000-02-16,9905.0,9935.0,9830.0,9840.0,1624.0
2000-02-17,9820.0,9920.0,9760.0,9875.0,740.0
2000-02-18,9860.0,9920.0,9850.0,9855.0,350.0
2000-02-21,9850.0,9865.0,9815.0,9860.0,270.0
2000-02-22,9850.0,9880.0,9760.0,9790.0,422.0
2000-02-23,9785.0,9840.0,9735.0,9780.0,520.0
2000-02-24,9800.0,9900.0,9780.0,9810.0,564.0
2000-02-25,9840.0,9840.0,9670.0,9700.0,2972.0
2000-02-28,9700.0,9795.0,9700.0,9755.0,346.0
2000-02-29,9760.0,9760.0,9450.0,9555.0,1544.0
2000-03-01,9530.0,9645.0,9530.0,9600.0,764.0
2000-03-02,9610.0,9640.0,9600.0,9625.0,432.0
2000-03-03,9635.0,9635.0,9590.0,9600.0,204.0
2000-03-06,9550.0,9570.0,9500.0,9545.0,404.0
2000-03-07,9550.0,9600.0,9530.0,9600.0,176.0
2000-03-08,9550.0,9660.0,9550.0,9630.0,332.0
2000-03-09,9660.0,9660.0,9580.0,9600.0,198.0
