,open,high,low,close,volume
2014-08-08,6560.0,6694.0,6464.0,6482.0,119644.0
2014-08-11,6444.0,6518.0,6414.0,6450.0,84570.0
2014-08-12,6422.0,6500.0,6404.0,6414.0,93996.0
2014-08-13,6410.0,6456.0,6388.0,6424.0,43002.0
2014-08-14,6416.0,6466.0,6352.0,6396.0,84352.0
2014-08-15,6400.0,6426.0,6386.0,6412.0,28828.0
2014-08-18,6418.0,6478.0,6398.0,6404.0,38498.0
2014-08-19,6394.0,6408.0,6364.0,6386.0,22378.0
2014-08-20,6376.0,6410.0,6354.0,6386.0,14756.0
2014-08-21,6398.0,6406.0,6360.0,6370.0,6248.0
2014-08-22,6366.0,6398.0,6366.0,6392.0,12830.0
2014-08-25,6396.0,6448.0,6380.0,6436.0,24326.0
2014-08-26,6426.0,6446.0,6412.0,6442.0,7344.0
2014-08-27,6484.0,6484.0,6398.0,6398.0,10064.0
2014-08-28,6392.0,6410.0,6366.0,6378.0,8966.0
2014-08-29,6374.0,6392.0,6366.0,6372.0,3956.0
2014-09-01,6370.0,6388.0,6368.0,6378.0,5250.0
2014-09-02,6368.0,6368.0,6306.0,6344.0,5886.0
2014-09-03,6326.0,6352.0,6324.0,6340.0,4738.0
2014-09-04,6340.0,6360.0,6318.0,6342.0,3934.0
2014-09-05,6328.0,6352.0,6328.0,6330.0,2184.0
2014-09-09,6324.0,6326.0,6268.0,6298.0,6712.0
2014-09-10,6282.0,6310.0,6156.0,6300.0,4424.0
2014-09-11,6300.0,6300.0,6264.0,6264.0,1676.0
2014-09-12,6270.0,6288.0,6250.0,6288.0,1308.0
2014-09-15,6260.0,6346.0,6260.0,6346.0,2590.0
2014-09-16,6348.0,6350.0,6300.0,6300.0,1312.0
2014-09-17,6310.0,6324.0,6290.0,6292.0,778.0
2014-09-18,6298.0,6298.0,6246.0,6252.0,2004.0
2014-09-19,6248.0,6248.0,6112.0,6126.0,2160.0
2014-09-22,6064.0,6090.0,6000.0,6030.0,5342.0
2014-09-23,6020.0,6130.0,6020.0,6042.0,1130.0
2014-09-24,6042.0,6108.0,6030.0,6100.0,1252.0
2014-09-25,6100.0,6138.0,5982.0,6016.0,4178.0
2014-09-26,5996.0,6060.0,5940.0,6048.0,1972.0
2014-09-29,6088.0,6088.0,6016.0,6070.0,1066.0
2014-09-30,6122.0,6128.0,6056.0,6088.0,470.0
2014-10-08,6130.0,6180.0,6078.0,6086.0,606.0
2014-10-09,6080.0,6178.0,6080.0,6170.0,1686.0
2014-10-10,6152.0,6170.0,6122.0,6144.0,916.0
2014-10-13,6170.0,6320.0,6150.0,6244.0,2854.0
2014-10-14,6288.0,6288.0,6170.0,6202.0,1098.0
2014-10-15,6202.0,6214.0,6158.0,6176.0,968.0
2014-10-16,6150.0,6186.0,6118.0,6160.0,938.0
2014-10-17,6184.0,6314.0,6180.0,6216.0,1656.0
2014-10-20,6162.0,6222.0,6162.0,6182.0,1016.0
2014-10-21,6170.0,6204.0,6170.0,6194.0,498.0
2014-10-22,6170.0,6212.0,6140.0,6140.0,1006.0
2014-10-23,6122.0,6198.0,6120.0,6196.0,730.0
2014-10-24,6248.0,6248.0,6184.0,6214.0,962.0
2014-10-27,6212.0,6226.0,6184.0,6196.0,506.0
2014-10-28,6208.0,6216.0,6188.0,6200.0,390.0
2014-10-29,6214.0,6222.0,6188.0,6206.0,480.0
2014-10-30,6216.0,6220.0,6180.0,6180.0,600.0
2014-10-31,6196.0,6198.0,6126.0,6150.0,582.0
2014-11-03,6074.0,6182.0,6074.0,6180.0,1398.0
2014-11-04,6150.0,6248.0,6150.0,6196.0,1530.0
2014-11-05,6226.0,6226.0,6172.0,6172.0,680.0
2014-11-06,6172.0,6218.0,6158.0,6204.0,452.0
2014-11-07,6226.0,6230.0,6190.0,6208.0,284.0
2014-11-10,6210.0,6220.0,6132.0,6188.0,534.0
2014-11-11,6200.0,6202.0,6170.0,6192.0,202.0
2014-11-12,6204.0,6222.0,6190.0,6208.0,614.0
2014-11-13,6202.0,6214.0,6172.0,6206.0,360.0
2014-11-14,6212.0,6212.0,6182.0,6206.0,198.0
2014-11-17,6196.0,6208.0,6188.0,6194.0,80.0
2014-11-18,6186.0,6200.0,6184.0,6188.0,524.0
2014-11-19,6198.0,6216.0,6188.0,6216.0,1134.0
2014-11-20,6210.0,6220.0,6188.0,6200.0,2976.0
2014-11-21,6210.0,6210.0,6192.0,6196.0,2314.0
2014-11-24,6210.0,6212.0,6182.0,6184.0,2100.0
2014-11-25,6170.0,6200.0,6170.0,6200.0,270.0
2014-11-26,6230.0,6230.0,6196.0,6208.0,360.0
2014-11-27,6190.0,6248.0,6156.0,6230.0,932.0
2014-11-28,6200.0,6220.0,6162.0,6192.0,1060.0
2014-12-01,6092.0,6218.0,6088.0,6188.0,1224.0
2014-12-02,6170.0,6210.0,6170.0,6192.0,394.0
2014-12-03,6160.0,6188.0,6156.0,6168.0,2932.0
2014-12-04,6150.0,6210.0,6148.0,6180.0,1808.0
2014-12-05,6170.0,6180.0,6152.0,6160.0,464.0
2014-12-08,6160.0,6182.0,6146.0,6146.0,338.0
2014-12-09,6154.0,6188.0,6122.0,6164.0,250.0
