,open,high,low,close,volume
2006-01-06,4700.0,4800.0,4650.0,4741.0,21572.0
2006-01-09,4739.0,4756.0,4703.0,4720.0,5686.0
2006-01-10,4687.0,4750.0,4650.0,4745.0,7306.0
2006-01-11,4750.0,4755.0,4689.0,4710.0,10420.0
2006-01-12,4700.0,4705.0,4664.0,4668.0,7120.0
2006-01-13,4665.0,4678.0,4628.0,4632.0,6104.0
2006-01-16,4707.0,4834.0,4694.0,4833.0,25198.0
2006-01-17,4833.0,4873.0,4822.0,4847.0,27966.0
2006-01-18,4884.0,5018.0,4861.0,4990.0,50598.0
2006-01-19,5000.0,5100.0,4982.0,5025.0,63804.0
2006-01-20,5112.0,5204.0,5110.0,5201.0,52894.0
2006-01-23,5356.0,5356.0,5356.0,5356.0,810.0
2006-01-24,5490.0,5678.0,5450.0,5678.0,60356.0
2006-01-25,5670.0,5811.0,5586.0,5712.0,66760.0
2006-01-26,5741.0,5937.0,5680.0,5934.0,79242.0
2006-01-27,6048.0,6048.0,5950.0,6030.0,55206.0
2006-02-06,6246.0,6246.0,6220.0,6246.0,11592.0
2006-02-07,6110.0,6110.0,5995.0,5995.0,5760.0
2006-02-08,5669.0,5669.0,5669.0,5669.0,1246.0
2006-02-09,5625.0,5880.0,5500.0,5650.0,71618.0
2006-02-10,5468.0,5585.0,5468.0,5468.0,44930.0
2006-02-13,5380.0,5428.0,5275.0,5308.0,73322.0
2006-02-14,5370.0,5445.0,5357.0,5433.0,56860.0
2006-02-15,5420.0,5470.0,5386.0,5401.0,49602.0
2006-02-16,5390.0,5433.0,5353.0,5364.0,39906.0
2006-02-17,5300.0,5339.0,5184.0,5280.0,27488.0
2006-02-20,5280.0,5354.0,5256.0,5338.0,16214.0
2006-02-21,5631.0,5710.0,5535.0,5701.0,44782.0
2006-02-22,5700.0,5813.0,5666.0,5767.0,96272.0
2006-02-23,5850.0,5880.0,5666.0,5680.0,106372.0
2006-02-24,5549.0,5630.0,5549.0,5550.0,68856.0
2006-02-27,5595.0,5595.0,5430.0,5431.0,73610.0
2006-02-28,5293.0,5332.0,5293.0,5293.0,37680.0
2006-03-01,5350.0,5389.0,5140.0,5150.0,100676.0
2006-03-02,5130.0,5293.0,5125.0,5276.0,107750.0
2006-03-03,5281.0,5335.0,5255.0,5330.0,110584.0
2006-03-06,5349.0,5386.0,5281.0,5322.0,105108.0
2006-03-07,5374.0,5397.0,5212.0,5229.0,143748.0
2006-03-08,5200.0,5216.0,5100.0,5117.0,118248.0
2006-03-09,5052.0,5168.0,5023.0,5151.0,136790.0
2006-03-10,5100.0,5158.0,5060.0,5106.0,153960.0
2006-03-13,5148.0,5148.0,5090.0,5109.0,86158.0
2006-03-14,5132.0,5137.0,5052.0,5063.0,79334.0
2006-03-15,5048.0,5097.0,5037.0,5055.0,95048.0
2006-03-16,5070.0,5147.0,5050.0,5143.0,133418.0
2006-03-17,5128.0,5235.0,5104.0,5219.0,143092.0
2006-03-20,5190.0,5250.0,5056.0,5081.0,187560.0
2006-03-21,5100.0,5142.0,5053.0,5110.0,161424.0
2006-03-22,5158.0,5229.0,5155.0,5210.0,162930.0
2006-03-23,5169.0,5179.0,5120.0,5146.0,99436.0
2006-03-24,5162.0,5198.0,5158.0,5174.0,58858.0
2006-03-27,5221.0,5238.0,5165.0,5175.0,41246.0
2006-03-28,5201.0,5217.0,5103.0,5122.0,41522.0
2006-03-29,5166.0,5185.0,5117.0,5124.0,36212.0
2006-03-30,5110.0,5113.0,5048.0,5050.0,109910.0
2006-03-31,5060.0,5083.0,5026.0,5071.0,89438.0
2006-04-03,5027.0,5040.0,4890.0,4911.0,107400.0
2006-04-04,4950.0,4985.0,4922.0,4964.0,105990.0
2006-04-05,4912.0,4924.0,4779.0,4822.0,106424.0
2006-04-06,4828.0,4860.0,4798.0,4840.0,92794.0
2006-04-07,4830.0,4850.0,4805.0,4816.0,49364.0
2006-04-10,4718.0,4735.0,4637.0,4644.0,70596.0
2006-04-11,4620.0,4676.0,4618.0,4670.0,67610.0
2006-04-12,4668.0,4750.0,4653.0,4737.0,77592.0
2006-04-13,4698.0,4698.0,4574.0,4586.0,96110.0
2006-04-14,4555.0,4571.0,4511.0,4518.0,87460.0
2006-04-17,4495.0,4585.0,4428.0,4571.0,126578.0
2006-04-18,4615.0,4698.0,4568.0,4698.0,87742.0
2006-04-19,4897.0,4900.0,4820.0,4875.0,89788.0
2006-04-20,4811.0,4826.0,4755.0,4760.0,87964.0
2006-04-21,4660.0,4680.0,4595.0,4617.0,84764.0
2006-04-24,4672.0,4835.0,4672.0,4769.0,162164.0
2006-04-25,4667.0,4766.0,4650.0,4702.0,173134.0
2006-04-26,4650.0,4750.0,4632.0,4738.0,146258.0
2006-04-27,4749.0,4790.0,4730.0,4773.0,104794.0
2006-04-28,4757.0,4780.0,4733.0,4778.0,71906.0
2006-05-08,4808.0,4847.0,4750.0,4763.0,86242.0
2006-05-09,4735.0,4779.0,4730.0,4746.0,53534.0
2006-05-10,4800.0,4806.0,4750.0,4762.0,26654.0
2006-05-11,4830.0,5039.0,4822.0,5039.0,79124.0
2006-05-12,5090.0,5253.0,4950.0,5023.0,144872.0
2006-05-15,5040.0,5300.0,5040.0,5257.0,223626.0
2006-05-16,5000.0,5125.0,4960.0,4960.0,178426.0
2006-05-17,5030.0,5062.0,4880.0,4979.0,189474.0
2006-05-18,4900.0,4926.0,4830.0,4836.0,136346.0
2006-05-19,4686.0,4759.0,4680.0,4719.0,104826.0
2006-05-22,4740.0,4810.0,4722.0,4758.0,158756.0
2006-05-23,4800.0,4928.0,4800.0,4881.0,151990.0
2006-05-24,4988.0,5010.0,4900.0,4908.0,242500.0
2006-05-25,4828.0,4855.0,4764.0,4806.0,102456.0
2006-05-26,4830.0,4883.0,4827.0,4875.0,158692.0
2006-05-29,4781.0,4854.0,4759.0,4846.0,141476.0
2006-05-30,4852.0,4903.0,4780.0,4786.0,162300.0
2006-05-31,4814.0,4839.0,4775.0,4776.0,175416.0
2006-06-01,4640.0,4682.0,4612.0,4612.0,96884.0
2006-06-02,4586.0,4630.0,4511.0,4627.0,169216.0
2006-06-05,4675.0,4679.0,4609.0,4644.0,133800.0
2006-06-06,4650.0,4656.0,4559.0,4561.0,147256.0
2006-06-07,4521.0,4555.0,4480.0,4530.0,170980.0
2006-06-08,4580.0,4590.0,4515.0,4520.0,120672.0
