,open,high,low,close,volume
2006-12-18,8538.0,9032.0,8538.0,8880.0,44576.0
2006-12-19,8860.0,8958.0,8806.0,8906.0,49070.0
2006-12-20,8944.0,8970.0,8906.0,8958.0,25586.0
2006-12-21,8940.0,8948.0,8884.0,8912.0,19414.0
2006-12-22,8904.0,8928.0,8824.0,8924.0,9954.0
2006-12-25,8918.0,9140.0,8912.0,9098.0,34790.0
2006-12-26,9120.0,9166.0,9062.0,9158.0,37246.0
2006-12-27,9082.0,9126.0,9008.0,9016.0,35680.0
2006-12-28,9000.0,9006.0,8850.0,8856.0,31982.0
2006-12-29,8850.0,8934.0,8780.0,8898.0,32032.0
2007-01-04,8690.0,8772.0,8530.0,8734.0,34012.0
2007-01-05,8660.0,8804.0,8612.0,8782.0,39672.0
2007-01-08,8806.0,8838.0,8738.0,8746.0,36112.0
2007-01-09,8726.0,8820.0,8714.0,8776.0,31030.0
2007-01-10,8790.0,8814.0,8740.0,8744.0,30790.0
2007-01-11,8690.0,8782.0,8690.0,8730.0,22192.0
2007-01-12,8720.0,8752.0,8646.0,8670.0,18030.0
2007-01-15,8720.0,8770.0,8680.0,8696.0,15790.0
2007-01-16,8700.0,8740.0,8616.0,8626.0,18982.0
2007-01-17,8584.0,8636.0,8472.0,8490.0,24356.0
2007-01-18,8530.0,8530.0,8356.0,8376.0,31146.0
2007-01-19,8344.0,8382.0,8254.0,8340.0,46434.0
2007-01-22,8370.0,8386.0,8102.0,8130.0,60500.0
2007-01-23,8060.0,8186.0,8056.0,8162.0,59258.0
2007-01-24,8220.0,8312.0,8180.0,8254.0,54764.0
2007-01-25,8258.0,8292.0,8214.0,8260.0,34288.0
2007-01-26,8252.0,8290.0,8232.0,8282.0,20720.0
2007-01-29,8306.0,8336.0,8200.0,8214.0,30214.0
2007-01-30,8170.0,8216.0,8112.0,8184.0,29624.0
2007-01-31,8280.0,8314.0,8238.0,8272.0,28588.0
2007-02-01,8280.0,8318.0,8266.0,8300.0,25678.0
2007-02-02,8280.0,8350.0,8198.0,8202.0,40384.0
2007-02-05,8250.0,8268.0,8156.0,8188.0,33256.0
2007-02-06,8180.0,8248.0,8180.0,8230.0,23772.0
2007-02-07,8248.0,8298.0,8224.0,8284.0,26354.0
2007-02-08,8246.0,8294.0,8218.0,8262.0,27676.0
2007-02-09,8300.0,8380.0,8292.0,8318.0,42568.0
2007-02-12,8282.0,8354.0,8280.0,8348.0,26526.0
2007-02-13,8302.0,8410.0,8302.0,8394.0,23384.0
2007-02-14,8420.0,8460.0,8382.0,8446.0,45670.0
2007-02-15,8420.0,8446.0,8398.0,8422.0,20394.0
2007-02-16,8420.0,8440.0,8402.0,8438.0,8254.0
2007-02-26,8500.0,8550.0,8420.0,8432.0,27276.0
2007-02-27,8414.0,8444.0,8384.0,8416.0,14760.0
2007-02-28,8372.0,8432.0,8342.0,8422.0,12848.0
2007-03-01,8452.0,8484.0,8416.0,8480.0,15096.0
2007-03-02,8470.0,8540.0,8462.0,8536.0,20208.0
2007-03-05,8500.0,8530.0,8454.0,8478.0,14890.0
2007-03-06,8466.0,8498.0,8440.0,8498.0,8448.0
2007-03-07,8500.0,8530.0,8484.0,8504.0,9808.0
2007-03-08,8530.0,8530.0,8480.0,8498.0,9336.0
2007-03-09,8490.0,8500.0,8426.0,8450.0,9674.0
2007-03-12,8430.0,8450.0,8364.0,8386.0,17350.0
2007-03-13,8400.0,8424.0,8382.0,8394.0,10530.0
2007-03-14,8384.0,8398.0,8348.0,8380.0,9498.0
2007-03-15,8390.0,8410.0,8380.0,8380.0,6878.0
2007-03-16,8356.0,8386.0,8330.0,8384.0,8728.0
2007-03-19,8388.0,8414.0,8366.0,8380.0,8786.0
2007-03-20,8388.0,8388.0,8350.0,8366.0,7246.0
2007-03-21,8370.0,8388.0,8360.0,8364.0,7860.0
2007-03-22,8374.0,8402.0,8372.0,8384.0,10436.0
2007-03-23,8410.0,8438.0,8408.0,8418.0,13450.0
2007-03-26,8428.0,8428.0,8384.0,8388.0,6506.0
2007-03-27,8408.0,8408.0,8312.0,8322.0,10646.0
2007-03-28,8344.0,8382.0,8304.0,8366.0,13022.0
