,open,high,low,close,volume
2003-03-28,1739.0,1739.0,,1730.0,4462.0
2003-03-31,1728.0,1790.0,,1782.0,5806.0
2003-04-01,1785.0,1831.0,,1812.0,5886.0
2003-04-02,1812.0,1826.0,,1815.0,9200.0
2003-04-03,1799.0,1817.0,,1796.0,6306.0
2003-04-04,1797.0,1805.0,,1799.0,4842.0
2003-04-07,1804.0,1804.0,,1799.0,1710.0
2003-04-08,1799.0,1799.0,,1779.0,3346.0
2003-04-09,1773.0,1815.0,,1789.0,4520.0
2003-04-10,1790.0,1800.0,,1794.0,1132.0
2003-04-11,1792.0,1798.0,,1797.0,1274.0
2003-04-14,1801.0,1801.0,,1773.0,818.0
2003-04-15,1776.0,1790.0,,1785.0,1040.0
2003-04-16,1775.0,1788.0,,1786.0,1120.0
2003-04-17,1785.0,1805.0,,1798.0,1558.0
2003-04-18,1802.0,1806.0,,1793.0,1020.0
2003-04-21,1795.0,1797.0,,1778.0,1258.0
2003-04-22,1788.0,1788.0,,1784.0,1076.0
2003-04-23,1784.0,1784.0,,1773.0,1892.0
2003-04-24,1764.0,1784.0,,1780.0,2228.0
2003-04-25,1792.0,1792.0,,1786.0,660.0
2003-04-28,1780.0,1786.0,,1777.0,824.0
2003-04-29,1740.0,1772.0,,1766.0,1284.0
2003-04-30,1746.0,1767.0,,1761.0,1266.0
2003-05-12,1780.0,1789.0,,1762.0,2496.0
2003-05-13,1763.0,1768.0,,1763.0,1342.0
2003-05-14,1741.0,1764.0,,1758.0,1012.0
2003-05-15,1755.0,1755.0,,1728.0,1746.0
2003-05-16,1730.0,1735.0,,1720.0,846.0
2003-05-19,1725.0,1725.0,,1717.0,914.0
2003-05-20,1729.0,1729.0,,1705.0,1238.0
2003-05-21,1705.0,1715.0,,1712.0,1046.0
2003-05-22,1720.0,1735.0,,1720.0,844.0
2003-05-23,1708.0,1716.0,,1710.0,654.0
2003-05-26,1707.0,1717.0,,1717.0,862.0
2003-05-27,1712.0,1712.0,,1700.0,900.0
2003-05-28,1699.0,1700.0,,1694.0,2224.0
2003-05-29,1697.0,1697.0,,1667.0,198.0
2003-05-30,1660.0,1680.0,,1674.0,616.0
2003-06-02,1693.0,1693.0,,1670.0,286.0
2003-06-03,1673.0,1682.0,,1673.0,450.0
2003-06-04,1676.0,1676.0,,1656.0,676.0
2003-06-05,1650.0,1658.0,,1654.0,968.0
2003-06-06,1660.0,1663.0,,1659.0,296.0
2003-06-09,1656.0,1676.0,,1657.0,484.0
2003-06-10,1651.0,1662.0,,1661.0,366.0
2003-06-11,1680.0,1680.0,,1662.0,1432.0
2003-06-12,1658.0,1679.0,,1675.0,572.0
2003-06-13,1675.0,1675.0,,1665.0,408.0
2003-06-16,1653.0,1665.0,,1655.0,348.0
2003-06-17,1661.0,1665.0,,1662.0,788.0
2003-06-18,1663.0,1675.0,,1670.0,318.0
2003-06-19,1666.0,1666.0,,1660.0,300.0
2003-06-20,1653.0,1657.0,,1654.0,646.0
2003-06-23,1653.0,1657.0,,1655.0,410.0
2003-06-24,1643.0,1650.0,,1630.0,1142.0
2003-06-25,1606.0,1620.0,,1618.0,798.0
2003-06-26,1632.0,1632.0,,1616.0,390.0
2003-06-27,1607.0,1607.0,,1600.0,532.0
2003-06-30,1588.0,1599.0,,1596.0,1640.0
2003-07-01,1591.0,1593.0,,1592.0,16.0
2003-07-02,1623.0,1638.0,,1605.0,1202.0
2003-07-03,,,,,0.0
2003-07-04,1618.0,1625.0,,1620.0,42.0
2003-07-07,1591.0,1626.0,,1626.0,210.0
2003-07-08,,,,,0.0
2003-07-09,1628.0,1628.0,,1625.0,218.0
2003-07-10,1618.0,1649.0,,1649.0,104.0
2003-07-11,1640.0,1647.0,,1647.0,8.0
2003-07-14,1660.0,1660.0,,1639.0,6.0
2003-07-15,1650.0,1650.0,,1640.0,12.0
2003-07-16,1655.0,1655.0,,1643.0,204.0
2003-07-17,1642.0,1642.0,,1642.0,2.0
2003-07-18,1657.0,1663.0,,1648.0,26.0
2003-07-21,1652.0,1660.0,,1655.0,12.0
2003-07-22,1665.0,1674.0,,1668.0,666.0
2003-07-23,1666.0,1667.0,,1660.0,164.0
2003-07-24,1655.0,1669.0,,1655.0,212.0
2003-07-25,1668.0,1668.0,,1668.0,10.0
2003-07-28,1655.0,1686.0,,1676.0,432.0
2003-07-29,1679.0,1700.0,,1678.0,1134.0
2003-07-30,1680.0,1685.0,,1680.0,240.0
2003-07-31,1675.0,1700.0,,1700.0,594.0
2003-08-01,1705.0,1727.0,,1725.0,640.0
2003-08-04,1722.0,1755.0,,1745.0,2252.0
2003-08-05,1743.0,1747.0,,1726.0,2462.0
2003-08-06,1717.0,1731.0,,1721.0,342.0
2003-08-07,1725.0,1735.0,,1735.0,206.0
2003-08-08,1728.0,1735.0,,1732.0,180.0
2003-08-11,1677.0,1680.0,,1676.0,76.0
2003-08-12,1666.0,1666.0,,1666.0,12.0
2003-08-13,1665.0,1669.0,,1665.0,146.0
2003-08-14,1655.0,1665.0,,1665.0,24.0
2003-08-15,1653.0,1676.0,,1665.0,96.0
2003-08-18,1659.0,1673.0,,1663.0,16.0
2003-08-19,1680.0,1691.0,,1686.0,100.0
2003-08-20,1687.0,1690.0,,1683.0,76.0
2003-08-21,1683.0,1685.0,,1672.0,140.0
2003-08-22,1672.0,1686.0,,1681.0,80.0
2003-08-25,1676.0,1676.0,,1624.0,82.0
2003-08-26,1601.0,1630.0,,1620.0,458.0
2003-08-27,1619.0,1637.0,,1637.0,22.0
2003-08-28,1632.0,1638.0,,1627.0,28.0
2003-08-29,1627.0,1642.0,,1642.0,8.0
2003-09-01,,,,,0.0
2003-09-02,1645.0,1645.0,,1626.0,6.0
2003-09-03,1638.0,1640.0,,1640.0,88.0
2003-09-04,1678.0,1678.0,,1636.0,98.0
2003-09-05,1650.0,1650.0,,1608.0,288.0
2003-09-08,1611.0,1622.0,,1615.0,28.0
2003-09-09,1625.0,1630.0,,1620.0,12.0
2003-09-10,1621.0,1628.0,,1628.0,10.0
2003-09-11,1617.0,1630.0,,1625.0,438.0
2003-09-12,1626.0,1634.0,,1632.0,228.0
2003-09-15,1632.0,1655.0,,1654.0,180.0
2003-09-16,1648.0,1668.0,,1658.0,92.0
2003-09-17,1657.0,1657.0,,1657.0,8.0
2003-09-18,1670.0,1687.0,,1686.0,284.0
2003-09-19,1671.0,1675.0,,1662.0,52.0
2003-09-22,1655.0,1674.0,,1650.0,322.0
2003-09-23,1656.0,1675.0,,1652.0,180.0
2003-09-24,1611.0,1675.0,,1650.0,3090.0
2003-09-25,1638.0,1647.0,,1619.0,182.0
2003-09-26,1629.0,1629.0,,1620.0,58.0
2003-09-29,1618.0,1618.0,,1600.0,2206.0
2003-09-30,1613.0,1616.0,,1616.0,632.0
2003-10-08,1617.0,1661.0,,1658.0,822.0
2003-10-09,1657.0,1675.0,,1650.0,340.0
2003-10-10,1658.0,1663.0,,1658.0,210.0
2003-10-13,1665.0,1703.0,,1703.0,2124.0
2003-10-14,1705.0,1775.0,,1727.0,2806.0
2003-10-15,1728.0,1793.0,,1751.0,3694.0
2003-10-16,1765.0,1798.0,,1715.0,2956.0
2003-10-17,1696.0,1710.0,,1675.0,1104.0
2003-10-20,1612.0,1728.0,,1705.0,916.0
2003-10-21,1708.0,1723.0,,1702.0,590.0
2003-10-22,1706.0,1760.0,,1757.0,790.0
2003-10-23,1770.0,1787.0,,1690.0,7490.0
2003-10-24,1700.0,1760.0,,1688.0,4376.0
2003-10-27,1693.0,1765.0,,1765.0,1458.0
2003-10-28,1741.0,1780.0,,1770.0,2304.0
2003-10-29,1785.0,1809.0,,1809.0,3804.0
2003-10-30,1815.0,1841.0,,1832.0,5276.0
2003-10-31,1823.0,1869.0,,1848.0,5768.0
2003-11-03,1845.0,1869.0,,1860.0,3610.0
2003-11-04,1856.0,1856.0,,1824.0,3294.0
2003-11-05,1790.0,1830.0,,1802.0,5468.0
2003-11-06,1827.0,1827.0,,1806.0,1834.0
2003-11-07,1801.0,1801.0,,1771.0,2908.0
2003-11-10,1770.0,1808.0,,1804.0,1534.0
2003-11-11,1816.0,1838.0,,1833.0,2118.0
2003-11-12,1829.0,1852.0,,1825.0,3790.0
2003-11-13,1840.0,1853.0,,1850.0,2566.0
2003-11-14,1833.0,1860.0,,1843.0,1258.0
2003-11-17,1845.0,1880.0,,1873.0,8074.0
2003-11-18,1875.0,1875.0,,1855.0,3668.0
2003-11-19,1847.0,1856.0,,1807.0,3888.0
2003-11-20,1788.0,1795.0,,1777.0,4602.0
2003-11-21,1732.0,1820.0,,1783.0,2406.0
2003-11-24,1797.0,1808.0,,1801.0,520.0
2003-11-25,1840.0,1858.0,,1842.0,1644.0
2003-11-26,1846.0,1873.0,,1870.0,2430.0
2003-11-27,1873.0,1888.0,,1877.0,3294.0
2003-11-28,1890.0,1900.0,,1885.0,6004.0
2003-12-01,1900.0,1930.0,,1927.0,6730.0
2003-12-02,1929.0,1934.0,,1908.0,5422.0
2003-12-03,1914.0,1945.0,,1943.0,8010.0
2003-12-04,1951.0,1954.0,,1933.0,5554.0
2003-12-05,1934.0,1952.0,,1934.0,6070.0
2003-12-08,1926.0,1944.0,,1929.0,3482.0
2003-12-09,1939.0,1942.0,,1933.0,2092.0
2003-12-10,1938.0,1949.0,,1935.0,5180.0
2003-12-11,1928.0,1932.0,,1902.0,4754.0
2003-12-12,1888.0,1917.0,,1903.0,1928.0
2003-12-15,1915.0,1920.0,,1917.0,1132.0
