,open,high,low,close,volume
2009-03-27,3400.0,3500.0,3361.0,3398.0,105070.0
2009-03-30,3381.0,3437.0,3381.0,3417.0,46374.0
2009-03-31,3410.0,3425.0,3401.0,3419.0,15124.0
2009-04-01,3423.0,3423.0,3407.0,3409.0,6708.0
2009-04-02,3400.0,3413.0,3336.0,3351.0,29940.0
2009-04-03,3364.0,3364.0,3313.0,3323.0,22776.0
2009-04-07,3303.0,3370.0,3303.0,3355.0,29046.0
2009-04-08,3349.0,3359.0,3330.0,3335.0,12312.0
2009-04-09,3341.0,3358.0,3330.0,3343.0,8942.0
2009-04-10,3355.0,3360.0,3341.0,3353.0,11020.0
2009-04-13,3349.0,3378.0,3330.0,3353.0,11314.0
2009-04-14,3360.0,3450.0,3350.0,3425.0,30060.0
2009-04-15,3430.0,3445.0,3412.0,3430.0,16922.0
2009-04-16,3448.0,3498.0,3435.0,3479.0,19690.0
2009-04-17,3491.0,3522.0,3467.0,3502.0,30902.0
2009-04-20,3532.0,3532.0,3490.0,3501.0,20912.0
2009-04-21,3488.0,3488.0,3331.0,3422.0,24080.0
2009-04-22,3460.0,3460.0,3415.0,3427.0,12266.0
2009-04-23,3426.0,3435.0,3398.0,3416.0,9676.0
2009-04-24,3406.0,3425.0,3404.0,3406.0,6964.0
2009-04-27,3413.0,3426.0,3385.0,3401.0,7472.0
2009-04-28,3408.0,3416.0,3403.0,3407.0,4228.0
2009-04-29,3409.0,3432.0,3405.0,3429.0,5644.0
2009-04-30,3441.0,3459.0,3425.0,3447.0,15536.0
2009-05-04,3489.0,3598.0,3469.0,3543.0,35634.0
2009-05-05,3560.0,3560.0,3480.0,3487.0,13766.0
2009-05-06,3487.0,3507.0,3477.0,3505.0,7526.0
2009-05-07,3513.0,3550.0,3493.0,3496.0,12036.0
2009-05-08,3498.0,3515.0,3490.0,3514.0,7460.0
2009-05-11,3550.0,3560.0,3515.0,3537.0,19872.0
2009-05-12,3538.0,3555.0,3532.0,3545.0,8556.0
2009-05-13,3549.0,3554.0,3534.0,3538.0,6200.0
2009-05-14,3528.0,3528.0,3492.0,3505.0,9782.0
2009-05-15,3508.0,3525.0,3500.0,3507.0,4878.0
2009-05-18,3502.0,3525.0,3485.0,3514.0,5030.0
2009-05-19,3529.0,3530.0,3515.0,3524.0,3888.0
2009-05-20,3522.0,3541.0,3514.0,3521.0,4364.0
2009-05-21,3516.0,3539.0,3516.0,3523.0,3484.0
2009-05-22,3522.0,3528.0,3506.0,3515.0,2950.0
2009-05-25,3517.0,3530.0,3502.0,3511.0,3164.0
2009-05-26,3513.0,3520.0,3501.0,3505.0,3658.0
2009-05-27,3519.0,3519.0,3507.0,3512.0,1948.0
2009-06-01,3530.0,3554.0,3530.0,3547.0,7284.0
2009-06-02,3568.0,3581.0,3555.0,3563.0,8612.0
2009-06-03,3570.0,3583.0,3563.0,3580.0,4300.0
2009-06-04,3561.0,3645.0,3557.0,3626.0,26572.0
2009-06-05,3658.0,3690.0,3630.0,3674.0,20636.0
2009-06-08,3668.0,3694.0,3661.0,3690.0,13568.0
2009-06-09,3693.0,3729.0,3675.0,3685.0,8990.0
2009-06-10,3696.0,3715.0,3675.0,3709.0,9972.0
2009-06-11,3714.0,3826.0,3703.0,3768.0,20508.0
2009-06-12,3780.0,3828.0,3745.0,3765.0,38416.0
2009-06-15,3756.0,3789.0,3733.0,3755.0,16254.0
2009-06-16,3738.0,3788.0,3738.0,3782.0,17734.0
2009-06-17,3784.0,3788.0,3752.0,3766.0,10040.0
2009-06-18,3766.0,3774.0,3742.0,3752.0,6782.0
2009-06-19,3767.0,3832.0,3754.0,3807.0,15204.0
2009-06-22,3810.0,3838.0,3810.0,3825.0,19816.0
2009-06-23,3826.0,3826.0,3750.0,3791.0,21582.0
2009-06-24,3791.0,3809.0,3777.0,3788.0,7646.0
2009-06-25,3781.0,3800.0,3766.0,3781.0,5672.0
2009-06-26,3778.0,3798.0,3766.0,3774.0,7386.0
2009-06-29,3767.0,3771.0,3735.0,3738.0,10158.0
2009-06-30,3739.0,3758.0,3732.0,3738.0,4896.0
2009-07-01,3747.0,3762.0,3736.0,3759.0,6306.0
2009-07-02,3769.0,3802.0,3769.0,3795.0,8214.0
2009-07-03,3800.0,3805.0,3782.0,3784.0,5668.0
2009-07-06,3789.0,3798.0,3778.0,3788.0,2544.0
2009-07-07,3788.0,3798.0,3785.0,3788.0,2440.0
2009-07-08,3788.0,3796.0,3765.0,3771.0,4848.0
2009-07-09,3780.0,3792.0,3766.0,3790.0,2480.0
2009-07-10,3795.0,3810.0,3790.0,3798.0,4460.0
2009-07-13,3805.0,3825.0,3805.0,3812.0,4110.0
2009-07-14,3840.0,3840.0,3815.0,3822.0,3892.0
2009-07-15,3820.0,3875.0,3820.0,3875.0,7890.0
2009-07-16,3898.0,3920.0,3870.0,3897.0,5550.0
2009-07-17,3897.0,3899.0,3876.0,3881.0,3050.0
2009-07-20,3890.0,3899.0,3885.0,3898.0,3322.0
2009-07-21,3900.0,3919.0,3900.0,3914.0,2538.0
2009-07-22,3930.0,3955.0,3910.0,3949.0,5590.0
2009-07-23,3978.0,3998.0,3941.0,3990.0,2984.0
2009-07-24,3999.0,4069.0,3983.0,4050.0,4632.0
2009-07-27,4080.0,4121.0,4065.0,4110.0,3692.0
2009-07-28,4111.0,4206.0,4100.0,4191.0,4314.0
2009-07-29,4190.0,4275.0,4190.0,4256.0,11596.0
2009-07-30,4253.0,4350.0,4248.0,4325.0,6332.0
2009-07-31,4378.0,4503.0,4348.0,4503.0,10208.0
2009-08-03,4647.0,4736.0,4647.0,4736.0,9432.0
2009-08-04,4799.0,4858.0,4701.0,4705.0,11152.0
2009-08-05,4710.0,4798.0,4693.0,4744.0,9816.0
2009-08-06,4742.0,4764.0,4696.0,4736.0,5148.0
2009-08-07,4710.0,4739.0,4543.0,4565.0,7116.0
2009-08-10,4565.0,4630.0,4480.0,4533.0,7440.0
2009-08-11,4568.0,4570.0,4467.0,4542.0,4198.0
2009-08-12,4540.0,4550.0,4454.0,4454.0,3996.0
2009-08-13,4445.0,4519.0,4423.0,4446.0,3396.0
2009-08-14,4473.0,4490.0,4279.0,4307.0,12356.0
2009-08-17,4307.0,4356.0,4150.0,4220.0,12142.0
2009-08-18,4220.0,4276.0,4203.0,4226.0,10036.0
2009-08-19,4249.0,4249.0,4027.0,4027.0,17866.0
2009-08-20,4038.0,4120.0,3950.0,4103.0,29040.0
