,open,high,low,close,volume
2013-09-26,525.4,535.2,523.8,534.4,308648.0
2013-09-27,535.8,550.6,533.2,546.6,430296.0
2013-09-30,545.0,555.8,542.2,555.0,240056.0
2013-10-08,555.0,555.0,538.4,547.4,183128.0
2013-10-09,546.4,549.6,541.6,547.0,190138.0
2013-10-10,545.6,552.0,545.6,547.4,170136.0
2013-10-11,549.2,550.8,546.8,547.2,89008.0
2013-10-14,548.0,561.2,547.2,560.0,286206.0
2013-10-15,561.0,567.0,559.2,563.4,255142.0
2013-10-16,563.2,565.8,560.0,563.8,182074.0
2013-10-17,565.0,567.8,558.8,561.8,278130.0
2013-10-18,562.0,563.2,557.4,562.4,143288.0
2013-10-21,563.0,564.2,558.0,559.0,129934.0
2013-10-22,558.2,560.8,555.6,560.2,131106.0
2013-10-23,561.0,564.4,558.2,559.8,151240.0
2013-10-24,560.2,560.4,552.2,553.2,117076.0
2013-10-25,554.0,556.4,552.8,555.6,88500.0
2013-10-28,556.4,560.2,554.8,558.2,106070.0
2013-10-29,557.8,559.4,555.8,558.6,68364.0
2013-10-30,559.0,562.0,554.4,556.8,126806.0
2013-10-31,555.4,558.0,554.6,555.2,59574.0
2013-11-01,553.0,559.2,553.0,559.0,50654.0
2013-11-04,559.0,560.8,556.6,557.4,50894.0
2013-11-05,556.8,557.6,554.0,554.0,33930.0
2013-11-06,554.0,555.2,550.8,550.8,35250.0
2013-11-07,551.2,553.6,550.2,552.0,28946.0
2013-11-08,559.0,565.6,558.6,559.8,84524.0
2013-11-11,560.4,563.0,558.2,559.2,40250.0
2013-11-12,559.4,560.4,558.0,560.2,33210.0
2013-11-13,560.0,564.0,559.2,563.2,36620.0
2013-11-14,564.2,566.6,562.2,565.0,38196.0
2013-11-15,565.8,567.6,565.2,565.8,38890.0
2013-11-18,566.6,573.0,566.4,572.0,63878.0
2013-11-19,571.8,576.2,571.2,576.0,59050.0
2013-11-20,576.2,577.6,574.6,576.8,54814.0
2013-11-21,576.0,577.6,573.6,574.4,51580.0
2013-11-22,575.6,590.6,575.4,588.4,174914.0
2013-11-25,590.0,597.6,590.0,593.0,170402.0
2013-11-26,594.8,597.4,592.2,597.2,86052.0
2013-11-27,598.0,598.6,588.4,592.2,161232.0
2013-11-28,593.0,596.0,591.8,594.0,122710.0
2013-11-29,595.0,596.8,592.2,595.0,165656.0
2013-12-02,595.8,596.6,589.6,594.8,100412.0
2013-12-03,594.0,600.4,589.8,591.2,246162.0
2013-12-04,591.0,593.2,587.2,589.2,178504.0
2013-12-05,591.0,597.2,590.0,592.4,225180.0
2013-12-06,593.0,596.2,591.0,596.0,144358.0
2013-12-09,597.6,599.4,592.4,593.2,125082.0
2013-12-10,593.0,594.8,591.2,592.6,76784.0
2013-12-11,592.2,593.6,582.0,584.4,152756.0
2013-12-12,585.0,587.2,580.4,581.4,126128.0
2013-12-13,582.0,583.4,570.2,575.8,194114.0
2013-12-16,576.6,581.4,574.8,579.4,139850.0
2013-12-17,581.0,581.0,578.0,578.4,54066.0
2013-12-18,579.2,582.0,576.0,579.4,79498.0
2013-12-19,579.8,582.4,570.4,572.0,142308.0
2013-12-20,571.4,573.8,566.2,567.0,124874.0
2013-12-23,567.6,569.0,565.4,566.8,63624.0
2013-12-24,567.2,572.6,567.0,570.4,82472.0
2013-12-25,571.4,574.0,567.4,568.4,81118.0
2013-12-26,569.0,569.2,563.8,567.4,59496.0
2013-12-27,568.0,572.0,566.2,569.6,75056.0
2013-12-30,569.8,569.8,561.6,562.8,63138.0
2013-12-31,562.0,568.0,559.0,562.6,85010.0
2014-01-02,563.2,564.8,561.4,563.0,37354.0
2014-01-03,562.4,562.6,556.0,558.0,67552.0
2014-01-06,557.0,558.4,550.4,551.0,63470.0
2014-01-07,552.4,555.8,548.4,553.2,76810.0
2014-01-08,553.0,555.0,550.2,550.4,41744.0
2014-01-09,549.8,554.8,547.6,548.4,93210.0
2014-01-10,547.8,552.8,539.2,551.8,79718.0
2014-01-13,551.4,558.0,548.4,548.8,47320.0
2014-01-14,549.6,555.0,547.8,552.2,51740.0
2014-01-15,552.0,554.2,551.0,553.8,30476.0
2014-01-16,555.0,555.0,551.4,553.0,27254.0
2014-01-17,552.0,554.8,550.4,553.8,41702.0
2014-01-20,553.0,553.8,545.2,548.6,77340.0
2014-01-21,546.6,549.4,542.8,543.4,60396.0
2014-01-22,542.0,547.4,540.4,541.0,58358.0
2014-01-23,540.8,543.0,535.0,540.8,99270.0
2014-01-24,540.0,545.6,538.4,544.4,57142.0
2014-01-27,543.6,544.0,538.2,539.8,34470.0
2014-01-28,539.4,540.6,535.6,537.6,35096.0
2014-01-29,538.6,539.8,535.0,538.8,24572.0
2014-01-30,539.6,540.4,538.2,540.0,12982.0
2014-02-07,540.0,540.0,530.6,531.0,29562.0
2014-02-10,528.0,528.8,522.4,527.6,85746.0
2014-02-11,527.0,532.4,526.0,526.2,67602.0
2014-02-12,527.0,528.8,525.6,528.0,26338.0
2014-02-13,527.6,528.4,521.4,522.4,103106.0
2014-02-14,522.2,525.6,521.8,524.4,38448.0
2014-02-17,526.4,535.4,525.8,533.0,75322.0
2014-02-18,532.6,533.6,528.4,529.6,30200.0
2014-02-19,531.0,534.6,530.2,532.2,31262.0
2014-02-20,532.0,532.4,528.6,529.6,26050.0
2014-02-21,530.2,533.2,530.2,532.6,34518.0
2014-02-24,533.2,533.2,525.2,528.4,54250.0
2014-02-25,529.8,540.4,528.6,535.2,98068.0
2014-02-26,535.0,537.0,531.8,536.8,48732.0
2014-02-27,536.6,541.8,535.2,538.2,55972.0
2014-02-28,538.0,539.8,535.2,537.0,46206.0
2014-03-03,523.0,526.0,515.6,515.6,34424.0
2014-03-04,506.0,511.6,505.2,508.8,70436.0
2014-03-05,509.6,513.4,507.6,511.4,39970.0
2014-03-06,511.0,513.6,509.0,510.8,21626.0
2014-03-07,510.4,512.8,502.4,508.6,74830.0
2014-03-10,503.2,509.4,487.8,494.4,125628.0
2014-03-11,490.8,508.0,490.8,507.6,112318.0
2014-03-12,502.2,509.0,501.4,506.2,57978.0
2014-03-13,508.0,508.8,504.2,506.8,33194.0
2014-03-14,505.8,510.2,503.0,509.8,43522.0
2014-03-17,511.2,515.0,511.2,514.0,37588.0
2014-03-18,513.6,516.0,511.4,515.6,29078.0
2014-03-19,515.6,519.0,514.0,516.4,24598.0
2014-03-20,518.0,518.0,511.4,512.4,35922.0
2014-03-21,511.6,516.0,509.6,511.8,35674.0
2014-03-24,511.4,513.0,507.2,512.6,28190.0
2014-03-25,519.2,535.4,519.2,530.6,79634.0
2014-03-26,529.4,530.0,525.0,527.0,38030.0
2014-03-27,526.0,529.4,525.4,527.8,27382.0
2014-03-28,528.0,529.0,526.0,527.0,23640.0
2014-03-31,527.4,531.4,527.4,527.8,28314.0
2014-04-01,528.2,529.8,527.4,529.4,16476.0
2014-04-02,529.6,530.0,528.0,529.2,10560.0
2014-04-03,529.4,534.4,528.2,529.4,38578.0
2014-04-04,529.0,533.0,528.6,532.8,19690.0
2014-04-08,532.0,542.0,531.6,538.0,51322.0
2014-04-09,537.2,540.0,536.0,536.8,20096.0
2014-04-10,537.0,539.0,536.2,538.0,21600.0
2014-04-11,538.2,544.4,536.8,539.8,70006.0
2014-04-14,538.4,540.2,533.8,536.0,29458.0
2014-04-15,536.4,538.0,535.8,538.0,12014.0
2014-04-16,537.2,537.6,534.6,535.6,16626.0
2014-04-17,536.0,536.8,535.0,535.0,7766.0
2014-04-18,536.0,536.4,528.0,534.4,68350.0
2014-04-21,534.0,539.0,532.4,538.0,43982.0
2014-04-22,538.8,543.0,537.6,539.4,58368.0
2014-04-23,539.6,539.8,535.4,539.0,33676.0
2014-04-24,539.2,542.0,537.2,540.6,32708.0
2014-04-25,540.8,542.0,538.0,539.2,24638.0
2014-04-28,539.0,539.4,528.4,530.8,45158.0
2014-04-29,530.2,533.8,529.2,531.8,21714.0
2014-04-30,531.8,533.4,528.6,533.2,25694.0
2014-05-05,533.2,534.6,529.4,531.4,19446.0
2014-05-06,530.8,531.8,526.0,526.6,36058.0
2014-05-07,525.0,527.4,522.6,527.2,35506.0
2014-05-08,527.0,528.8,525.0,526.4,25420.0
2014-05-09,526.0,526.0,522.8,525.0,18052.0
2014-05-12,525.0,530.2,524.4,528.0,34178.0
2014-05-13,528.6,529.4,526.0,529.0,16712.0
2014-05-14,529.2,530.8,528.6,530.6,20904.0
2014-05-15,530.4,533.0,528.2,528.6,20054.0
2014-05-16,527.2,527.8,521.4,523.8,40412.0
2014-05-19,523.0,525.8,523.0,524.8,14538.0
2014-05-20,524.0,525.2,518.4,519.2,22478.0
2014-05-21,518.6,520.6,515.4,517.8,26822.0
2014-05-22,517.8,523.2,517.2,519.2,21626.0
2014-05-23,518.4,520.0,514.8,517.2,29466.0
2014-05-26,516.2,521.2,516.2,517.2,27312.0
2014-05-27,516.2,517.8,515.2,516.8,14518.0
2014-05-28,516.0,525.0,514.8,516.4,21032.0
2014-05-29,516.2,518.0,514.0,514.4,16706.0
2014-05-30,511.0,512.4,508.8,511.0,27698.0
2014-06-03,511.6,514.2,510.2,510.6,12536.0
2014-06-04,511.0,512.8,510.6,511.4,8588.0
2014-06-05,511.2,513.0,511.2,512.8,9578.0
2014-06-06,512.6,514.6,511.8,513.8,11524.0
2014-06-09,512.0,512.8,508.0,508.0,19546.0
2014-06-10,508.2,509.4,505.6,508.8,18904.0
2014-06-11,508.6,508.6,502.6,503.6,15806.0
2014-06-12,503.4,504.4,500.4,504.2,18418.0
2014-06-13,504.8,505.4,502.0,502.2,13434.0
2014-06-16,502.6,504.2,502.0,503.2,11196.0
2014-06-17,502.0,504.6,502.0,504.4,9532.0
2014-06-18,503.8,504.8,503.2,503.6,4758.0
2014-06-19,503.6,503.6,497.2,497.2,28092.0
2014-06-20,498.0,500.0,494.6,497.0,34762.0
2014-06-23,497.0,499.6,494.8,495.8,23582.0
2014-06-24,496.2,496.2,494.0,495.2,13034.0
2014-06-25,495.0,497.0,494.2,495.0,19414.0
2014-06-26,491.8,502.0,488.0,499.0,52456.0
2014-06-27,498.4,503.6,497.2,501.2,41884.0
2014-06-30,500.0,503.0,497.8,498.0,23004.0
2014-07-01,499.0,499.4,495.6,496.6,13096.0
2014-07-02,496.8,498.6,496.2,496.8,12672.0
2014-07-03,498.0,498.2,494.0,494.2,18556.0
2014-07-04,493.2,494.6,491.2,493.0,21194.0
2014-07-07,492.8,494.6,491.4,493.6,12848.0
2014-07-08,493.4,494.2,492.0,493.0,9024.0
2014-07-09,493.2,496.8,492.8,493.4,11016.0
2014-07-10,490.0,494.6,489.0,493.0,14320.0
2014-07-11,491.6,493.0,490.6,492.6,12860.0
2014-07-14,493.0,493.0,491.2,491.6,5124.0
2014-07-15,491.0,491.0,484.4,484.8,27064.0
2014-07-16,484.8,485.0,477.2,478.6,42156.0
2014-07-17,478.0,482.0,478.0,478.6,18458.0
2014-07-18,478.8,480.0,474.4,476.6,22392.0
2014-07-21,475.0,479.0,475.0,477.8,8500.0
